"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11664,"2025-08-27T12:22:37.120Z","27. 08. 2025 14:22"
"Set the company for testing  @high @middle @low","Create contact Bene","passed",11676,"2025-08-27T12:22:50.151Z","27. 08. 2025 14:22"
"Set the company for testing  @high @middle @low","Create 3 centers","passed",7766,"2025-08-27T12:22:57.978Z","27. 08. 2025 14:22"
"Set the company for testing  @high @middle @low","Create 3 activity","passed",7215,"2025-08-27T12:23:05.306Z","27. 08. 2025 14:23"
"Set the company for testing  @high @middle @low","Create 3 projects","passed",7831,"2025-08-27T12:23:13.203Z","27. 08. 2025 14:23"
"Set the company for testing  @high @middle @low","Set filters in the folder Faktury přijaté","passed",9178,"2025-08-27T12:23:22.430Z","27. 08. 2025 14:23"
"Create cash payment - homeland CZK in DMS @high @middle @low","Create cash payment","passed",46468,"2025-08-27T12:24:11.183Z","27. 08. 2025 14:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6334,"2025-08-27T12:24:17.766Z","27. 08. 2025 14:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6891,"2025-08-27T12:24:24.973Z","27. 08. 2025 14:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data in crud","passed",3332,"2025-08-27T12:24:28.381Z","27. 08. 2025 14:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2105,"2025-08-27T12:24:30.942Z","27. 08. 2025 14:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",2896,"2025-08-27T12:24:33.902Z","27. 08. 2025 14:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",591,"2025-08-27T12:24:34.579Z","27. 08. 2025 14:24"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",46369,"2025-08-27T12:25:22.313Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7410,"2025-08-27T12:25:29.880Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8373,"2025-08-27T12:25:38.843Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data in crud","passed",4195,"2025-08-27T12:25:43.219Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2593,"2025-08-27T12:25:46.487Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",3054,"2025-08-27T12:25:49.619Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",611,"2025-08-27T12:25:50.370Z","27. 08. 2025 14:25"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",48841,"2025-08-27T12:26:41.433Z","27. 08. 2025 14:26"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6365,"2025-08-27T12:26:48.112Z","27. 08. 2025 14:26"
