"describe","test","status","duration","timestamp","timestampLocal"
"Registration of test company @high @middle @low","Registration company","passed",10546,"2025-08-27T12:47:50.007Z","27. 08. 2025 14:47"
"Set the company for testing @high @middle @low","Create contact Bene","passed",10964,"2025-08-27T12:48:01.791Z","27. 08. 2025 14:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7366,"2025-08-27T12:48:09.182Z","27. 08. 2025 14:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7217,"2025-08-27T12:48:16.443Z","27. 08. 2025 14:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7405,"2025-08-27T12:48:23.880Z","27. 08. 2025 14:48"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",8615,"2025-08-27T12:48:32.525Z","27. 08. 2025 14:48"
"Create received invoice homeland CZK @high @middle @low","Create received invoice in DMS","passed",35436,"2025-08-27T12:49:09.731Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Control invoice in DMS list","passed",5952,"2025-08-27T12:49:15.755Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Control data in infobox","passed",6905,"2025-08-27T12:49:22.721Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Control accounting in filtr zaúčtování","passed",6067,"2025-08-27T12:49:28.915Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Control data in crud","passed",3202,"2025-08-27T12:49:32.169Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Control accounting diary","passed",1860,"2025-08-27T12:49:34.194Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Delete invoice in DMS","passed",2872,"2025-08-27T12:49:37.098Z","27. 08. 2025 14:49"
"Create received invoice homeland CZK @high @middle @low","Control data is deleted from accounting diary","passed",447,"2025-08-27T12:49:37.611Z","27. 08. 2025 14:49"
"Create received invoice homeland EUR @high @middle @low","Create received invoice in DMS","passed",38995,"2025-08-27T12:50:17.584Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Control invoice in DMS list","passed",6067,"2025-08-27T12:50:23.719Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Control data in infobox","passed",8785,"2025-08-27T12:50:32.563Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Control accounting in filtr zaúčtování","passed",6322,"2025-08-27T12:50:39.077Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Control data in crud","passed",3099,"2025-08-27T12:50:42.229Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Control accounting diary","passed",1816,"2025-08-27T12:50:44.211Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Delete invoice in DMS","passed",2886,"2025-08-27T12:50:47.127Z","27. 08. 2025 14:50"
"Create received invoice homeland EUR @high @middle @low","Control data is deleted from accounting diary","passed",476,"2025-08-27T12:50:47.675Z","27. 08. 2025 14:50"
"Create received invoice homeland PHP @high @middle @low","Create received invoice in DMS","passed",37989,"2025-08-27T12:51:26.622Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Control invoice in DMS list","passed",6117,"2025-08-27T12:51:32.808Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Control data in infobox","passed",6974,"2025-08-27T12:51:39.848Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Control accounting in filtr zaúčtování","passed",6267,"2025-08-27T12:51:46.318Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Control data in crud","passed",3061,"2025-08-27T12:51:49.433Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Control accounting diary","passed",1853,"2025-08-27T12:51:51.456Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Delete invoice in DMS","passed",2825,"2025-08-27T12:51:54.310Z","27. 08. 2025 14:51"
"Create received invoice homeland PHP @high @middle @low","Control data is deleted from accounting diary","passed",485,"2025-08-27T12:51:54.869Z","27. 08. 2025 14:51"
"Create received invoice in DMS EU CZK Reverse Charge","Create received invoice @high @middle @low","passed",58218,"2025-08-27T12:52:54.041Z","27. 08. 2025 14:52"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control invoice in DMS list","passed",10146,"2025-08-27T12:53:04.997Z","27. 08. 2025 14:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data in infobox","passed",6804,"2025-08-27T12:53:11.859Z","27. 08. 2025 14:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",6422,"2025-08-27T12:53:18.456Z","27. 08. 2025 14:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data in crud","passed",3005,"2025-08-27T12:53:21.513Z","27. 08. 2025 14:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2024,"2025-08-27T12:53:23.803Z","27. 08. 2025 14:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",2908,"2025-08-27T12:53:26.748Z","27. 08. 2025 14:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",507,"2025-08-27T12:53:27.326Z","27. 08. 2025 14:53"
"Create received invoice in DMS EU EUR Reverse Charge @middle @low","Create received invoice","passed",63694,"2025-08-27T12:54:31.893Z","27. 08. 2025 14:54"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",10590,"2025-08-27T12:54:43.285Z","27. 08. 2025 14:54"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control data in infobox","passed",6841,"2025-08-27T12:54:50.193Z","27. 08. 2025 14:54"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",6473,"2025-08-27T12:54:56.906Z","27. 08. 2025 14:54"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control data in crud","passed",2999,"2025-08-27T12:54:59.954Z","27. 08. 2025 14:54"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control accounting diary","passed",1934,"2025-08-27T12:55:02.131Z","27. 08. 2025 14:55"
