# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of test company @high @middle @low","Registration company","passed",13123,"2025-09-03T16:45:32.227Z","03. 09. 2025 18:45"
"Set the company for testing @high @middle @low","Create contact Bene","passed",13531,"2025-09-03T16:45:46.744Z","03. 09. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7853,"2025-09-03T16:45:54.670Z","03. 09. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7553,"2025-09-03T16:46:02.305Z","03. 09. 2025 18:46"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7915,"2025-09-03T16:46:10.333Z","03. 09. 2025 18:46"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",10585,"2025-09-03T16:46:20.963Z","03. 09. 2025 18:46"
"Create received invoice homeland CZK @high @middle @low","Create received invoice in DMS","passed",45295,"2025-09-03T16:47:07.808Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Control invoice in DMS list","passed",6405,"2025-09-03T16:47:14.445Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Control data in infobox","passed",7506,"2025-09-03T16:47:22.067Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Control accounting in filtr zaúčtování","passed",6827,"2025-09-03T16:47:29.153Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Control data in crud","passed",7682,"2025-09-03T16:47:36.955Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Control accounting diary","passed",2484,"2025-09-03T16:47:39.908Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Delete invoice in DMS","passed",7012,"2025-09-03T16:47:46.980Z","03. 09. 2025 18:47"
"Create received invoice homeland CZK @high @middle @low","Control data is deleted from accounting diary","passed",742,"2025-09-03T16:47:47.901Z","03. 09. 2025 18:47"
"Create received invoice homeland EUR @high @middle @low","Create received invoice in DMS","passed",50991,"2025-09-03T16:48:40.504Z","03. 09. 2025 18:48"
"Create received invoice homeland EUR @high @middle @low","Control invoice in DMS list","passed",6329,"2025-09-03T16:48:47.044Z","03. 09. 2025 18:48"
"Create received invoice homeland EUR @high @middle @low","Control data in infobox","passed",8088,"2025-09-03T16:48:55.335Z","03. 09. 2025 18:48"
"Create received invoice homeland EUR @high @middle @low","Control accounting in filtr zaúčtování","passed",6784,"2025-09-03T16:49:02.765Z","03. 09. 2025 18:49"
"Create received invoice homeland EUR @high @middle @low","Control data in crud","passed",8180,"2025-09-03T16:49:11.092Z","03. 09. 2025 18:49"
"Create received invoice homeland EUR @high @middle @low","Control accounting diary","passed",2585,"2025-09-03T16:49:14.272Z","03. 09. 2025 18:49"
"Create received invoice homeland EUR @high @middle @low","Delete invoice in DMS","passed",7295,"2025-09-03T16:49:21.664Z","03. 09. 2025 18:49"
"Create received invoice homeland EUR @high @middle @low","Control data is deleted from accounting diary","passed",955,"2025-09-03T16:49:22.759Z","03. 09. 2025 18:49"
"Create received invoice homeland PHP @high @middle @low","Create received invoice in DMS","passed",55730,"2025-09-03T16:50:20.590Z","03. 09. 2025 18:50"
"Create received invoice homeland PHP @high @middle @low","Control invoice in DMS list","passed",6960,"2025-09-03T16:50:27.895Z","03. 09. 2025 18:50"
"Create received invoice homeland PHP @high @middle @low","Control data in infobox","passed",10133,"2025-09-03T16:50:38.172Z","03. 09. 2025 18:50"
"Create received invoice homeland PHP @high @middle @low","Control accounting in filtr zaúčtování","passed",7116,"2025-09-03T16:50:45.885Z","03. 09. 2025 18:50"
"Create received invoice homeland PHP @high @middle @low","Control data in crud","passed",7596,"2025-09-03T16:50:53.599Z","03. 09. 2025 18:50"
"Create received invoice homeland PHP @high @middle @low","Control accounting diary","passed",2449,"2025-09-03T16:50:56.370Z","03. 09. 2025 18:50"
"Create received invoice homeland PHP @high @middle @low","Delete invoice in DMS","passed",7360,"2025-09-03T16:51:03.788Z","03. 09. 2025 18:51"
"Create received invoice homeland PHP @high @middle @low","Control data is deleted from accounting diary","passed",710,"2025-09-03T16:51:04.645Z","03. 09. 2025 18:51"
"Create received invoice in DMS EU CZK Reverse Charge","Create received invoice @high @middle @low","passed",82140,"2025-09-03T16:52:28.523Z","03. 09. 2025 18:52"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control invoice in DMS list","passed",13252,"2025-09-03T16:52:44.034Z","03. 09. 2025 18:52"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data in infobox","passed",7149,"2025-09-03T16:52:51.315Z","03. 09. 2025 18:52"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",8029,"2025-09-03T16:52:59.740Z","03. 09. 2025 18:52"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data in crud","passed",7245,"2025-09-03T16:53:07.099Z","03. 09. 2025 18:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2433,"2025-09-03T16:53:10.072Z","03. 09. 2025 18:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",6845,"2025-09-03T16:53:16.999Z","03. 09. 2025 18:53"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",748,"2025-09-03T16:53:17.865Z","03. 09. 2025 18:53"
"Create received invoice in DMS EU EUR Reverse Charge @middle @low","Create received invoice","passed",95154,"2025-09-03T16:54:54.587Z","03. 09. 2025 18:54"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",12840,"2025-09-03T16:55:09.273Z","03. 09. 2025 18:55"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control data in infobox","passed",7012,"2025-09-03T16:55:16.395Z","03. 09. 2025 18:55"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",7269,"2025-09-03T16:55:24.193Z","03. 09. 2025 18:55"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control data in crud","passed",10102,"2025-09-03T16:55:34.433Z","03. 09. 2025 18:55"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control accounting diary","passed",2482,"2025-09-03T16:55:37.518Z","03. 09. 2025 18:55"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Delete invoice in DMS","passed",7328,"2025-09-03T16:55:44.912Z","03. 09. 2025 18:55"
"Control received invoice in DMS EU EUR Reverse Charge @middle @low","Control data is deleted from accounting diary","passed",982,"2025-09-03T16:55:46.026Z","03. 09. 2025 18:55"
"Create received invoice in DMS EU PHP Reverse Charge @low","Create received invoice in DMS","passed",90937,"2025-09-03T16:57:19.364Z","03. 09. 2025 18:57"
"Control received invoice in DMS EU EUR Reverse Charge @low","Control invoice in DMS list","passed",13930,"2025-09-03T16:57:35.471Z","03. 09. 2025 18:57"
"Control received invoice in DMS EU EUR Reverse Charge @low","Control data in infobox","passed",7304,"2025-09-03T16:57:42.927Z","03. 09. 2025 18:57"
"Control received invoice in DMS EU EUR Reverse Charge @low","Control accounting in filtr zaúčtování","passed",7504,"2025-09-03T16:57:50.983Z","03. 09. 2025 18:57"
"Control received invoice in DMS EU EUR Reverse Charge @low","Control data in crud","passed",7363,"2025-09-03T16:57:58.484Z","03. 09. 2025 18:57"
"Control received invoice in DMS EU EUR Reverse Charge @low","Control accounting diary","passed",2533,"2025-09-03T16:58:01.688Z","03. 09. 2025 18:58"
"Control received invoice in DMS EU EUR Reverse Charge @low","Delete invoice in DMS","passed",7387,"2025-09-03T16:58:09.148Z","03. 09. 2025 18:58"
"Control received invoice in DMS EU EUR Reverse Charge @low","Control data is deleted from accounting diary","passed",785,"2025-09-03T16:58:10.028Z","03. 09. 2025 18:58"
"Create received invoice in DMS RPDP CZK Reverse Charge","Create received invoice in DMS @high @middle @low","passed",104389,"2025-09-03T16:59:56.093Z","03. 09. 2025 18:59"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Control invoice in DMS list","passed",15295,"2025-09-03T17:00:13.627Z","03. 09. 2025 19:00"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Control data in infobox","passed",7586,"2025-09-03T17:00:21.339Z","03. 09. 2025 19:00"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",7248,"2025-09-03T17:00:28.991Z","03. 09. 2025 19:00"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Control data in crud","passed",7517,"2025-09-03T17:00:36.602Z","03. 09. 2025 19:00"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2553,"2025-09-03T17:00:39.808Z","03. 09. 2025 19:00"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",7061,"2025-09-03T17:00:46.938Z","03. 09. 2025 19:00"
"Control received invoice in DMS RPDP CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",807,"2025-09-03T17:00:47.891Z","03. 09. 2025 19:00"
"Create received invoice in DMS RPDP EUR Reverse Charge @middle @low","Create received invoice in DMS","passed",98799,"2025-09-03T17:02:28.314Z","03. 09. 2025 19:02"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",13309,"2025-09-03T17:02:43.698Z","03. 09. 2025 19:02"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Control data in infobox","passed",8918,"2025-09-03T17:02:52.730Z","03. 09. 2025 19:02"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",7415,"2025-09-03T17:03:00.960Z","03. 09. 2025 19:03"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Control data in crud","passed",7892,"2025-09-03T17:03:09.052Z","03. 09. 2025 19:03"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Control accounting diary","passed",2407,"2025-09-03T17:03:12.001Z","03. 09. 2025 19:03"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Delete invoice in DMS","passed",7658,"2025-09-03T17:03:19.725Z","03. 09. 2025 19:03"
"Control received invoice in DMS RPDP EUR Reverse Charge @middle @low","Control data is deleted from accounting diary","passed",744,"2025-09-03T17:03:20.606Z","03. 09. 2025 19:03"
"Create received invoice in DMS RPDP PHP Reverse Charge @low","Create received invoice in DMS","passed",99612,"2025-09-03T17:05:01.780Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Control invoice in DMS list","passed",13839,"2025-09-03T17:05:17.646Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Control data in infobox","passed",7681,"2025-09-03T17:05:25.546Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Control accounting in filtr zaúčtování","passed",7627,"2025-09-03T17:05:33.839Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Control data in crud","passed",8154,"2025-09-03T17:05:42.129Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Control accounting diary","passed",3028,"2025-09-03T17:05:46.146Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Delete invoice in DMS","passed",7920,"2025-09-03T17:05:54.349Z","03. 09. 2025 19:05"
"Control received invoice in DMS RPDP PHP Reverse Charge @low","Control data is deleted from accounting diary","passed",694,"2025-09-03T17:05:55.187Z","03. 09. 2025 19:05"
"Set the company for folder testing @high @middle @low","Create contact","passed",10011,"2025-09-03T17:06:07.101Z","03. 09. 2025 19:06"
"Set the company for folder testing @high @middle @low","Control should give and given in the file","passed",28590,"2025-09-03T17:06:35.820Z","03. 09. 2025 19:06"
"Set the company for folder testing @high @middle @low","Edited file have still the same should give and given","passed",20256,"2025-09-03T17:06:56.233Z","03. 09. 2025 19:06"
"Set the company for folder testing @high @middle @low","Delete testing file","passed",7491,"2025-09-03T17:07:03.838Z","03. 09. 2025 19:07"
"Set the company for folder testing @high @middle @low","Set the code in the folder","passed",19383,"2025-09-03T17:07:23.332Z","03. 09. 2025 19:07"
"Set the company for folder testing @high @middle @low","Control should give and given in the file","passed",27192,"2025-09-03T17:07:50.773Z","03. 09. 2025 19:07"
"Set the company for folder testing @high @middle @low","Edited file have the same code should give and given","passed",19140,"2025-09-03T17:08:10.022Z","03. 09. 2025 19:08"
"Set the company for folder testing @high @middle @low","Delete testing file","passed",7802,"2025-09-03T17:08:17.939Z","03. 09. 2025 19:08"
"Nastavení společnosti pro testování @high @middle @low","Nastavení kontaktu","passed",17968,"2025-09-03T17:08:37.149Z","03. 09. 2025 19:08"
"Nastavení společnosti pro testování @high @middle @low","Kontrola má dáti a dal","passed",29341,"2025-09-03T17:09:06.569Z","03. 09. 2025 19:09"
"Nastavení společnosti pro testování @high @middle @low","Editace souboru má stále stejné účty","passed",15862,"2025-09-03T17:09:22.557Z","03. 09. 2025 19:09"
"Nastavení společnosti pro testování @high @middle @low","Smazání testovacího souboru","passed",7437,"2025-09-03T17:09:30.080Z","03. 09. 2025 19:09"
"Nastavení společnosti pro testování @high @middle @low","Nastavení složky zpět","passed",20305,"2025-09-03T17:09:50.486Z","03. 09. 2025 19:09"
"Delete testing company @high @middle @low","Delete testing company","passed",15173,"2025-09-03T17:10:06.599Z","03. 09. 2025 19:10"
