# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of test company @high @middle @low","Registration company","passed",11043,"2025-09-08T06:21:58.741Z","08. 09. 2025 08:21"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11363,"2025-09-08T06:22:11.235Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7791,"2025-09-08T06:22:19.090Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7843,"2025-09-08T06:22:27.027Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7607,"2025-09-08T06:22:34.679Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9783,"2025-09-08T06:22:44.564Z","08. 09. 2025 08:22"
"Create received invoice homeland CZK @high @middle @low","Create received invoice in DMS","passed",45561,"2025-09-08T06:23:32.929Z","08. 09. 2025 08:23"
"Create received invoice homeland CZK @high @middle @low","Control invoice in DMS list","passed",6247,"2025-09-08T06:23:39.424Z","08. 09. 2025 08:23"
"Create received invoice homeland CZK @high @middle @low","Control data in infobox","passed",7328,"2025-09-08T06:23:46.904Z","08. 09. 2025 08:23"
"Create received invoice homeland CZK @high @middle @low","Control accounting in filtr zaúčtování","passed",6699,"2025-09-08T06:23:53.935Z","08. 09. 2025 08:23"
"Create received invoice homeland CZK @high @middle @low","Control data in crud","passed",7476,"2025-09-08T06:24:01.558Z","08. 09. 2025 08:24"
"Create received invoice homeland CZK @high @middle @low","Control accounting diary","passed",2211,"2025-09-08T06:24:04.187Z","08. 09. 2025 08:24"
"Create received invoice homeland CZK @high @middle @low","Delete invoice in DMS","passed",7235,"2025-09-08T06:24:11.476Z","08. 09. 2025 08:24"
"Create received invoice homeland CZK @high @middle @low","Control data is deleted from accounting diary","passed",605,"2025-09-08T06:24:12.212Z","08. 09. 2025 08:24"
"Create received invoice homeland EUR @high @middle @low","Create received invoice in DMS","passed",48832,"2025-09-08T06:25:02.920Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Control invoice in DMS list","passed",6636,"2025-09-08T06:25:09.781Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Control data in infobox","passed",6988,"2025-09-08T06:25:16.964Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Control accounting in filtr zaúčtování","passed",6691,"2025-09-08T06:25:24.164Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Control data in crud","passed",6983,"2025-09-08T06:25:31.287Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Control accounting diary","passed",2372,"2025-09-08T06:25:33.984Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Delete invoice in DMS","passed",6939,"2025-09-08T06:25:40.983Z","08. 09. 2025 08:25"
"Create received invoice homeland EUR @high @middle @low","Control data is deleted from accounting diary","passed",626,"2025-09-08T06:25:41.691Z","08. 09. 2025 08:25"
"Create received invoice homeland PHP @high @middle @low","Create received invoice in DMS","passed",48496,"2025-09-08T06:26:31.932Z","08. 09. 2025 08:26"
"Create received invoice homeland PHP @high @middle @low","Control invoice in DMS list","passed",6216,"2025-09-08T06:26:38.416Z","08. 09. 2025 08:26"
"Create received invoice homeland PHP @high @middle @low","Control data in infobox","passed",7002,"2025-09-08T06:26:45.572Z","08. 09. 2025 08:26"
"Create received invoice homeland PHP @high @middle @low","Control accounting in filtr zaúčtování","passed",7027,"2025-09-08T06:26:53.247Z","08. 09. 2025 08:26"
"Create received invoice homeland PHP @high @middle @low","Control data in crud","passed",7196,"2025-09-08T06:27:00.643Z","08. 09. 2025 08:27"
"Create received invoice homeland PHP @high @middle @low","Control accounting diary","passed",1988,"2025-09-08T06:27:02.946Z","08. 09. 2025 08:27"
"Create received invoice homeland PHP @high @middle @low","Delete invoice in DMS","passed",6681,"2025-09-08T06:27:09.688Z","08. 09. 2025 08:27"
"Create received invoice homeland PHP @high @middle @low","Control data is deleted from accounting diary","passed",638,"2025-09-08T06:27:10.461Z","08. 09. 2025 08:27"
"Create received invoice in DMS EU CZK Reverse Charge","Create received invoice @high @middle @low","passed",79711,"2025-09-08T06:28:31.762Z","08. 09. 2025 08:28"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control invoice in DMS list","passed",11435,"2025-09-08T06:28:45.406Z","08. 09. 2025 08:28"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control data in infobox","passed",6900,"2025-09-08T06:28:52.499Z","08. 09. 2025 08:28"
"Control received invoice in DMS EU CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",6838,"2025-09-08T06:28:59.682Z","08. 09. 2025 08:28"
