"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",15850,"2025-08-27T12:22:41.216Z","27. 08. 2025 14:22"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12551,"2025-08-27T12:22:55.025Z","27. 08. 2025 14:22"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7463,"2025-08-27T12:23:02.562Z","27. 08. 2025 14:23"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8231,"2025-08-27T12:23:10.865Z","27. 08. 2025 14:23"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7270,"2025-08-27T12:23:18.180Z","27. 08. 2025 14:23"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9770,"2025-08-27T12:23:28.016Z","27. 08. 2025 14:23"
"OZ - homeland CZK in DMS @high @middle @low","Create OZ in DMS","passed",45003,"2025-08-27T12:24:15.082Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6690,"2025-08-27T12:24:21.963Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7113,"2025-08-27T12:24:29.254Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6311,"2025-08-27T12:24:35.780Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Control data in crud","passed",3403,"2025-08-27T12:24:39.267Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1969,"2025-08-27T12:24:41.707Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",2808,"2025-08-27T12:24:44.563Z","27. 08. 2025 14:24"
"OZ - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",624,"2025-08-27T12:24:45.278Z","27. 08. 2025 14:24"
"OZ - homeland EUR in DMS @high @middle @low","Create OZ in DMS","passed",50359,"2025-08-27T12:25:37.105Z","27. 08. 2025 14:25"
"OZ - homeland EUR in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",7256,"2025-08-27T12:25:44.720Z","27. 08. 2025 14:25"
