# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11624,"2025-09-03T16:45:30.853Z","03. 09. 2025 18:45"
"Set the company for testing @high @middle @low","Create contact Bene","passed",13280,"2025-09-03T16:45:45.197Z","03. 09. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7895,"2025-09-03T16:45:53.177Z","03. 09. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7629,"2025-09-03T16:46:00.888Z","03. 09. 2025 18:46"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8044,"2025-09-03T16:46:09.029Z","03. 09. 2025 18:46"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",11167,"2025-09-03T16:46:20.257Z","03. 09. 2025 18:46"
"OZ - homeland CZK in DMS @high @middle @low","Create OZ in DMS","passed",44967,"2025-09-03T16:47:06.854Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6298,"2025-09-03T16:47:13.443Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7431,"2025-09-03T16:47:20.997Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7008,"2025-09-03T16:47:28.352Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7340,"2025-09-03T16:47:35.864Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2429,"2025-09-03T16:47:38.647Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7229,"2025-09-03T16:47:45.941Z","03. 09. 2025 18:47"
"OZ - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",806,"2025-09-03T16:47:46.858Z","03. 09. 2025 18:47"
"OZ - homeland EUR in DMS @high @middle @low","Create OZ in DMS","passed",51117,"2025-09-03T16:48:39.782Z","03. 09. 2025 18:48"
"OZ - homeland EUR in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",6837,"2025-09-03T16:48:46.925Z","03. 09. 2025 18:48"
"OZ - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",8198,"2025-09-03T16:48:55.279Z","03. 09. 2025 18:48"
"OZ - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6983,"2025-09-03T16:49:02.939Z","03. 09. 2025 18:49"
"OZ - homeland EUR in DMS @high @middle @low","Control data in crud","passed",8017,"2025-09-03T16:49:11.143Z","03. 09. 2025 18:49"
"OZ - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2531,"2025-09-03T16:49:14.358Z","03. 09. 2025 18:49"
"OZ - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7182,"2025-09-03T16:49:21.707Z","03. 09. 2025 18:49"
"OZ - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",897,"2025-09-03T16:49:22.773Z","03. 09. 2025 18:49"
"Create OZ - homeland PHP in DMS @high @middle @low","Create OZ in DMS","passed",56726,"2025-09-03T16:50:21.584Z","03. 09. 2025 18:50"
"Create OZ - homeland PHP in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",6706,"2025-09-03T16:50:28.491Z","03. 09. 2025 18:50"
"Create OZ - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",10391,"2025-09-03T16:50:39.003Z","03. 09. 2025 18:50"
"Create OZ - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7509,"2025-09-03T16:50:47.106Z","03. 09. 2025 18:50"
"Create OZ - homeland PHP in DMS @high @middle @low","Control data in crud","passed",7499,"2025-09-03T16:50:54.731Z","03. 09. 2025 18:50"
"Create OZ - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2370,"2025-09-03T16:50:57.442Z","03. 09. 2025 18:50"
"Create OZ - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7319,"2025-09-03T16:51:04.810Z","03. 09. 2025 18:51"
"Create OZ - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",768,"2025-09-03T16:51:05.727Z","03. 09. 2025 18:51"
"Create OZ in DMS EU CZK Reverse Charge @high @middle @low","Create OZ in DMS","passed",83594,"2025-09-03T16:52:31.153Z","03. 09. 2025 18:52"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",12567,"2025-09-03T16:52:45.321Z","03. 09. 2025 18:52"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control data in infobox","passed",7087,"2025-09-03T16:52:52.533Z","03. 09. 2025 18:52"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",8046,"2025-09-03T16:53:00.904Z","03. 09. 2025 18:53"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control data in crud","passed",7457,"2025-09-03T16:53:08.451Z","03. 09. 2025 18:53"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2405,"2025-09-03T16:53:11.364Z","03. 09. 2025 18:53"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",7307,"2025-09-03T16:53:18.722Z","03. 09. 2025 18:53"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",590,"2025-09-03T16:53:19.435Z","03. 09. 2025 18:53"
"Create OZ in DMS EU EUR Reverse Charge @middle @low","Create OZ in DMS","passed",94106,"2025-09-03T16:54:55.109Z","03. 09. 2025 18:54"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",13273,"2025-09-03T16:55:10.216Z","03. 09. 2025 18:55"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control data in infobox","passed",7261,"2025-09-03T16:55:17.640Z","03. 09. 2025 18:55"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",7359,"2025-09-03T16:55:25.533Z","03. 09. 2025 18:55"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control data in crud","passed",9254,"2025-09-03T16:55:34.920Z","03. 09. 2025 18:55"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control accounting diary","passed",2664,"2025-09-03T16:55:38.187Z","03. 09. 2025 18:55"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Delete invoice in DMS","passed",7355,"2025-09-03T16:55:45.616Z","03. 09. 2025 18:55"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control data is deleted from accounting diary","passed",844,"2025-09-03T16:55:46.674Z","03. 09. 2025 18:55"
"Create OZ in DMS EU PHP Reverse Charge @low","Create OZ in DMS","passed",91669,"2025-09-03T16:57:20.440Z","03. 09. 2025 18:57"
