# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12310,"2025-09-08T06:22:00.007Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11406,"2025-09-08T06:22:12.393Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7639,"2025-09-08T06:22:20.127Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7435,"2025-09-08T06:22:27.623Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7619,"2025-09-08T06:22:35.287Z","08. 09. 2025 08:22"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",10197,"2025-09-08T06:22:45.525Z","08. 09. 2025 08:22"
"OZ - homeland CZK in DMS @high @middle @low","Create OZ in DMS","passed",45689,"2025-09-08T06:23:33.953Z","08. 09. 2025 08:23"
"OZ - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6183,"2025-09-08T06:23:40.353Z","08. 09. 2025 08:23"
"OZ - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7611,"2025-09-08T06:23:48.083Z","08. 09. 2025 08:23"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6864,"2025-09-08T06:23:55.203Z","08. 09. 2025 08:23"
"OZ - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7392,"2025-09-08T06:24:02.689Z","08. 09. 2025 08:24"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2264,"2025-09-08T06:24:05.335Z","08. 09. 2025 08:24"
"OZ - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7124,"2025-09-08T06:24:12.521Z","08. 09. 2025 08:24"
"OZ - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",562,"2025-09-08T06:24:13.235Z","08. 09. 2025 08:24"
"OZ - homeland EUR in DMS @high @middle @low","Create OZ in DMS","passed",49720,"2025-09-08T06:25:04.525Z","08. 09. 2025 08:25"
"OZ - homeland EUR in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",6474,"2025-09-08T06:25:11.257Z","08. 09. 2025 08:25"
"OZ - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7058,"2025-09-08T06:25:18.441Z","08. 09. 2025 08:25"
