# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11195,"2025-09-10T16:05:39.059Z","10. 09. 2025 18:05"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11832,"2025-09-10T16:05:51.886Z","10. 09. 2025 18:05"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7926,"2025-09-10T16:05:59.896Z","10. 09. 2025 18:05"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7271,"2025-09-10T16:06:07.239Z","10. 09. 2025 18:06"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7763,"2025-09-10T16:06:15.109Z","10. 09. 2025 18:06"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",10599,"2025-09-10T16:06:25.782Z","10. 09. 2025 18:06"
"OZ - homeland CZK in DMS @high @middle @low","Create OZ in DMS","passed",42268,"2025-09-10T16:07:10.465Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6666,"2025-09-10T16:07:17.450Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7346,"2025-09-10T16:07:24.925Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6790,"2025-09-10T16:07:31.990Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Control data in crud","passed",6947,"2025-09-10T16:07:39.194Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2152,"2025-09-10T16:07:41.818Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6947,"2025-09-10T16:07:48.849Z","10. 09. 2025 18:07"
"OZ - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",600,"2025-09-10T16:07:49.535Z","10. 09. 2025 18:07"
"OZ - homeland EUR in DMS @high @middle @low","Create OZ in DMS","passed",48232,"2025-09-10T16:08:39.124Z","10. 09. 2025 18:08"
"OZ - homeland EUR in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",6314,"2025-09-10T16:08:45.784Z","10. 09. 2025 18:08"
"OZ - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7086,"2025-09-10T16:08:52.969Z","10. 09. 2025 18:08"
"OZ - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6412,"2025-09-10T16:08:59.859Z","10. 09. 2025 18:08"
"OZ - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7305,"2025-09-10T16:09:07.264Z","10. 09. 2025 18:09"
"OZ - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2772,"2025-09-10T16:09:10.522Z","10. 09. 2025 18:09"
"OZ - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7312,"2025-09-10T16:09:17.922Z","10. 09. 2025 18:09"
"OZ - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",579,"2025-09-10T16:09:18.623Z","10. 09. 2025 18:09"
"Create OZ - homeland PHP in DMS @high @middle @low","Create OZ in DMS","passed",51768,"2025-09-10T16:10:11.921Z","10. 09. 2025 18:10"
