# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12731,"2025-09-11T09:16:35.148Z","11. 09. 2025 11:16"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11413,"2025-09-11T09:16:47.535Z","11. 09. 2025 11:16"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7967,"2025-09-11T09:16:55.559Z","11. 09. 2025 11:16"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7284,"2025-09-11T09:17:02.922Z","11. 09. 2025 11:17"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7687,"2025-09-11T09:17:10.743Z","11. 09. 2025 11:17"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",10228,"2025-09-11T09:17:21.008Z","11. 09. 2025 11:17"
"OZ - homeland CZK in DMS @high @middle @low","Create OZ in DMS","passed",44527,"2025-09-11T09:18:07.927Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6673,"2025-09-11T09:18:14.816Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7664,"2025-09-11T09:18:22.599Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6699,"2025-09-11T09:18:29.535Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7598,"2025-09-11T09:18:37.263Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2249,"2025-09-11T09:18:40.008Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7784,"2025-09-11T09:18:47.860Z","11. 09. 2025 11:18"
"OZ - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",713,"2025-09-11T09:18:48.659Z","11. 09. 2025 11:18"
"OZ - homeland EUR in DMS @high @middle @low","Create OZ in DMS","passed",58500,"2025-09-11T09:19:49.257Z","11. 09. 2025 11:19"
"OZ - homeland EUR in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",6825,"2025-09-11T09:19:56.518Z","11. 09. 2025 11:19"
"OZ - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7729,"2025-09-11T09:20:04.405Z","11. 09. 2025 11:20"
"OZ - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7898,"2025-09-11T09:20:12.831Z","11. 09. 2025 11:20"
"OZ - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7944,"2025-09-11T09:20:20.902Z","11. 09. 2025 11:20"
"OZ - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2306,"2025-09-11T09:20:23.667Z","11. 09. 2025 11:20"
"OZ - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7697,"2025-09-11T09:20:31.441Z","11. 09. 2025 11:20"
"OZ - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",608,"2025-09-11T09:20:32.189Z","11. 09. 2025 11:20"
"Create OZ - homeland PHP in DMS @high @middle @low","Create OZ in DMS","passed",57109,"2025-09-11T09:21:30.904Z","11. 09. 2025 11:21"
"Create OZ - homeland PHP in DMS @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",5996,"2025-09-11T09:21:37.176Z","11. 09. 2025 11:21"
"Create OZ - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",6725,"2025-09-11T09:21:44.012Z","11. 09. 2025 11:21"
"Create OZ - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7126,"2025-09-11T09:21:51.569Z","11. 09. 2025 11:21"
"Create OZ - homeland PHP in DMS @high @middle @low","Control data in crud","passed",7420,"2025-09-11T09:21:59.077Z","11. 09. 2025 11:21"
"Create OZ - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2233,"2025-09-11T09:22:01.581Z","11. 09. 2025 11:22"
"Create OZ - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7888,"2025-09-11T09:22:09.519Z","11. 09. 2025 11:22"
"Create OZ - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",802,"2025-09-11T09:22:10.517Z","11. 09. 2025 11:22"
"Create OZ in DMS EU CZK Reverse Charge @high @middle @low","Create OZ in DMS","passed",73290,"2025-09-11T09:23:25.430Z","11. 09. 2025 11:23"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Kontrola dat v infoboxu a seznamu","passed",11986,"2025-09-11T09:23:38.714Z","11. 09. 2025 11:23"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control data in infobox","passed",7167,"2025-09-11T09:23:45.998Z","11. 09. 2025 11:23"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",7378,"2025-09-11T09:23:53.948Z","11. 09. 2025 11:23"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control data in crud","passed",7338,"2025-09-11T09:24:01.539Z","11. 09. 2025 11:24"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2447,"2025-09-11T09:24:04.608Z","11. 09. 2025 11:24"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",7415,"2025-09-11T09:24:12.106Z","11. 09. 2025 11:24"
"Control OZ in DMS EU CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",648,"2025-09-11T09:24:12.856Z","11. 09. 2025 11:24"
"Create OZ in DMS EU EUR Reverse Charge @middle @low","Create OZ in DMS","passed",84325,"2025-09-11T09:25:38.606Z","11. 09. 2025 11:25"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",12284,"2025-09-11T09:25:52.577Z","11. 09. 2025 11:25"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control data in infobox","passed",7769,"2025-09-11T09:26:00.587Z","11. 09. 2025 11:26"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",7568,"2025-09-11T09:26:08.874Z","11. 09. 2025 11:26"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control data in crud","passed",7368,"2025-09-11T09:26:16.355Z","11. 09. 2025 11:26"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control accounting diary","passed",2290,"2025-09-11T09:26:19.217Z","11. 09. 2025 11:26"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Delete invoice in DMS","passed",10979,"2025-09-11T09:26:30.293Z","11. 09. 2025 11:26"
"Control OZ in DMS EU EUR Reverse Charge @middle @low","Control data is deleted from accounting diary","passed",678,"2025-09-11T09:26:31.230Z","11. 09. 2025 11:26"
"Create OZ in DMS EU PHP Reverse Charge @low","Create OZ in DMS","passed",87323,"2025-09-11T09:28:00.160Z","11. 09. 2025 11:28"
