# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",14211,"2025-09-03T16:45:33.379Z","03. 09. 2025 18:45"
"Set the company for testing  @high @middle @low","Create contact Bene","passed",13151,"2025-09-03T16:45:47.448Z","03. 09. 2025 18:45"
"Set the company for testing  @high @middle @low","Create 3 centers","passed",8306,"2025-09-03T16:45:55.848Z","03. 09. 2025 18:45"
"Set the company for testing  @high @middle @low","Create 3 activity","passed",8093,"2025-09-03T16:46:03.985Z","03. 09. 2025 18:46"
"Set the company for testing  @high @middle @low","Create 3 projects","passed",8111,"2025-09-03T16:46:12.143Z","03. 09. 2025 18:46"
"Set the company for testing  @high @middle @low","Set filters in the folder Faktury přijaté","passed",10817,"2025-09-03T16:46:22.995Z","03. 09. 2025 18:46"
"Create cash payment - homeland CZK in DMS @high @middle @low","Create cash payment","passed",47656,"2025-09-03T16:47:12.904Z","03. 09. 2025 18:47"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6892,"2025-09-03T16:47:20.011Z","03. 09. 2025 18:47"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7022,"2025-09-03T16:47:27.328Z","03. 09. 2025 18:47"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7353,"2025-09-03T16:47:34.794Z","03. 09. 2025 18:47"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2424,"2025-09-03T16:47:37.632Z","03. 09. 2025 18:47"
"Create cash payment - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6957,"2025-09-03T16:47:44.659Z","03. 09. 2025 18:47"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",844,"2025-09-03T16:47:45.704Z","03. 09. 2025 18:47"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",53054,"2025-09-03T16:48:40.528Z","03. 09. 2025 18:48"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",6548,"2025-09-03T16:48:47.296Z","03. 09. 2025 18:48"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7819,"2025-09-03T16:48:55.670Z","03. 09. 2025 18:48"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7490,"2025-09-03T16:49:03.272Z","03. 09. 2025 18:49"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2234,"2025-09-03T16:49:05.851Z","03. 09. 2025 18:49"
"Create cash payment - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7641,"2025-09-03T16:49:13.540Z","03. 09. 2025 18:49"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",666,"2025-09-03T16:49:14.380Z","03. 09. 2025 18:49"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",55485,"2025-09-03T16:50:11.588Z","03. 09. 2025 18:50"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7907,"2025-09-03T16:50:19.762Z","03. 09. 2025 18:50"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7532,"2025-09-03T16:50:27.875Z","03. 09. 2025 18:50"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data in crud","passed",10762,"2025-09-03T16:50:38.770Z","03. 09. 2025 18:50"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2469,"2025-09-03T16:50:41.612Z","03. 09. 2025 18:50"
"Create cash payment - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7177,"2025-09-03T16:50:48.852Z","03. 09. 2025 18:50"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",842,"2025-09-03T16:50:49.782Z","03. 09. 2025 18:50"
"Create cash payment in DMS EU CZK Reverse Charge @high @middle @low","Create cash payment","passed",97877,"2025-09-03T16:52:29.319Z","03. 09. 2025 18:52"
"Control VPD in DMS EU CZK Reverse Charge @high @middle @low","Control invoice in DMS list","passed",13253,"2025-09-03T16:52:44.505Z","03. 09. 2025 18:52"
"Control VPD in DMS EU CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",7835,"2025-09-03T16:52:52.678Z","03. 09. 2025 18:52"
"Control VPD in DMS EU CZK Reverse Charge @high @middle @low","Control data in crud","passed",8058,"2025-09-03T16:53:00.831Z","03. 09. 2025 18:53"
"Control VPD in DMS EU CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2563,"2025-09-03T16:53:03.952Z","03. 09. 2025 18:53"
"Control VPD in DMS EU CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",7334,"2025-09-03T16:53:11.350Z","03. 09. 2025 18:53"
"Control VPD in DMS EU CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",661,"2025-09-03T16:53:12.113Z","03. 09. 2025 18:53"
"Create cash payment in DMS EU EUR Reverse Charge @middle @low","Create cash payment","passed",108195,"2025-09-03T16:55:01.689Z","03. 09. 2025 18:55"
"Control VPD in DMS EU EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",12854,"2025-09-03T16:55:16.322Z","03. 09. 2025 18:55"
"Control VPD in DMS EU EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",7982,"2025-09-03T16:55:24.844Z","03. 09. 2025 18:55"
"Control VPD in DMS EU EUR Reverse Charge @middle @low","Control data in crud","passed",9349,"2025-09-03T16:55:34.293Z","03. 09. 2025 18:55"
"Control VPD in DMS EU EUR Reverse Charge @middle @low","Control accounting diary","passed",2551,"2025-09-03T16:55:37.471Z","03. 09. 2025 18:55"
"Control VPD in DMS EU EUR Reverse Charge @middle @low","Delete invoice in DMS","passed",7150,"2025-09-03T16:55:44.682Z","03. 09. 2025 18:55"
"Control VPD in DMS EU EUR Reverse Charge @middle @low","Control data is deleted from accounting diary","passed",796,"2025-09-03T16:55:45.651Z","03. 09. 2025 18:55"
"Create cash payment in DMS EU PHP Reverse Charge @low","Create cash payment","passed",107507,"2025-09-03T16:57:35.590Z","03. 09. 2025 18:57"
"Control VPD in DMS EU PHP Reverse Charge @low","Control invoice in DMS list","passed",13309,"2025-09-03T16:57:50.442Z","03. 09. 2025 18:57"
"Control VPD in DMS EU PHP Reverse Charge @low","Control accounting in filtr zaúčtování","passed",7440,"2025-09-03T16:57:58.609Z","03. 09. 2025 18:57"
"Control VPD in DMS EU PHP Reverse Charge @low","Control data in crud","passed",7853,"2025-09-03T16:58:06.677Z","03. 09. 2025 18:58"
"Control VPD in DMS EU PHP Reverse Charge @low","Control accounting diary","passed",2445,"2025-09-03T16:58:09.665Z","03. 09. 2025 18:58"
"Control VPD in DMS EU PHP Reverse Charge @low","Delete invoice in DMS","passed",7366,"2025-09-03T16:58:17.096Z","03. 09. 2025 18:58"
"Control VPD in DMS EU PHP Reverse Charge @low","Control data is deleted from accounting diary","passed",910,"2025-09-03T16:58:18.155Z","03. 09. 2025 18:58"
"Create cash payment in DMS RPDP CZK Reverse Charge @high @middle @low","Create cash payment","passed",122971,"2025-09-03T17:00:22.727Z","03. 09. 2025 19:00"
"Control VPD in DMS RPDP CZK Reverse Charge @high @middle @low","Control invoice in DMS list","passed",12722,"2025-09-03T17:00:36.927Z","03. 09. 2025 19:00"
"Control VPD in DMS RPDP CZK Reverse Charge @high @middle @low","Control accounting in filtr zaúčtování","passed",7269,"2025-09-03T17:00:44.758Z","03. 09. 2025 19:00"
"Control VPD in DMS RPDP CZK Reverse Charge @high @middle @low","Control data in crud","passed",7471,"2025-09-03T17:00:52.456Z","03. 09. 2025 19:00"
"Control VPD in DMS RPDP CZK Reverse Charge @high @middle @low","Control accounting diary","passed",2518,"2025-09-03T17:00:55.453Z","03. 09. 2025 19:00"
"Control VPD in DMS RPDP CZK Reverse Charge @high @middle @low","Delete invoice in DMS","passed",8017,"2025-09-03T17:01:03.522Z","03. 09. 2025 19:01"
"Control VPD in DMS RPDP CZK Reverse Charge @high @middle @low","Control data is deleted from accounting diary","passed",827,"2025-09-03T17:01:04.465Z","03. 09. 2025 19:01"
"Create cash payment in DMS RPDP EUR Reverse Charge @middle @low","Create cash payment","passed",114898,"2025-09-03T17:03:01.055Z","03. 09. 2025 19:03"
"Control VPD in DMS RPDP EUR Reverse Charge @middle @low","Control invoice in DMS list","passed",13225,"2025-09-03T17:03:15.768Z","03. 09. 2025 19:03"
"Control VPD in DMS RPDP EUR Reverse Charge @middle @low","Control accounting in filtr zaúčtování","passed",7504,"2025-09-03T17:03:23.828Z","03. 09. 2025 19:03"
"Control VPD in DMS RPDP EUR Reverse Charge @middle @low","Control data in crud","passed",7705,"2025-09-03T17:03:31.686Z","03. 09. 2025 19:03"
"Control VPD in DMS RPDP EUR Reverse Charge @middle @low","Control accounting diary","passed",2557,"2025-09-03T17:03:34.819Z","03. 09. 2025 19:03"
"Control VPD in DMS RPDP EUR Reverse Charge @middle @low","Delete invoice in DMS","passed",7223,"2025-09-03T17:03:42.102Z","03. 09. 2025 19:03"
"Control VPD in DMS RPDP EUR Reverse Charge @middle @low","Control data is deleted from accounting diary","passed",715,"2025-09-03T17:03:42.918Z","03. 09. 2025 19:03"
"Create cash payment in DMS RPDP PHP Reverse Charge @low","Create cash payment","passed",120784,"2025-09-03T17:05:45.281Z","03. 09. 2025 19:05"
"Control VPD v DMS RPDP PHP Reverse Charge @low","Control invoice in DMS list","passed",13078,"2025-09-03T17:06:00.786Z","03. 09. 2025 19:06"
"Control VPD v DMS RPDP PHP Reverse Charge @low","Control accounting in filtr zaúčtování","passed",7401,"2025-09-03T17:06:08.767Z","03. 09. 2025 19:06"
"Control VPD v DMS RPDP PHP Reverse Charge @low","Control data in crud","passed",7570,"2025-09-03T17:06:16.461Z","03. 09. 2025 19:06"
"Control VPD v DMS RPDP PHP Reverse Charge @low","Control accounting diary","passed",2466,"2025-09-03T17:06:19.464Z","03. 09. 2025 19:06"
"Control VPD v DMS RPDP PHP Reverse Charge @low","Delete invoice in DMS","passed",7417,"2025-09-03T17:06:26.936Z","03. 09. 2025 19:06"
"Control VPD v DMS RPDP PHP Reverse Charge @low","Control data is deleted from accounting diary","passed",927,"2025-09-03T17:06:27.964Z","03. 09. 2025 19:06"
"Smazání firmy @high @middle @low","Smazat firmu","passed",14428,"2025-09-03T17:06:43.251Z","03. 09. 2025 19:06"
