# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",13701,"2025-09-08T06:22:01.423Z","08. 09. 2025 08:22"
"Set the company for testing  @high @middle @low","Create contact Bene","passed",11477,"2025-09-08T06:22:13.821Z","08. 09. 2025 08:22"
"Set the company for testing  @high @middle @low","Create 3 centers","passed",7829,"2025-09-08T06:22:21.742Z","08. 09. 2025 08:22"
"Set the company for testing  @high @middle @low","Create 3 activity","passed",7545,"2025-09-08T06:22:29.385Z","08. 09. 2025 08:22"
"Set the company for testing  @high @middle @low","Create 3 projects","passed",7908,"2025-09-08T06:22:37.332Z","08. 09. 2025 08:22"
"Set the company for testing  @high @middle @low","Set filters in the folder Faktury přijaté","passed",9952,"2025-09-08T06:22:47.343Z","08. 09. 2025 08:22"
"Create cash payment - homeland CZK in DMS @high @middle @low","Create cash payment","passed",46695,"2025-09-08T06:23:36.377Z","08. 09. 2025 08:23"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6471,"2025-09-08T06:23:43.124Z","08. 09. 2025 08:23"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6965,"2025-09-08T06:23:50.353Z","08. 09. 2025 08:23"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7276,"2025-09-08T06:23:57.721Z","08. 09. 2025 08:23"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2249,"2025-09-08T06:24:00.361Z","08. 09. 2025 08:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7005,"2025-09-08T06:24:07.442Z","08. 09. 2025 08:24"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",723,"2025-09-08T06:24:08.425Z","08. 09. 2025 08:24"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",49807,"2025-09-08T06:25:00.327Z","08. 09. 2025 08:25"
