# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12546,"2025-09-10T16:05:40.469Z","10. 09. 2025 18:05"
"Set the company for testing  @high @middle @low","Create contact Bene","passed",11760,"2025-09-10T16:05:53.166Z","10. 09. 2025 18:05"
"Set the company for testing  @high @middle @low","Create 3 centers","passed",7834,"2025-09-10T16:06:01.086Z","10. 09. 2025 18:06"
"Set the company for testing  @high @middle @low","Create 3 activity","passed",7208,"2025-09-10T16:06:08.420Z","10. 09. 2025 18:06"
"Set the company for testing  @high @middle @low","Create 3 projects","passed",8008,"2025-09-10T16:06:16.530Z","10. 09. 2025 18:06"
"Set the company for testing  @high @middle @low","Set filters in the folder Faktury přijaté","passed",10381,"2025-09-10T16:06:27.008Z","10. 09. 2025 18:06"
"Create cash payment - homeland CZK in DMS @high @middle @low","Create cash payment","passed",44467,"2025-09-10T16:07:13.025Z","10. 09. 2025 18:07"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6801,"2025-09-10T16:07:20.060Z","10. 09. 2025 18:07"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6721,"2025-09-10T16:07:27.044Z","10. 09. 2025 18:07"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7820,"2025-09-10T16:07:34.967Z","10. 09. 2025 18:07"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1984,"2025-09-10T16:07:37.273Z","10. 09. 2025 18:07"
"Create cash payment - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7121,"2025-09-10T16:07:44.445Z","10. 09. 2025 18:07"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",618,"2025-09-10T16:07:45.174Z","10. 09. 2025 18:07"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",53549,"2025-09-10T16:08:40.402Z","10. 09. 2025 18:08"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",6045,"2025-09-10T16:08:46.721Z","10. 09. 2025 18:08"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6449,"2025-09-10T16:08:53.593Z","10. 09. 2025 18:08"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7131,"2025-09-10T16:09:00.827Z","10. 09. 2025 18:09"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2219,"2025-09-10T16:09:03.423Z","10. 09. 2025 18:09"
"Create cash payment - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7498,"2025-09-10T16:09:10.974Z","10. 09. 2025 18:09"
