# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",13875,"2025-09-11T09:16:36.314Z","11. 09. 2025 11:16"
"Set the company for testing  @high @middle @low","Create contact Bene","passed",11229,"2025-09-11T09:16:48.539Z","11. 09. 2025 11:16"
"Set the company for testing  @high @middle @low","Create 3 centers","passed",7691,"2025-09-11T09:16:56.348Z","11. 09. 2025 11:16"
"Set the company for testing  @high @middle @low","Create 3 activity","passed",7271,"2025-09-11T09:17:03.736Z","11. 09. 2025 11:17"
"Set the company for testing  @high @middle @low","Create 3 projects","passed",7620,"2025-09-11T09:17:11.446Z","11. 09. 2025 11:17"
"Set the company for testing  @high @middle @low","Set filters in the folder Faktury přijaté","passed",9779,"2025-09-11T09:17:21.312Z","11. 09. 2025 11:17"
"Create cash payment - homeland CZK in DMS @high @middle @low","Create cash payment","passed",48184,"2025-09-11T09:18:11.887Z","11. 09. 2025 11:18"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6705,"2025-09-11T09:18:18.769Z","11. 09. 2025 11:18"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7210,"2025-09-11T09:18:26.232Z","11. 09. 2025 11:18"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7592,"2025-09-11T09:18:33.917Z","11. 09. 2025 11:18"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2244,"2025-09-11T09:18:36.462Z","11. 09. 2025 11:18"
"Create cash payment - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7467,"2025-09-11T09:18:43.976Z","11. 09. 2025 11:18"
"Create cash payment - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",659,"2025-09-11T09:18:44.784Z","11. 09. 2025 11:18"
"Create cash payment - homeland EUR in DMS @high @middle @low","Create cash payment","passed",60361,"2025-09-11T09:19:47.180Z","11. 09. 2025 11:19"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7372,"2025-09-11T09:19:54.932Z","11. 09. 2025 11:19"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6986,"2025-09-11T09:20:02.712Z","11. 09. 2025 11:20"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control data in crud","passed",8394,"2025-09-11T09:20:11.290Z","11. 09. 2025 11:20"
"Create cash payment - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2320,"2025-09-11T09:20:14.027Z","11. 09. 2025 11:20"
