"describe","test","status","duration","timestamp","timestampLocal"
"Registration testing company @high @middle @low","Registration testing company","passed",13636,"2025-08-27T16:37:08.657Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11246,"2025-08-27T16:37:20.949Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7367,"2025-08-27T16:37:28.359Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 activity","passed",6815,"2025-08-27T16:37:35.244Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7405,"2025-08-27T16:37:42.720Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9795,"2025-08-27T16:37:52.592Z","27. 08. 2025 18:37"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",24561,"2025-08-27T16:38:19.674Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6274,"2025-08-27T16:38:26.103Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",6908,"2025-08-27T16:38:33.114Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6479,"2025-08-27T16:38:39.718Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",3158,"2025-08-27T16:38:42.962Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",1720,"2025-08-27T16:38:44.850Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",2720,"2025-08-27T16:38:47.613Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",556,"2025-08-27T16:38:48.260Z","27. 08. 2025 18:38"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",25294,"2025-08-27T16:39:15.001Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6169,"2025-08-27T16:39:21.338Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",6888,"2025-08-27T16:39:28.336Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6632,"2025-08-27T16:39:35.139Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",3098,"2025-08-27T16:39:38.327Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2050,"2025-08-27T16:39:40.567Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",3048,"2025-08-27T16:39:43.667Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",627,"2025-08-27T16:39:44.444Z","27. 08. 2025 18:39"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",27025,"2025-08-27T16:40:14.456Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6430,"2025-08-27T16:40:21.361Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",6684,"2025-08-27T16:40:28.292Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6713,"2025-08-27T16:40:35.299Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",3305,"2025-08-27T16:40:38.698Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",1811,"2025-08-27T16:40:40.639Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",3434,"2025-08-27T16:40:44.142Z","27. 08. 2025 18:40"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",640,"2025-08-27T16:40:45.060Z","27. 08. 2025 18:40"
"Delete testing company @high @middle @low","Delete company","passed",14459,"2025-08-27T16:41:00.762Z","27. 08. 2025 18:41"
