"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11699,"2025-08-27T16:37:06.687Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11510,"2025-08-27T16:37:19.308Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7184,"2025-08-27T16:37:26.546Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 activity","passed",6466,"2025-08-27T16:37:33.074Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7009,"2025-08-27T16:37:40.141Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10630,"2025-08-27T16:37:50.854Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Set light-regime","passed",3538,"2025-08-27T16:37:55.339Z","27. 08. 2025 18:37"
"OP - homeland CZK in DMS @high @middle @low","Vytvoření Ostatní pohledávky v modulu DMS","passed",23757,"2025-08-27T16:38:20.525Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6056,"2025-08-27T16:38:26.768Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",6934,"2025-08-27T16:38:33.806Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6893,"2025-08-27T16:38:40.920Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",3252,"2025-08-27T16:38:44.260Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1762,"2025-08-27T16:38:46.173Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",2804,"2025-08-27T16:38:49.016Z","27. 08. 2025 18:38"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",555,"2025-08-27T16:38:49.657Z","27. 08. 2025 18:38"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",25635,"2025-08-27T16:39:16.631Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",5689,"2025-08-27T16:39:22.465Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",6577,"2025-08-27T16:39:29.135Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6206,"2025-08-27T16:39:35.509Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",3453,"2025-08-27T16:39:39.052Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2071,"2025-08-27T16:39:41.352Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",3057,"2025-08-27T16:39:44.453Z","27. 08. 2025 18:39"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",930,"2025-08-27T16:39:46.095Z","27. 08. 2025 18:39"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",27974,"2025-08-27T16:40:15.936Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",6057,"2025-08-27T16:40:22.280Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",7305,"2025-08-27T16:40:29.709Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6714,"2025-08-27T16:40:36.638Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",3124,"2025-08-27T16:40:39.871Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",1936,"2025-08-27T16:40:41.989Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",3364,"2025-08-27T16:40:45.401Z","27. 08. 2025 18:40"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",706,"2025-08-27T16:40:46.317Z","27. 08. 2025 18:40"
"Smazání firmy @high @middle @low","Smazat firmu","passed",15022,"2025-08-27T16:41:02.262Z","27. 08. 2025 18:41"
