"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11901,"2025-08-27T17:10:12.705Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12336,"2025-08-27T17:10:26.073Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7552,"2025-08-27T17:10:33.679Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7307,"2025-08-27T17:10:41.047Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7528,"2025-08-27T17:10:48.624Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9719,"2025-08-27T17:10:58.451Z","27. 08. 2025 19:10"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",25762,"2025-08-27T17:11:26.540Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6317,"2025-08-27T17:11:32.997Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6649,"2025-08-27T17:11:39.753Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6146,"2025-08-27T17:11:46.019Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",3212,"2025-08-27T17:11:49.300Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1933,"2025-08-27T17:11:51.394Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",3255,"2025-08-27T17:11:54.699Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",580,"2025-08-27T17:11:55.338Z","27. 08. 2025 19:11"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",25882,"2025-08-27T17:12:22.341Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6096,"2025-08-27T17:12:28.608Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6453,"2025-08-27T17:12:35.168Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6260,"2025-08-27T17:12:41.561Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",3293,"2025-08-27T17:12:44.926Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1770,"2025-08-27T17:12:46.821Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",2855,"2025-08-27T17:12:49.718Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",537,"2025-08-27T17:12:50.317Z","27. 08. 2025 19:12"
"Create OZ - homeland in DMS @high @middle @low","Create received invoice in DMS","passed",24073,"2025-08-27T17:13:15.521Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",5975,"2025-08-27T17:13:21.627Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6631,"2025-08-27T17:13:28.347Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6047,"2025-08-27T17:13:34.551Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",3128,"2025-08-27T17:13:37.748Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1718,"2025-08-27T17:13:39.564Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",3154,"2025-08-27T17:13:42.753Z","27. 08. 2025 19:13"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",582,"2025-08-27T17:13:43.428Z","27. 08. 2025 19:13"
"Smazání firmy @high @middle @low","Smazat firmu","passed",15082,"2025-08-27T17:13:59.245Z","27. 08. 2025 19:13"
