"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",15861,"2025-08-27T16:45:09.256Z","27. 08. 2025 18:45"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11328,"2025-08-27T16:45:21.894Z","27. 08. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7705,"2025-08-27T16:45:29.660Z","27. 08. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7061,"2025-08-27T16:45:36.784Z","27. 08. 2025 18:45"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7313,"2025-08-27T16:45:44.182Z","27. 08. 2025 18:45"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9705,"2025-08-27T16:45:53.952Z","27. 08. 2025 18:45"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",24098,"2025-08-27T16:46:20.212Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",5845,"2025-08-27T16:46:26.248Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6162,"2025-08-27T16:46:32.534Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",3222,"2025-08-27T16:46:35.873Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",1936,"2025-08-27T16:46:37.952Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",2767,"2025-08-27T16:46:40.762Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",555,"2025-08-27T16:46:41.377Z","27. 08. 2025 18:46"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",27067,"2025-08-27T16:47:09.623Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",5716,"2025-08-27T16:47:15.494Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6348,"2025-08-27T16:47:22.051Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",3111,"2025-08-27T16:47:25.262Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2037,"2025-08-27T16:47:27.472Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",2953,"2025-08-27T16:47:30.478Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",581,"2025-08-27T16:47:31.154Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",26695,"2025-08-27T16:47:59.327Z","27. 08. 2025 18:47"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6560,"2025-08-27T16:48:06.080Z","27. 08. 2025 18:48"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6589,"2025-08-27T16:48:12.860Z","27. 08. 2025 18:48"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",2972,"2025-08-27T16:48:15.913Z","27. 08. 2025 18:48"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",1856,"2025-08-27T16:48:17.865Z","27. 08. 2025 18:48"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",2918,"2025-08-27T16:48:20.818Z","27. 08. 2025 18:48"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",711,"2025-08-27T16:48:21.644Z","27. 08. 2025 18:48"
"Delete company @high @middle @low","Delete company","passed",15167,"2025-08-27T16:48:37.586Z","27. 08. 2025 18:48"
