"describe","test","status","duration","timestamp","timestampLocal"
"Registration testing company @high @middle @low","Registration testing company","passed",15966,"2025-09-03T18:40:41.701Z","03. 09. 2025 20:40"
"Set the company for testing @high @middle @low","Create contact Bene","passed",17728,"2025-09-03T18:41:00.289Z","03. 09. 2025 20:41"
"Set the company for testing @high @middle @low","Create 3 centers","passed",9807,"2025-09-03T18:41:10.131Z","03. 09. 2025 20:41"
"Set the company for testing @high @middle @low","Create 3 activity","passed",10246,"2025-09-03T18:41:20.408Z","03. 09. 2025 20:41"
"Set the company for testing @high @middle @low","Create 3 projects","passed",9815,"2025-09-03T18:41:30.257Z","03. 09. 2025 20:41"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",11559,"2025-09-03T18:41:41.858Z","03. 09. 2025 20:41"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",30967,"2025-09-03T18:42:13.890Z","03. 09. 2025 20:42"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",8587,"2025-09-03T18:42:22.576Z","03. 09. 2025 20:42"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",8796,"2025-09-03T18:42:31.483Z","03. 09. 2025 20:42"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8660,"2025-09-03T18:42:40.247Z","03. 09. 2025 20:42"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",8746,"2025-09-03T18:42:49.052Z","03. 09. 2025 20:42"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2422,"2025-09-03T18:42:51.557Z","03. 09. 2025 20:42"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",9073,"2025-09-03T18:43:00.668Z","03. 09. 2025 20:43"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1126,"2025-09-03T18:43:01.874Z","03. 09. 2025 20:43"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",33629,"2025-09-03T18:43:36.578Z","03. 09. 2025 20:43"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",7675,"2025-09-03T18:43:44.353Z","03. 09. 2025 20:43"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",8437,"2025-09-03T18:43:52.883Z","03. 09. 2025 20:43"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7868,"2025-09-03T18:44:00.882Z","03. 09. 2025 20:44"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7722,"2025-09-03T18:44:08.676Z","03. 09. 2025 20:44"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2348,"2025-09-03T18:44:11.104Z","03. 09. 2025 20:44"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",8831,"2025-09-03T18:44:19.992Z","03. 09. 2025 20:44"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1600,"2025-09-03T18:44:21.656Z","03. 09. 2025 20:44"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",32268,"2025-09-03T18:44:54.951Z","03. 09. 2025 20:44"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",7261,"2025-09-03T18:45:02.311Z","03. 09. 2025 20:45"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",9188,"2025-09-03T18:45:11.582Z","03. 09. 2025 20:45"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8842,"2025-09-03T18:45:20.557Z","03. 09. 2025 20:45"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",8664,"2025-09-03T18:45:29.268Z","03. 09. 2025 20:45"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2690,"2025-09-03T18:45:32.066Z","03. 09. 2025 20:45"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",8816,"2025-09-03T18:45:40.922Z","03. 09. 2025 20:45"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",948,"2025-09-03T18:45:41.935Z","03. 09. 2025 20:45"
"Delete testing company @high @middle @low","Delete company","passed",18073,"2025-09-03T18:46:00.689Z","03. 09. 2025 20:46"
