# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testing company @high @middle @low","Registration testing company","passed",14225,"2025-09-08T07:42:06.814Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create contact Bene","passed",15337,"2025-09-08T07:42:23.146Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7680,"2025-09-08T07:42:30.909Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7679,"2025-09-08T07:42:38.632Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7881,"2025-09-08T07:42:46.565Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9845,"2025-09-08T07:42:56.493Z","08. 09. 2025 09:42"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",25514,"2025-09-08T07:43:24.525Z","08. 09. 2025 09:43"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6299,"2025-09-08T07:43:31.037Z","08. 09. 2025 09:43"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",7303,"2025-09-08T07:43:38.448Z","08. 09. 2025 09:43"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6551,"2025-09-08T07:43:45.182Z","08. 09. 2025 09:43"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7298,"2025-09-08T07:43:52.562Z","08. 09. 2025 09:43"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2132,"2025-09-08T07:43:54.840Z","08. 09. 2025 09:43"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",6871,"2025-09-08T07:44:01.767Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",554,"2025-09-08T07:44:02.444Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",26652,"2025-09-08T07:44:30.568Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6299,"2025-09-08T07:44:36.989Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",6913,"2025-09-08T07:44:44.048Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6317,"2025-09-08T07:44:50.531Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7659,"2025-09-08T07:44:58.293Z","08. 09. 2025 09:44"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2140,"2025-09-08T07:45:00.647Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",6991,"2025-09-08T07:45:07.705Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",645,"2025-09-08T07:45:08.487Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",26488,"2025-09-08T07:45:36.858Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6030,"2025-09-08T07:45:43.138Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",6864,"2025-09-08T07:45:50.140Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6705,"2025-09-08T07:45:57.084Z","08. 09. 2025 09:45"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7053,"2025-09-08T07:46:04.256Z","08. 09. 2025 09:46"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2043,"2025-09-08T07:46:06.515Z","08. 09. 2025 09:46"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",7009,"2025-09-08T07:46:13.575Z","08. 09. 2025 09:46"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",656,"2025-09-08T07:46:14.418Z","08. 09. 2025 09:46"
"Delete testing company @high @middle @low","Delete company","passed",11936,"2025-09-08T07:46:27.630Z","08. 09. 2025 09:46"
