# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testing company @high @middle @low","Registration testing company","passed",13775,"2025-09-10T17:49:47.925Z","10. 09. 2025 19:49"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12784,"2025-09-10T17:50:01.589Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7469,"2025-09-10T17:50:09.088Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7819,"2025-09-10T17:50:16.938Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7698,"2025-09-10T17:50:24.714Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",10896,"2025-09-10T17:50:35.690Z","10. 09. 2025 19:50"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",26076,"2025-09-10T17:51:03.126Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6139,"2025-09-10T17:51:09.417Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",7091,"2025-09-10T17:51:16.584Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6270,"2025-09-10T17:51:22.971Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",6943,"2025-09-10T17:51:30.008Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2100,"2025-09-10T17:51:32.243Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",7108,"2025-09-10T17:51:39.396Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",589,"2025-09-10T17:51:40.070Z","10. 09. 2025 19:51"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",25120,"2025-09-10T17:52:06.644Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6152,"2025-09-10T17:52:12.981Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",7182,"2025-09-10T17:52:20.258Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6327,"2025-09-10T17:52:26.762Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7107,"2025-09-10T17:52:33.933Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2009,"2025-09-10T17:52:36.079Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",6690,"2025-09-10T17:52:42.811Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",561,"2025-09-10T17:52:43.507Z","10. 09. 2025 19:52"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",25715,"2025-09-10T17:53:10.556Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6239,"2025-09-10T17:53:16.924Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",7624,"2025-09-10T17:53:24.671Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6486,"2025-09-10T17:53:31.358Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7361,"2025-09-10T17:53:38.807Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",1924,"2025-09-10T17:53:40.870Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",7566,"2025-09-10T17:53:48.482Z","10. 09. 2025 19:53"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",616,"2025-09-10T17:53:49.226Z","10. 09. 2025 19:53"
"Delete testing company @high @middle @low","Delete company","passed",12559,"2025-09-10T17:54:02.606Z","10. 09. 2025 19:54"
