# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testing company @high @middle @low","Registration testing company","passed",11531,"2025-09-11T10:50:49.445Z","11. 09. 2025 12:50"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11800,"2025-09-11T10:51:02.248Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7771,"2025-09-11T10:51:10.096Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7504,"2025-09-11T10:51:17.691Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7905,"2025-09-11T10:51:25.645Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9733,"2025-09-11T10:51:35.445Z","11. 09. 2025 12:51"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",24792,"2025-09-11T10:52:02.622Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6548,"2025-09-11T10:52:09.348Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",6930,"2025-09-11T10:52:16.379Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6810,"2025-09-11T10:52:23.321Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",8934,"2025-09-11T10:52:32.356Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2044,"2025-09-11T10:52:34.551Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",7092,"2025-09-11T10:52:41.691Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",679,"2025-09-11T10:52:42.476Z","11. 09. 2025 12:52"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",28308,"2025-09-11T10:53:12.303Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6879,"2025-09-11T10:53:19.394Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",7247,"2025-09-11T10:53:26.758Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6656,"2025-09-11T10:53:33.593Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7626,"2025-09-11T10:53:41.350Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2124,"2025-09-11T10:53:43.719Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",7266,"2025-09-11T10:53:51.108Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",792,"2025-09-11T10:53:52.090Z","11. 09. 2025 12:53"
"Create received invoice in DMS @high @middle @low","Create received invoice in DMS","passed",26399,"2025-09-11T10:54:20.192Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Control invoice in DMS list","passed",6442,"2025-09-11T10:54:26.782Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Control data in infobox","passed",7308,"2025-09-11T10:54:34.195Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7040,"2025-09-11T10:54:41.454Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Control data in crud","passed",7344,"2025-09-11T10:54:48.889Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Control accounting diary","passed",2030,"2025-09-11T10:54:51.076Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Delete invoice in DMS","passed",6680,"2025-09-11T10:54:57.802Z","11. 09. 2025 12:54"
"Create received invoice in DMS @high @middle @low","Control data is deleted from accounting diary","passed",653,"2025-09-11T10:54:58.553Z","11. 09. 2025 12:54"
"Delete testing company @high @middle @low","Delete company","passed",11894,"2025-09-11T10:55:11.259Z","11. 09. 2025 12:55"
