"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",15655,"2025-08-27T16:37:10.641Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11078,"2025-08-27T16:37:22.806Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7304,"2025-08-27T16:37:30.156Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7209,"2025-08-27T16:37:37.434Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7372,"2025-08-27T16:37:44.884Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9679,"2025-08-27T16:37:54.621Z","27. 08. 2025 18:37"
"Set the company for testing @high @middle @low","Set light-regime","passed",3616,"2025-08-27T16:37:59.065Z","27. 08. 2025 18:37"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Create issued invoice","passed",24772,"2025-08-27T16:38:25.150Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6258,"2025-08-27T16:38:31.546Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",6767,"2025-08-27T16:38:38.459Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6338,"2025-08-27T16:38:45.010Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in crud","passed",3107,"2025-08-27T16:38:48.181Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1960,"2025-08-27T16:38:50.297Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",3014,"2025-08-27T16:38:53.364Z","27. 08. 2025 18:38"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",641,"2025-08-27T16:38:54.126Z","27. 08. 2025 18:38"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Create issued invoice","passed",25848,"2025-08-27T16:39:21.541Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",5818,"2025-08-27T16:39:27.556Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",6820,"2025-08-27T16:39:34.491Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6223,"2025-08-27T16:39:40.918Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in crud","passed",3205,"2025-08-27T16:39:44.216Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2668,"2025-08-27T16:39:47.092Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",3125,"2025-08-27T16:39:50.273Z","27. 08. 2025 18:39"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",591,"2025-08-27T16:39:51.008Z","27. 08. 2025 18:39"
"Issued Invoice - homeland PHP in DMS @high @middle @low","Create issued invoice","passed",28389,"2025-08-27T16:40:20.930Z","27. 08. 2025 18:40"
