# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",15421,"2025-09-03T18:28:28.224Z","03. 09. 2025 20:28"
"Set the company for testing @high @middle @low","Create contact Bene","passed",25761,"2025-09-03T18:28:55.022Z","03. 09. 2025 20:28"
"Set the company for testing @high @middle @low","Create 3 centers","passed",9238,"2025-09-03T18:29:04.312Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8062,"2025-09-03T18:29:12.473Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8781,"2025-09-03T18:29:21.368Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",12407,"2025-09-03T18:29:33.845Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Set light-regime","passed",4623,"2025-09-03T18:29:38.591Z","03. 09. 2025 20:29"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Create issued invoice","passed",39919,"2025-09-03T18:30:19.675Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6384,"2025-09-03T18:30:26.197Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7406,"2025-09-03T18:30:33.707Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7018,"2025-09-03T18:30:40.857Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7906,"2025-09-03T18:30:48.843Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2345,"2025-09-03T18:30:51.287Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7192,"2025-09-03T18:30:58.549Z","03. 09. 2025 20:30"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",977,"2025-09-03T18:30:59.664Z","03. 09. 2025 20:30"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Create issued invoice","passed",56951,"2025-09-03T18:31:58.205Z","03. 09. 2025 20:31"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7195,"2025-09-03T18:32:05.524Z","03. 09. 2025 20:32"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7656,"2025-09-03T18:32:13.283Z","03. 09. 2025 20:32"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7360,"2025-09-03T18:32:20.773Z","03. 09. 2025 20:32"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in crud","passed",8157,"2025-09-03T18:32:29.009Z","03. 09. 2025 20:32"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2309,"2025-09-03T18:32:31.462Z","03. 09. 2025 20:32"
