# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",12852,"2025-09-08T07:42:05.484Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create contact Bene","passed",16154,"2025-09-08T07:42:22.688Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7903,"2025-09-08T07:42:30.659Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7226,"2025-09-08T07:42:37.989Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7790,"2025-09-08T07:42:45.880Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9900,"2025-09-08T07:42:55.864Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Set light-regime","passed",3400,"2025-09-08T07:43:00.263Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Create issued invoice","passed",25947,"2025-09-08T07:43:27.534Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5837,"2025-09-08T07:43:33.508Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7411,"2025-09-08T07:43:41.031Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6442,"2025-09-08T07:43:47.597Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7457,"2025-09-08T07:43:55.132Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2027,"2025-09-08T07:43:57.313Z","08. 09. 2025 09:43"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6974,"2025-09-08T07:44:04.330Z","08. 09. 2025 09:44"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",649,"2025-09-08T07:44:05.102Z","08. 09. 2025 09:44"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Create issued invoice","passed",26050,"2025-09-08T07:44:32.495Z","08. 09. 2025 09:44"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",5909,"2025-09-08T07:44:38.628Z","08. 09. 2025 09:44"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7145,"2025-09-08T07:44:45.885Z","08. 09. 2025 09:44"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6432,"2025-09-08T07:44:52.618Z","08. 09. 2025 09:44"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7342,"2025-09-08T07:45:00.095Z","08. 09. 2025 09:45"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",1858,"2025-09-08T07:45:02.117Z","08. 09. 2025 09:45"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",6897,"2025-09-08T07:45:09.063Z","08. 09. 2025 09:45"
