# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",11332,"2025-09-10T17:49:45.471Z","10. 09. 2025 19:49"
"Set the company for testing @high @middle @low","Create contact Bene","passed",13159,"2025-09-10T17:49:59.556Z","10. 09. 2025 19:49"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8036,"2025-09-10T17:50:07.672Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7392,"2025-09-10T17:50:15.169Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8061,"2025-09-10T17:50:23.273Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10118,"2025-09-10T17:50:33.465Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Set light-regime","passed",4434,"2025-09-10T17:50:38.924Z","10. 09. 2025 19:50"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Create issued invoice","passed",25275,"2025-09-10T17:51:05.506Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5783,"2025-09-10T17:51:11.447Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7056,"2025-09-10T17:51:18.573Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6183,"2025-09-10T17:51:24.851Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in crud","passed",6826,"2025-09-10T17:51:31.723Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1829,"2025-09-10T17:51:33.671Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6909,"2025-09-10T17:51:40.622Z","10. 09. 2025 19:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",660,"2025-09-10T17:51:41.380Z","10. 09. 2025 19:51"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Create issued invoice","passed",25294,"2025-09-10T17:52:08.069Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7326,"2025-09-10T17:52:15.525Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",6901,"2025-09-10T17:52:22.534Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6420,"2025-09-10T17:52:29.099Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7312,"2025-09-10T17:52:36.482Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",1865,"2025-09-10T17:52:38.478Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",6747,"2025-09-10T17:52:45.261Z","10. 09. 2025 19:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",595,"2025-09-10T17:52:45.971Z","10. 09. 2025 19:52"
"Issued Invoice - homeland PHP in DMS @high @middle @low","Create issued invoice","passed",25884,"2025-09-10T17:53:13.225Z","10. 09. 2025 19:53"
