# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",12983,"2025-09-11T10:50:50.909Z","11. 09. 2025 12:50"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11777,"2025-09-11T10:51:03.617Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7748,"2025-09-11T10:51:11.397Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7358,"2025-09-11T10:51:18.809Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7695,"2025-09-11T10:51:26.605Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9517,"2025-09-11T10:51:36.193Z","11. 09. 2025 12:51"
"Set the company for testing @high @middle @low","Set light-regime","passed",3156,"2025-09-11T10:51:40.518Z","11. 09. 2025 12:51"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Create issued invoice","passed",24409,"2025-09-11T10:52:06.344Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6198,"2025-09-11T10:52:12.729Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7233,"2025-09-11T10:52:20.056Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8906,"2025-09-11T10:52:29.064Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7086,"2025-09-11T10:52:36.227Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1988,"2025-09-11T10:52:38.413Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7528,"2025-09-11T10:52:45.991Z","11. 09. 2025 12:52"
"Issued Invoice - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",724,"2025-09-11T10:52:46.821Z","11. 09. 2025 12:52"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Create issued invoice","passed",28276,"2025-09-11T10:53:16.552Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",6445,"2025-09-11T10:53:23.169Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7553,"2025-09-11T10:53:30.857Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6826,"2025-09-11T10:53:37.871Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7583,"2025-09-11T10:53:45.556Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",1931,"2025-09-11T10:53:47.708Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7397,"2025-09-11T10:53:55.145Z","11. 09. 2025 12:53"
"Issued Invoice - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",785,"2025-09-11T10:53:56.049Z","11. 09. 2025 12:53"
"Issued Invoice - homeland PHP in DMS @high @middle @low","Create issued invoice","passed",26158,"2025-09-11T10:54:23.787Z","11. 09. 2025 12:54"
