"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",13869,"2025-09-03T18:28:26.610Z","03. 09. 2025 20:28"
"Set the company for testing @high @middle @low","Create contact Bene","passed",24868,"2025-09-03T18:28:52.403Z","03. 09. 2025 20:28"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8875,"2025-09-03T18:29:01.359Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8570,"2025-09-03T18:29:09.984Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8566,"2025-09-03T18:29:18.591Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",12181,"2025-09-03T18:29:30.832Z","03. 09. 2025 20:29"
"Set the company for testing @high @middle @low","Set light-regime","passed",4621,"2025-09-03T18:29:36.780Z","03. 09. 2025 20:29"
"OP - homeland CZK in DMS @high @middle @low","Vytvoření Ostatní pohledávky v modulu DMS","passed",39816,"2025-09-03T18:30:17.916Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6563,"2025-09-03T18:30:24.703Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7522,"2025-09-03T18:30:32.309Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7106,"2025-09-03T18:30:39.549Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7503,"2025-09-03T18:30:47.120Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2267,"2025-09-03T18:30:49.647Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7565,"2025-09-03T18:30:57.263Z","03. 09. 2025 20:30"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",711,"2025-09-03T18:30:58.083Z","03. 09. 2025 20:30"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",57945,"2025-09-03T18:31:58.081Z","03. 09. 2025 20:31"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7002,"2025-09-03T18:32:05.201Z","03. 09. 2025 20:32"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",8132,"2025-09-03T18:32:13.424Z","03. 09. 2025 20:32"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7208,"2025-09-03T18:32:20.765Z","03. 09. 2025 20:32"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",8049,"2025-09-03T18:32:28.895Z","03. 09. 2025 20:32"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2246,"2025-09-03T18:32:31.256Z","03. 09. 2025 20:32"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7083,"2025-09-03T18:32:38.375Z","03. 09. 2025 20:32"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",632,"2025-09-03T18:32:39.098Z","03. 09. 2025 20:32"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",34498,"2025-09-03T18:33:14.858Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",6401,"2025-09-03T18:33:21.368Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",7728,"2025-09-03T18:33:29.176Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6855,"2025-09-03T18:33:36.159Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",7769,"2025-09-03T18:33:44.004Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2183,"2025-09-03T18:33:46.308Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",9554,"2025-09-03T18:33:55.903Z","03. 09. 2025 20:33"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",962,"2025-09-03T18:33:56.948Z","03. 09. 2025 20:33"
"Smazání firmy @high @middle @low","Smazat firmu","passed",18788,"2025-09-03T18:34:16.560Z","03. 09. 2025 20:34"
