# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11680,"2025-09-08T07:42:04.275Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create contact Bene","passed",16605,"2025-09-08T07:42:22.077Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8153,"2025-09-08T07:42:30.317Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7732,"2025-09-08T07:42:38.110Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7757,"2025-09-08T07:42:45.949Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10709,"2025-09-08T07:42:56.743Z","08. 09. 2025 09:42"
"Set the company for testing @high @middle @low","Set light-regime","passed",3687,"2025-09-08T07:43:00.523Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Vytvoření Ostatní pohledávky v modulu DMS","passed",25280,"2025-09-08T07:43:27.221Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6159,"2025-09-08T07:43:33.681Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7283,"2025-09-08T07:43:41.053Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6495,"2025-09-08T07:43:47.669Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",7183,"2025-09-08T07:43:54.929Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2006,"2025-09-08T07:43:57.117Z","08. 09. 2025 09:43"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6679,"2025-09-08T07:44:03.837Z","08. 09. 2025 09:44"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",601,"2025-09-08T07:44:04.542Z","08. 09. 2025 09:44"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",27014,"2025-09-08T07:44:32.881Z","08. 09. 2025 09:44"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",6083,"2025-09-08T07:44:39.116Z","08. 09. 2025 09:44"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7033,"2025-09-08T07:44:46.250Z","08. 09. 2025 09:44"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6583,"2025-09-08T07:44:53.029Z","08. 09. 2025 09:44"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7481,"2025-09-08T07:45:00.613Z","08. 09. 2025 09:45"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",1954,"2025-09-08T07:45:02.794Z","08. 09. 2025 09:45"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",6898,"2025-09-08T07:45:09.745Z","08. 09. 2025 09:45"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",741,"2025-09-08T07:45:10.683Z","08. 09. 2025 09:45"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",26534,"2025-09-08T07:45:38.884Z","08. 09. 2025 09:45"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",5897,"2025-09-08T07:45:44.927Z","08. 09. 2025 09:45"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",6800,"2025-09-08T07:45:51.823Z","08. 09. 2025 09:45"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6752,"2025-09-08T07:45:58.779Z","08. 09. 2025 09:45"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",6889,"2025-09-08T07:46:05.754Z","08. 09. 2025 09:46"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2024,"2025-09-08T07:46:08.096Z","08. 09. 2025 09:46"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",6815,"2025-09-08T07:46:14.979Z","08. 09. 2025 09:46"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",699,"2025-09-08T07:46:15.776Z","08. 09. 2025 09:46"
"Smazání firmy @high @middle @low","Smazat firmu","passed",11599,"2025-09-08T07:46:28.445Z","08. 09. 2025 09:46"
