# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12590,"2025-09-10T17:49:46.732Z","10. 09. 2025 19:49"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12924,"2025-09-10T17:50:00.574Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7731,"2025-09-10T17:50:08.339Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7438,"2025-09-10T17:50:15.860Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7861,"2025-09-10T17:50:23.778Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10759,"2025-09-10T17:50:34.659Z","10. 09. 2025 19:50"
"Set the company for testing @high @middle @low","Set light-regime","passed",3390,"2025-09-10T17:50:38.243Z","10. 09. 2025 19:50"
"OP - homeland CZK in DMS @high @middle @low","Vytvoření Ostatní pohledávky v modulu DMS","passed",25640,"2025-09-10T17:51:05.129Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5894,"2025-09-10T17:51:11.200Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",6758,"2025-09-10T17:51:18.047Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6480,"2025-09-10T17:51:24.631Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",6754,"2025-09-10T17:51:31.449Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2041,"2025-09-10T17:51:33.617Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6866,"2025-09-10T17:51:40.530Z","10. 09. 2025 19:51"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",569,"2025-09-10T17:51:41.191Z","10. 09. 2025 19:51"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",25163,"2025-09-10T17:52:07.731Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",6146,"2025-09-10T17:52:14.031Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7143,"2025-09-10T17:52:21.272Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6427,"2025-09-10T17:52:27.882Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7165,"2025-09-10T17:52:35.111Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",1961,"2025-09-10T17:52:37.217Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",6727,"2025-09-10T17:52:43.994Z","10. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",593,"2025-09-10T17:52:44.703Z","10. 09. 2025 19:52"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",25862,"2025-09-10T17:53:11.890Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",6326,"2025-09-10T17:53:18.360Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",8201,"2025-09-10T17:53:26.652Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6342,"2025-09-10T17:53:33.145Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",6894,"2025-09-10T17:53:40.139Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2068,"2025-09-10T17:53:42.448Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7313,"2025-09-10T17:53:49.801Z","10. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",646,"2025-09-10T17:53:50.576Z","10. 09. 2025 19:53"
"Smazání firmy @high @middle @low","Smazat firmu","passed",11927,"2025-09-10T17:54:03.434Z","10. 09. 2025 19:54"
