# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11875,"2025-09-11T11:05:26.511Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11792,"2025-09-11T11:05:39.493Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7998,"2025-09-11T11:05:47.541Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7689,"2025-09-11T11:05:55.275Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7762,"2025-09-11T11:06:03.081Z","11. 09. 2025 13:06"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10513,"2025-09-11T11:06:13.693Z","11. 09. 2025 13:06"
"Set the company for testing @high @middle @low","Set light-regime","passed",3410,"2025-09-11T11:06:18.473Z","11. 09. 2025 13:06"
"OP - homeland CZK in DMS @high @middle @low","Vytvoření Ostatní pohledávky v modulu DMS","passed",25512,"2025-09-11T11:06:45.586Z","11. 09. 2025 13:06"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7014,"2025-09-11T11:06:52.790Z","11. 09. 2025 13:06"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",7958,"2025-09-11T11:07:00.944Z","11. 09. 2025 13:07"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6858,"2025-09-11T11:07:08.403Z","11. 09. 2025 13:07"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",9398,"2025-09-11T11:07:17.987Z","11. 09. 2025 13:07"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2537,"2025-09-11T11:07:20.806Z","11. 09. 2025 13:07"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8854,"2025-09-11T11:07:29.816Z","11. 09. 2025 13:07"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",754,"2025-09-11T11:07:30.928Z","11. 09. 2025 13:07"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",28343,"2025-09-11T11:08:01.305Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7962,"2025-09-11T11:08:09.485Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7457,"2025-09-11T11:08:17.107Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8169,"2025-09-11T11:08:25.624Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",10144,"2025-09-11T11:08:35.963Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2711,"2025-09-11T11:08:38.849Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7635,"2025-09-11T11:08:46.540Z","11. 09. 2025 13:08"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",746,"2025-09-11T11:08:47.562Z","11. 09. 2025 13:08"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",28081,"2025-09-11T11:09:17.791Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",6902,"2025-09-11T11:09:24.919Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",8343,"2025-09-11T11:09:33.383Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7569,"2025-09-11T11:09:41.107Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",7723,"2025-09-11T11:09:48.926Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2072,"2025-09-11T11:09:51.196Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7069,"2025-09-11T11:09:58.321Z","11. 09. 2025 13:09"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",565,"2025-09-11T11:09:59.007Z","11. 09. 2025 13:09"
"Smazání firmy @high @middle @low","Smazat firmu","passed",12231,"2025-09-11T11:10:12.398Z","11. 09. 2025 13:10"
