# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",15702,"2025-09-03T18:48:17.768Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create contact Bene","passed",15614,"2025-09-03T18:48:34.264Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8393,"2025-09-03T18:48:42.700Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7766,"2025-09-03T18:48:50.561Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8554,"2025-09-03T18:48:59.250Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",12830,"2025-09-03T18:49:12.175Z","03. 09. 2025 20:49"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",62792,"2025-09-03T18:50:16.390Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",7626,"2025-09-03T18:50:24.130Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",7485,"2025-09-03T18:50:31.708Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7551,"2025-09-03T18:50:39.363Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",7965,"2025-09-03T18:50:47.399Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2589,"2025-09-03T18:50:50.095Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",7255,"2025-09-03T18:50:57.393Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",832,"2025-09-03T18:50:58.330Z","03. 09. 2025 20:50"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",29920,"2025-09-03T18:51:29.500Z","03. 09. 2025 20:51"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",7142,"2025-09-03T18:51:36.783Z","03. 09. 2025 20:51"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",8065,"2025-09-03T18:51:44.954Z","03. 09. 2025 20:51"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6927,"2025-09-03T18:51:52.046Z","03. 09. 2025 20:51"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",7689,"2025-09-03T18:51:59.821Z","03. 09. 2025 20:51"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2035,"2025-09-03T18:52:01.946Z","03. 09. 2025 20:52"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",7497,"2025-09-03T18:52:09.494Z","03. 09. 2025 20:52"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",711,"2025-09-03T18:52:10.302Z","03. 09. 2025 20:52"
"Create OZ - homeland in DMS @high @middle @low","Create received invoice in DMS","passed",30029,"2025-09-03T18:52:41.496Z","03. 09. 2025 20:52"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",7097,"2025-09-03T18:52:48.739Z","03. 09. 2025 20:52"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",7714,"2025-09-03T18:52:56.579Z","03. 09. 2025 20:52"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7095,"2025-09-03T18:53:03.837Z","03. 09. 2025 20:53"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",7620,"2025-09-03T18:53:11.536Z","03. 09. 2025 20:53"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2125,"2025-09-03T18:53:13.793Z","03. 09. 2025 20:53"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",8484,"2025-09-03T18:53:22.321Z","03. 09. 2025 20:53"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",966,"2025-09-03T18:53:23.364Z","03. 09. 2025 20:53"
"Smazání firmy @high @middle @low","Smazat firmu","passed",19227,"2025-09-03T18:53:43.305Z","03. 09. 2025 20:53"
