# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",14448,"2025-09-08T07:53:12.760Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11712,"2025-09-08T07:53:25.579Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7573,"2025-09-08T07:53:33.261Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7708,"2025-09-08T07:53:41.030Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7918,"2025-09-08T07:53:49.012Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",11353,"2025-09-08T07:54:00.414Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",23621,"2025-09-08T07:54:25.351Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",5927,"2025-09-08T07:54:31.390Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6948,"2025-09-08T07:54:38.468Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6493,"2025-09-08T07:54:45.085Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",6891,"2025-09-08T07:54:52.050Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2078,"2025-09-08T07:54:54.266Z","08. 09. 2025 09:54"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",7260,"2025-09-08T07:55:01.577Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",512,"2025-09-08T07:55:02.203Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",26848,"2025-09-08T07:55:30.513Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6331,"2025-09-08T07:55:36.975Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",7040,"2025-09-08T07:55:44.132Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6600,"2025-09-08T07:55:50.911Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",6825,"2025-09-08T07:55:57.837Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1865,"2025-09-08T07:55:59.850Z","08. 09. 2025 09:55"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",6600,"2025-09-08T07:56:06.493Z","08. 09. 2025 09:56"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",650,"2025-09-08T07:56:07.262Z","08. 09. 2025 09:56"
"Create OZ - homeland in DMS @high @middle @low","Create received invoice in DMS","passed",26709,"2025-09-08T07:56:35.552Z","08. 09. 2025 09:56"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6099,"2025-09-08T07:56:41.782Z","08. 09. 2025 09:56"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6771,"2025-09-08T07:56:48.646Z","08. 09. 2025 09:56"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6387,"2025-09-08T07:56:55.229Z","08. 09. 2025 09:56"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",7433,"2025-09-08T07:57:02.897Z","08. 09. 2025 09:57"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1973,"2025-09-08T07:57:05.128Z","08. 09. 2025 09:57"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",6446,"2025-09-08T07:57:11.623Z","08. 09. 2025 09:57"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",520,"2025-09-08T07:57:12.239Z","08. 09. 2025 09:57"
"Smazání firmy @high @middle @low","Smazat firmu","passed",12101,"2025-09-08T07:57:25.138Z","08. 09. 2025 09:57"
