# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",14044,"2025-09-10T18:35:54.781Z","10. 09. 2025 20:35"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11520,"2025-09-10T18:36:07.204Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7715,"2025-09-10T18:36:14.980Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7827,"2025-09-10T18:36:22.902Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7306,"2025-09-10T18:36:30.312Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",12519,"2025-09-10T18:36:42.908Z","10. 09. 2025 20:36"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",23792,"2025-09-10T18:37:08.105Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6180,"2025-09-10T18:37:14.446Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6985,"2025-09-10T18:37:21.517Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6165,"2025-09-10T18:37:27.798Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",6923,"2025-09-10T18:37:34.788Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1927,"2025-09-10T18:37:36.816Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",6853,"2025-09-10T18:37:43.713Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",663,"2025-09-10T18:37:44.473Z","10. 09. 2025 20:37"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",25433,"2025-09-10T18:38:11.079Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6030,"2025-09-10T18:38:17.246Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6961,"2025-09-10T18:38:24.313Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6577,"2025-09-10T18:38:31.064Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",7800,"2025-09-10T18:38:38.943Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",1899,"2025-09-10T18:38:40.987Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",7161,"2025-09-10T18:38:48.196Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",630,"2025-09-10T18:38:48.964Z","10. 09. 2025 20:38"
"Create OZ - homeland in DMS @high @middle @low","Create received invoice in DMS","passed",25845,"2025-09-10T18:39:16.238Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",6125,"2025-09-10T18:39:22.527Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",7174,"2025-09-10T18:39:29.793Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6541,"2025-09-10T18:39:36.466Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",7008,"2025-09-10T18:39:43.550Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2128,"2025-09-10T18:39:45.816Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",6894,"2025-09-10T18:39:52.747Z","10. 09. 2025 20:39"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",572,"2025-09-10T18:39:53.415Z","10. 09. 2025 20:39"
"Smazání firmy @high @middle @low","Smazat firmu","passed",13010,"2025-09-10T18:40:07.160Z","10. 09. 2025 20:40"
