# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",13250,"2025-09-11T11:05:27.796Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11537,"2025-09-11T11:05:40.472Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7786,"2025-09-11T11:05:48.353Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7228,"2025-09-11T11:05:55.701Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7949,"2025-09-11T11:06:03.725Z","11. 09. 2025 13:06"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",11462,"2025-09-11T11:06:15.369Z","11. 09. 2025 13:06"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",25463,"2025-09-11T11:06:43.063Z","11. 09. 2025 13:06"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",7234,"2025-09-11T11:06:50.591Z","11. 09. 2025 13:06"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",6890,"2025-09-11T11:06:57.866Z","11. 09. 2025 13:06"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7724,"2025-09-11T11:07:05.998Z","11. 09. 2025 13:07"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",8450,"2025-09-11T11:07:14.615Z","11. 09. 2025 13:07"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2697,"2025-09-11T11:07:17.777Z","11. 09. 2025 13:07"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",8837,"2025-09-11T11:07:26.753Z","11. 09. 2025 13:07"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",942,"2025-09-11T11:07:28.008Z","11. 09. 2025 13:07"
"Create OZ - homeland in DMS @high @middle @low","Create OZ in DMS","passed",28500,"2025-09-11T11:07:58.580Z","11. 09. 2025 13:07"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",9362,"2025-09-11T11:08:08.258Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",7632,"2025-09-11T11:08:16.095Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7870,"2025-09-11T11:08:24.451Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",10698,"2025-09-11T11:08:35.438Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2243,"2025-09-11T11:08:37.967Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",7265,"2025-09-11T11:08:45.320Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",912,"2025-09-11T11:08:46.382Z","11. 09. 2025 13:08"
"Create OZ - homeland in DMS @high @middle @low","Create received invoice in DMS","passed",28475,"2025-09-11T11:09:17.282Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Control invoice in DMS list","passed",7095,"2025-09-11T11:09:24.632Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Control data in infobox","passed",7771,"2025-09-11T11:09:32.686Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7369,"2025-09-11T11:09:40.638Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Control data in crud","passed",8236,"2025-09-11T11:09:49.002Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Control accounting diary","passed",2020,"2025-09-11T11:09:51.216Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Delete invoice in DMS","passed",7343,"2025-09-11T11:09:58.613Z","11. 09. 2025 13:09"
"Create OZ - homeland in DMS @high @middle @low","Control data is deleted from accounting diary","passed",642,"2025-09-11T11:09:59.378Z","11. 09. 2025 13:09"
"Smazání firmy @high @middle @low","Smazat firmu","passed",11988,"2025-09-11T11:10:12.404Z","11. 09. 2025 13:10"
