"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",14136,"2025-08-27T17:10:14.944Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11424,"2025-08-27T17:10:27.380Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7551,"2025-08-27T17:10:35.013Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7136,"2025-08-27T17:10:42.210Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7467,"2025-08-27T17:10:49.769Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9262,"2025-08-27T17:10:59.127Z","27. 08. 2025 19:10"
"Set the company for testing @high @middle @low","Set light-regime","passed",3130,"2025-08-27T17:11:03.195Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Create cash receipt","passed",24021,"2025-08-27T17:11:28.422Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control invoice in DMS list","passed",5828,"2025-08-27T17:11:34.362Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6704,"2025-08-27T17:11:41.169Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data in crud","passed",3074,"2025-08-27T17:11:44.314Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting diary","passed",1842,"2025-08-27T17:11:46.246Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Delete invoice in DMS","passed",2850,"2025-08-27T17:11:49.128Z","27. 08. 2025 19:11"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",553,"2025-08-27T17:11:49.745Z","27. 08. 2025 19:11"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",27222,"2025-08-27T17:12:18.175Z","27. 08. 2025 19:12"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",5845,"2025-08-27T17:12:24.212Z","27. 08. 2025 19:12"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6504,"2025-08-27T17:12:30.868Z","27. 08. 2025 19:12"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",3302,"2025-08-27T17:12:34.238Z","27. 08. 2025 19:12"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",1864,"2025-08-27T17:12:36.311Z","27. 08. 2025 19:12"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",2997,"2025-08-27T17:12:39.382Z","27. 08. 2025 19:12"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",630,"2025-08-27T17:12:40.120Z","27. 08. 2025 19:12"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",24217,"2025-08-27T17:13:05.614Z","27. 08. 2025 19:13"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",5792,"2025-08-27T17:13:11.518Z","27. 08. 2025 19:13"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6798,"2025-08-27T17:13:18.488Z","27. 08. 2025 19:13"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",2949,"2025-08-27T17:13:21.515Z","27. 08. 2025 19:13"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",1781,"2025-08-27T17:13:23.417Z","27. 08. 2025 19:13"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",2842,"2025-08-27T17:13:26.301Z","27. 08. 2025 19:13"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data is deleted from accounting diary","passed",542,"2025-08-27T17:13:26.925Z","27. 08. 2025 19:13"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",20573,"2025-08-27T17:13:48.451Z","27. 08. 2025 19:13"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6293,"2025-08-27T17:13:54.816Z","27. 08. 2025 19:13"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6328,"2025-08-27T17:14:01.254Z","27. 08. 2025 19:14"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",3146,"2025-08-27T17:14:04.466Z","27. 08. 2025 19:14"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",1834,"2025-08-27T17:14:06.444Z","27. 08. 2025 19:14"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",3017,"2025-08-27T17:14:09.507Z","27. 08. 2025 19:14"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",822,"2025-08-27T17:14:10.390Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Create cash receipt","passed",23463,"2025-08-27T17:14:34.861Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control invoice in DMS list","passed",6235,"2025-08-27T17:14:41.210Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting in filtr zaúčtování","passed",6270,"2025-08-27T17:14:47.614Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data in crud","passed",3031,"2025-08-27T17:14:50.708Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting diary","passed",1824,"2025-08-27T17:14:52.640Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Delete invoice in DMS","passed",2818,"2025-08-27T17:14:55.491Z","27. 08. 2025 19:14"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data is deleted from accounting diary","passed",522,"2025-08-27T17:14:56.091Z","27. 08. 2025 19:14"
"Cash receipt - homeland PHP in PPD @high @middle @low","Create cash receipt","passed",22943,"2025-08-27T17:15:19.847Z","27. 08. 2025 19:15"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control invoice in DMS list","passed",6107,"2025-08-27T17:15:26.014Z","27. 08. 2025 19:15"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control accounting in filtr zaúčtování","passed",6685,"2025-08-27T17:15:32.828Z","27. 08. 2025 19:15"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control data in crud","passed",3253,"2025-08-27T17:15:36.155Z","27. 08. 2025 19:15"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control accounting diary","passed",1827,"2025-08-27T17:15:38.098Z","27. 08. 2025 19:15"
