# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",16925,"2025-09-03T18:48:18.994Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create contact Bene","passed",15676,"2025-09-03T18:48:35.720Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8790,"2025-09-03T18:48:44.589Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8520,"2025-09-03T18:48:53.189Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",9703,"2025-09-03T18:49:02.939Z","03. 09. 2025 20:49"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",11294,"2025-09-03T18:49:14.287Z","03. 09. 2025 20:49"
"Set the company for testing @high @middle @low","Set light-regime","passed",3786,"2025-09-03T18:49:18.180Z","03. 09. 2025 20:49"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Create cash receipt","passed",30025,"2025-09-03T18:49:49.440Z","03. 09. 2025 20:49"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6566,"2025-09-03T18:49:56.126Z","03. 09. 2025 20:49"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7485,"2025-09-03T18:50:03.734Z","03. 09. 2025 20:50"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data in crud","passed",7741,"2025-09-03T18:50:11.558Z","03. 09. 2025 20:50"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting diary","passed",2197,"2025-09-03T18:50:13.861Z","03. 09. 2025 20:50"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Delete invoice in DMS","passed",8222,"2025-09-03T18:50:22.118Z","03. 09. 2025 20:50"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",932,"2025-09-03T18:50:23.129Z","03. 09. 2025 20:50"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",30201,"2025-09-03T18:50:54.814Z","03. 09. 2025 20:50"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6534,"2025-09-03T18:51:01.491Z","03. 09. 2025 20:51"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6932,"2025-09-03T18:51:08.576Z","03. 09. 2025 20:51"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7748,"2025-09-03T18:51:16.397Z","03. 09. 2025 20:51"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2238,"2025-09-03T18:51:18.792Z","03. 09. 2025 20:51"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",7418,"2025-09-03T18:51:26.255Z","03. 09. 2025 20:51"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",815,"2025-09-03T18:51:27.163Z","03. 09. 2025 20:51"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",32205,"2025-09-03T18:52:00.647Z","03. 09. 2025 20:52"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",6782,"2025-09-03T18:52:07.571Z","03. 09. 2025 20:52"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7632,"2025-09-03T18:52:15.357Z","03. 09. 2025 20:52"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",7727,"2025-09-03T18:52:23.155Z","03. 09. 2025 20:52"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",2142,"2025-09-03T18:52:25.422Z","03. 09. 2025 20:52"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",7274,"2025-09-03T18:52:32.737Z","03. 09. 2025 20:52"
