# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11562,"2025-09-08T08:03:04.506Z","08. 09. 2025 10:03"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11786,"2025-09-08T08:03:17.162Z","08. 09. 2025 10:03"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8209,"2025-09-08T08:03:25.428Z","08. 09. 2025 10:03"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7854,"2025-09-08T08:03:33.366Z","08. 09. 2025 10:03"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7811,"2025-09-08T08:03:41.216Z","08. 09. 2025 10:03"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9439,"2025-09-08T08:03:50.700Z","08. 09. 2025 10:03"
"Set the company for testing @high @middle @low","Set light-regime","passed",2862,"2025-09-08T08:03:54.539Z","08. 09. 2025 10:03"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Create cash receipt","passed",23354,"2025-09-08T08:04:19.020Z","08. 09. 2025 10:04"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6079,"2025-09-08T08:04:25.255Z","08. 09. 2025 10:04"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7189,"2025-09-08T08:04:32.571Z","08. 09. 2025 10:04"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data in crud","passed",6891,"2025-09-08T08:04:39.548Z","08. 09. 2025 10:04"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting diary","passed",2019,"2025-09-08T08:04:41.658Z","08. 09. 2025 10:04"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Delete invoice in DMS","passed",6727,"2025-09-08T08:04:48.426Z","08. 09. 2025 10:04"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",488,"2025-09-08T08:04:49.000Z","08. 09. 2025 10:04"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",25732,"2025-09-08T08:05:15.830Z","08. 09. 2025 10:05"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6232,"2025-09-08T08:05:22.162Z","08. 09. 2025 10:05"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7039,"2025-09-08T08:05:29.321Z","08. 09. 2025 10:05"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",6763,"2025-09-08T08:05:36.150Z","08. 09. 2025 10:05"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",1857,"2025-09-08T08:05:38.122Z","08. 09. 2025 10:05"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",6873,"2025-09-08T08:05:45.028Z","08. 09. 2025 10:05"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",564,"2025-09-08T08:05:45.677Z","08. 09. 2025 10:05"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",24980,"2025-09-08T08:06:11.747Z","08. 09. 2025 10:06"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",6211,"2025-09-08T08:06:18.062Z","08. 09. 2025 10:06"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6861,"2025-09-08T08:06:25.042Z","08. 09. 2025 10:06"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",7026,"2025-09-08T08:06:32.136Z","08. 09. 2025 10:06"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",1959,"2025-09-08T08:06:34.200Z","08. 09. 2025 10:06"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",6939,"2025-09-08T08:06:41.171Z","08. 09. 2025 10:06"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data is deleted from accounting diary","passed",557,"2025-09-08T08:06:41.815Z","08. 09. 2025 10:06"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",19901,"2025-09-08T08:07:02.590Z","08. 09. 2025 10:07"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6247,"2025-09-08T08:07:08.897Z","08. 09. 2025 10:07"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6888,"2025-09-08T08:07:15.894Z","08. 09. 2025 10:07"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",6766,"2025-09-08T08:07:22.722Z","08. 09. 2025 10:07"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",1867,"2025-09-08T08:07:24.701Z","08. 09. 2025 10:07"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6747,"2025-09-08T08:07:31.484Z","08. 09. 2025 10:07"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",549,"2025-09-08T08:07:32.137Z","08. 09. 2025 10:07"
"Cash receipt - homeland EUR in PPD @high @middle @low","Create cash receipt","passed",21781,"2025-09-08T08:07:54.836Z","08. 09. 2025 10:07"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control invoice in DMS list","passed",6100,"2025-09-08T08:08:01.080Z","08. 09. 2025 10:08"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting in filtr zaúčtování","passed",7097,"2025-09-08T08:08:08.286Z","08. 09. 2025 10:08"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data in crud","passed",7001,"2025-09-08T08:08:15.350Z","08. 09. 2025 10:08"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting diary","passed",1801,"2025-09-08T08:08:17.264Z","08. 09. 2025 10:08"
"Cash receipt - homeland EUR in PPD @high @middle @low","Delete invoice in DMS","passed",6896,"2025-09-08T08:08:24.199Z","08. 09. 2025 10:08"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data is deleted from accounting diary","passed",667,"2025-09-08T08:08:24.925Z","08. 09. 2025 10:08"
"Cash receipt - homeland PHP in PPD @high @middle @low","Create cash receipt","passed",21992,"2025-09-08T08:08:47.790Z","08. 09. 2025 10:08"
