# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12820,"2025-09-10T18:35:53.536Z","10. 09. 2025 20:35"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11791,"2025-09-10T18:36:06.215Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7813,"2025-09-10T18:36:14.098Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7765,"2025-09-10T18:36:21.958Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7629,"2025-09-10T18:36:29.635Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9493,"2025-09-10T18:36:39.184Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Set light-regime","passed",3019,"2025-09-10T18:36:43.193Z","10. 09. 2025 20:36"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Create cash receipt","passed",24137,"2025-09-10T18:37:08.651Z","10. 09. 2025 20:37"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6010,"2025-09-10T18:37:14.796Z","10. 09. 2025 20:37"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6868,"2025-09-10T18:37:21.782Z","10. 09. 2025 20:37"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data in crud","passed",7240,"2025-09-10T18:37:29.093Z","10. 09. 2025 20:37"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting diary","passed",1903,"2025-09-10T18:37:31.122Z","10. 09. 2025 20:37"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Delete invoice in DMS","passed",6794,"2025-09-10T18:37:37.955Z","10. 09. 2025 20:37"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",593,"2025-09-10T18:37:38.656Z","10. 09. 2025 20:37"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",25703,"2025-09-10T18:38:05.589Z","10. 09. 2025 20:38"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6393,"2025-09-10T18:38:12.094Z","10. 09. 2025 20:38"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6916,"2025-09-10T18:38:19.150Z","10. 09. 2025 20:38"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",6740,"2025-09-10T18:38:25.961Z","10. 09. 2025 20:38"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",1982,"2025-09-10T18:38:28.060Z","10. 09. 2025 20:38"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",6550,"2025-09-10T18:38:34.651Z","10. 09. 2025 20:38"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",575,"2025-09-10T18:38:35.341Z","10. 09. 2025 20:38"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",28495,"2025-09-10T18:39:05.052Z","10. 09. 2025 20:39"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",6118,"2025-09-10T18:39:11.350Z","10. 09. 2025 20:39"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6730,"2025-09-10T18:39:18.268Z","10. 09. 2025 20:39"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",7180,"2025-09-10T18:39:25.531Z","10. 09. 2025 20:39"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",1957,"2025-09-10T18:39:27.623Z","10. 09. 2025 20:39"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",6935,"2025-09-10T18:39:34.598Z","10. 09. 2025 20:39"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data is deleted from accounting diary","passed",612,"2025-09-10T18:39:35.299Z","10. 09. 2025 20:39"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",21539,"2025-09-10T18:39:57.819Z","10. 09. 2025 20:39"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6018,"2025-09-10T18:40:03.934Z","10. 09. 2025 20:40"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7214,"2025-09-10T18:40:11.283Z","10. 09. 2025 20:40"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7156,"2025-09-10T18:40:18.520Z","10. 09. 2025 20:40"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2080,"2025-09-10T18:40:20.730Z","10. 09. 2025 20:40"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6848,"2025-09-10T18:40:27.628Z","10. 09. 2025 20:40"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",539,"2025-09-10T18:40:28.278Z","10. 09. 2025 20:40"
"Cash receipt - homeland EUR in PPD @high @middle @low","Create cash receipt","passed",22109,"2025-09-10T18:40:51.263Z","10. 09. 2025 20:40"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control invoice in DMS list","passed",6305,"2025-09-10T18:40:57.665Z","10. 09. 2025 20:40"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting in filtr zaúčtování","passed",7218,"2025-09-10T18:41:05.001Z","10. 09. 2025 20:41"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data in crud","passed",6702,"2025-09-10T18:41:11.778Z","10. 09. 2025 20:41"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting diary","passed",1988,"2025-09-10T18:41:13.912Z","10. 09. 2025 20:41"
"Cash receipt - homeland EUR in PPD @high @middle @low","Delete invoice in DMS","passed",6886,"2025-09-10T18:41:20.843Z","10. 09. 2025 20:41"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data is deleted from accounting diary","passed",635,"2025-09-10T18:41:21.595Z","10. 09. 2025 20:41"
"Cash receipt - homeland PHP in PPD @high @middle @low","Create cash receipt","passed",23228,"2025-09-10T18:41:45.708Z","10. 09. 2025 20:41"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control invoice in DMS list","passed",6491,"2025-09-10T18:41:52.268Z","10. 09. 2025 20:41"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control accounting in filtr zaúčtování","passed",6675,"2025-09-10T18:41:59.109Z","10. 09. 2025 20:41"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control data in crud","passed",7068,"2025-09-10T18:42:06.259Z","10. 09. 2025 20:42"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control accounting diary","passed",1969,"2025-09-10T18:42:08.327Z","10. 09. 2025 20:42"
"Cash receipt - homeland PHP in PPD @high @middle @low","Delete invoice in DMS","passed",6792,"2025-09-10T18:42:15.157Z","10. 09. 2025 20:42"
"Cash receipt - homeland PHP in PPD @high @middle @low","Control data is deleted from accounting diary","passed",555,"2025-09-10T18:42:15.816Z","10. 09. 2025 20:42"
"Delete company @high @middle @low","Delete company","passed",12935,"2025-09-10T18:42:29.439Z","10. 09. 2025 20:42"
