# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",14472,"2025-09-11T11:05:29.072Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11422,"2025-09-11T11:05:41.586Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7803,"2025-09-11T11:05:49.476Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7517,"2025-09-11T11:05:57.073Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7691,"2025-09-11T11:06:04.881Z","11. 09. 2025 13:06"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",11144,"2025-09-11T11:06:16.120Z","11. 09. 2025 13:06"
"Set the company for testing @high @middle @low","Set light-regime","passed",2917,"2025-09-11T11:06:20.268Z","11. 09. 2025 13:06"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Create cash receipt","passed",26476,"2025-09-11T11:06:48.171Z","11. 09. 2025 13:06"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6875,"2025-09-11T11:06:55.260Z","11. 09. 2025 13:06"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",8054,"2025-09-11T11:07:03.535Z","11. 09. 2025 13:07"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data in crud","passed",8152,"2025-09-11T11:07:11.795Z","11. 09. 2025 13:07"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control accounting diary","passed",2823,"2025-09-11T11:07:15.174Z","11. 09. 2025 13:07"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Delete invoice in DMS","passed",8603,"2025-09-11T11:07:23.998Z","11. 09. 2025 13:07"
"Create cash receipt - homeland CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",979,"2025-09-11T11:07:25.201Z","11. 09. 2025 13:07"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",29731,"2025-09-11T11:07:57.889Z","11. 09. 2025 13:07"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",7549,"2025-09-11T11:08:05.602Z","11. 09. 2025 13:08"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7795,"2025-09-11T11:08:13.637Z","11. 09. 2025 13:08"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7626,"2025-09-11T11:08:21.397Z","11. 09. 2025 13:08"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",3039,"2025-09-11T11:08:24.766Z","11. 09. 2025 13:08"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",10304,"2025-09-11T11:08:35.357Z","11. 09. 2025 13:08"
"Create cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",693,"2025-09-11T11:08:36.241Z","11. 09. 2025 13:08"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",29141,"2025-09-11T11:09:08.072Z","11. 09. 2025 13:09"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",6589,"2025-09-11T11:09:15.147Z","11. 09. 2025 13:09"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",8295,"2025-09-11T11:09:23.781Z","11. 09. 2025 13:09"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",8613,"2025-09-11T11:09:32.600Z","11. 09. 2025 13:09"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",2338,"2025-09-11T11:09:35.493Z","11. 09. 2025 13:09"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",8153,"2025-09-11T11:09:43.722Z","11. 09. 2025 13:09"
"Create cash receipt - homeland PHP in faktury @high @middle @low","Control data is deleted from accounting diary","passed",701,"2025-09-11T11:09:44.556Z","11. 09. 2025 13:09"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",22277,"2025-09-11T11:10:08.604Z","11. 09. 2025 13:10"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6536,"2025-09-11T11:10:15.248Z","11. 09. 2025 13:10"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7185,"2025-09-11T11:10:22.584Z","11. 09. 2025 13:10"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7653,"2025-09-11T11:10:30.317Z","11. 09. 2025 13:10"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",1982,"2025-09-11T11:10:32.480Z","11. 09. 2025 13:10"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",7140,"2025-09-11T11:10:39.681Z","11. 09. 2025 13:10"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",584,"2025-09-11T11:10:40.377Z","11. 09. 2025 13:10"
"Cash receipt - homeland EUR in PPD @high @middle @low","Create cash receipt","passed",22293,"2025-09-11T11:11:03.665Z","11. 09. 2025 13:11"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control invoice in DMS list","passed",7093,"2025-09-11T11:11:10.827Z","11. 09. 2025 13:11"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting in filtr zaúčtování","passed",7186,"2025-09-11T11:11:18.175Z","11. 09. 2025 13:11"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data in crud","passed",6964,"2025-09-11T11:11:25.221Z","11. 09. 2025 13:11"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control accounting diary","passed",1867,"2025-09-11T11:11:27.214Z","11. 09. 2025 13:11"
"Cash receipt - homeland EUR in PPD @high @middle @low","Delete invoice in DMS","passed",7554,"2025-09-11T11:11:34.810Z","11. 09. 2025 13:11"
"Cash receipt - homeland EUR in PPD @high @middle @low","Control data is deleted from accounting diary","passed",589,"2025-09-11T11:11:35.511Z","11. 09. 2025 13:11"
