# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",14453,"2025-09-03T18:48:16.499Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create contact Bene","passed",15606,"2025-09-03T18:48:32.998Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8670,"2025-09-03T18:48:41.767Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8362,"2025-09-03T18:48:50.227Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8943,"2025-09-03T18:48:59.258Z","03. 09. 2025 20:48"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",13065,"2025-09-03T18:49:12.377Z","03. 09. 2025 20:49"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",30536,"2025-09-03T18:49:44.316Z","03. 09. 2025 20:49"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",7031,"2025-09-03T18:49:51.514Z","03. 09. 2025 20:49"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7268,"2025-09-03T18:49:58.887Z","03. 09. 2025 20:49"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",9640,"2025-09-03T18:50:08.599Z","03. 09. 2025 20:50"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2050,"2025-09-03T18:50:10.761Z","03. 09. 2025 20:50"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",7249,"2025-09-03T18:50:18.047Z","03. 09. 2025 20:50"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1261,"2025-09-03T18:50:19.375Z","03. 09. 2025 20:50"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",30144,"2025-09-03T18:50:50.805Z","03. 09. 2025 20:50"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",7103,"2025-09-03T18:50:58.051Z","03. 09. 2025 20:50"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7322,"2025-09-03T18:51:05.546Z","03. 09. 2025 20:51"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",7403,"2025-09-03T18:51:13.035Z","03. 09. 2025 20:51"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2348,"2025-09-03T18:51:15.495Z","03. 09. 2025 20:51"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",7172,"2025-09-03T18:51:22.705Z","03. 09. 2025 20:51"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",680,"2025-09-03T18:51:23.483Z","03. 09. 2025 20:51"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",33022,"2025-09-03T18:51:57.753Z","03. 09. 2025 20:51"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6584,"2025-09-03T18:52:04.451Z","03. 09. 2025 20:52"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7990,"2025-09-03T18:52:12.592Z","03. 09. 2025 20:52"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",9489,"2025-09-03T18:52:22.158Z","03. 09. 2025 20:52"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2144,"2025-09-03T18:52:24.435Z","03. 09. 2025 20:52"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",7985,"2025-09-03T18:52:32.454Z","03. 09. 2025 20:52"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",800,"2025-09-03T18:52:33.324Z","03. 09. 2025 20:52"
"Delete company @high @middle @low","Delete company","passed",15753,"2025-09-03T18:52:49.911Z","03. 09. 2025 20:52"
