# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",11449,"2025-09-08T07:53:09.780Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11854,"2025-09-08T07:53:22.757Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7863,"2025-09-08T07:53:30.691Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7758,"2025-09-08T07:53:38.568Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7663,"2025-09-08T07:53:46.330Z","08. 09. 2025 09:53"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9866,"2025-09-08T07:53:56.273Z","08. 09. 2025 09:53"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",23787,"2025-09-08T07:54:22.296Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",6099,"2025-09-08T07:54:28.534Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6729,"2025-09-08T07:54:35.397Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",6943,"2025-09-08T07:54:42.411Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",1848,"2025-09-08T07:54:44.465Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",6687,"2025-09-08T07:54:51.215Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",510,"2025-09-08T07:54:51.825Z","08. 09. 2025 09:54"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",26399,"2025-09-08T07:55:19.771Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",5913,"2025-09-08T07:55:25.821Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7140,"2025-09-08T07:55:33.165Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",7419,"2025-09-08T07:55:40.691Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",1859,"2025-09-08T07:55:42.736Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",6609,"2025-09-08T07:55:49.391Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",673,"2025-09-08T07:55:50.140Z","08. 09. 2025 09:55"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",27178,"2025-09-08T07:56:18.705Z","08. 09. 2025 09:56"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6458,"2025-09-08T07:56:25.362Z","08. 09. 2025 09:56"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6476,"2025-09-08T07:56:32.077Z","08. 09. 2025 09:56"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",7244,"2025-09-08T07:56:39.420Z","08. 09. 2025 09:56"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2101,"2025-09-08T07:56:41.668Z","08. 09. 2025 09:56"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",6630,"2025-09-08T07:56:48.338Z","08. 09. 2025 09:56"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",555,"2025-09-08T07:56:48.995Z","08. 09. 2025 09:56"
"Delete company @high @middle @low","Delete company","passed",11752,"2025-09-08T07:57:01.628Z","08. 09. 2025 09:57"
