# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",11341,"2025-09-10T18:35:52.125Z","10. 09. 2025 20:35"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11906,"2025-09-10T18:36:04.974Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7783,"2025-09-10T18:36:12.869Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7250,"2025-09-10T18:36:20.214Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7709,"2025-09-10T18:36:28.028Z","10. 09. 2025 20:36"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",9626,"2025-09-10T18:36:37.713Z","10. 09. 2025 20:36"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",23989,"2025-09-10T18:37:03.952Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",6046,"2025-09-10T18:37:10.157Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6802,"2025-09-10T18:37:17.109Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",6819,"2025-09-10T18:37:24.023Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2032,"2025-09-10T18:37:26.179Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",6446,"2025-09-10T18:37:32.663Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",600,"2025-09-10T18:37:33.366Z","10. 09. 2025 20:37"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",25641,"2025-09-10T18:38:00.378Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",6467,"2025-09-10T18:38:06.983Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6924,"2025-09-10T18:38:14.050Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",6745,"2025-09-10T18:38:20.864Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",1839,"2025-09-10T18:38:22.812Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",6706,"2025-09-10T18:38:29.555Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",880,"2025-09-10T18:38:30.533Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",26951,"2025-09-10T18:38:58.691Z","10. 09. 2025 20:38"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6224,"2025-09-10T18:39:05.035Z","10. 09. 2025 20:39"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6750,"2025-09-10T18:39:11.982Z","10. 09. 2025 20:39"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",7009,"2025-09-10T18:39:19.086Z","10. 09. 2025 20:39"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",1990,"2025-09-10T18:39:21.201Z","10. 09. 2025 20:39"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",6763,"2025-09-10T18:39:28.004Z","10. 09. 2025 20:39"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",616,"2025-09-10T18:39:28.726Z","10. 09. 2025 20:39"
"Delete company @high @middle @low","Delete company","passed",12420,"2025-09-10T18:39:41.983Z","10. 09. 2025 20:39"
