# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",15715,"2025-09-11T11:05:30.371Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11561,"2025-09-11T11:05:43.270Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7795,"2025-09-11T11:05:51.163Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7263,"2025-09-11T11:05:58.527Z","11. 09. 2025 13:05"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8351,"2025-09-11T11:06:06.968Z","11. 09. 2025 13:06"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury přijaté","passed",10709,"2025-09-11T11:06:17.763Z","11. 09. 2025 13:06"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",26102,"2025-09-11T11:06:46.588Z","11. 09. 2025 13:06"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",6675,"2025-09-11T11:06:53.467Z","11. 09. 2025 13:06"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6894,"2025-09-11T11:07:00.554Z","11. 09. 2025 13:07"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",8021,"2025-09-11T11:07:08.728Z","11. 09. 2025 13:07"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2297,"2025-09-11T11:07:11.332Z","11. 09. 2025 13:07"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",8562,"2025-09-11T11:07:20.018Z","11. 09. 2025 13:07"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",794,"2025-09-11T11:07:20.995Z","11. 09. 2025 13:07"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",31344,"2025-09-11T11:07:55.116Z","11. 09. 2025 13:07"
"Create cash payment in DMS @high @middle @low","Control invoice in DMS list","passed",6673,"2025-09-11T11:08:01.963Z","11. 09. 2025 13:08"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7529,"2025-09-11T11:08:09.977Z","11. 09. 2025 13:08"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",7997,"2025-09-11T11:08:18.101Z","11. 09. 2025 13:08"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2056,"2025-09-11T11:08:20.391Z","11. 09. 2025 13:08"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",8714,"2025-09-11T11:08:29.205Z","11. 09. 2025 13:08"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",963,"2025-09-11T11:08:30.393Z","11. 09. 2025 13:08"
"Create cash payment in DMS @high @middle @low","Create cash payment","passed",28973,"2025-09-11T11:09:03.520Z","11. 09. 2025 13:09"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7427,"2025-09-11T11:09:11.199Z","11. 09. 2025 13:09"
"Create cash payment in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7211,"2025-09-11T11:09:18.627Z","11. 09. 2025 13:09"
"Create cash payment in DMS @high @middle @low","Control data in crud","passed",8394,"2025-09-11T11:09:27.132Z","11. 09. 2025 13:09"
"Create cash payment in DMS @high @middle @low","Control accounting diary","passed",2148,"2025-09-11T11:09:29.655Z","11. 09. 2025 13:09"
"Create cash payment in DMS @high @middle @low","Delete invoice in DMS","passed",8797,"2025-09-11T11:09:38.504Z","11. 09. 2025 13:09"
"Create cash payment in DMS @high @middle @low","Control data is deleted from accounting diary","passed",723,"2025-09-11T11:09:39.427Z","11. 09. 2025 13:09"
"Delete company @high @middle @low","Delete company","passed",12615,"2025-09-11T11:09:53.651Z","11. 09. 2025 13:09"
