"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",16046,"2025-08-27T15:39:43.415Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12279,"2025-08-27T15:39:56.827Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7360,"2025-08-27T15:40:04.238Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Create 3 activity","passed",6964,"2025-08-27T15:40:11.258Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7305,"2025-08-27T15:40:18.643Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9837,"2025-08-27T15:40:28.548Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Set light-regime","passed",3305,"2025-08-27T15:40:32.810Z","27. 08. 2025 17:40"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",35004,"2025-08-27T15:41:09.737Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6018,"2025-08-27T15:41:15.844Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in infobox","passed",6818,"2025-08-27T15:41:22.763Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6318,"2025-08-27T15:41:29.372Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",3435,"2025-08-27T15:41:33.001Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2278,"2025-08-27T15:41:35.860Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",2945,"2025-08-27T15:41:38.915Z","27. 08. 2025 17:41"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",670,"2025-08-27T15:41:39.673Z","27. 08. 2025 17:41"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Create issued invoice in Faktury module","passed",40605,"2025-08-27T15:42:22.023Z","27. 08. 2025 17:42"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",7737,"2025-08-27T15:42:29.882Z","27. 08. 2025 17:42"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in infobox","passed",7039,"2025-08-27T15:42:37.055Z","27. 08. 2025 17:42"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6780,"2025-08-27T15:42:44.330Z","27. 08. 2025 17:42"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in crud","passed",3191,"2025-08-27T15:42:47.628Z","27. 08. 2025 17:42"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2016,"2025-08-27T15:42:49.989Z","27. 08. 2025 17:42"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",3507,"2025-08-27T15:42:53.546Z","27. 08. 2025 17:42"
