"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",11547,"2025-08-27T15:39:38.927Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11900,"2025-08-27T15:39:51.967Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7429,"2025-08-27T15:39:59.468Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7017,"2025-08-27T15:40:06.563Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7070,"2025-08-27T15:40:13.711Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10100,"2025-08-27T15:40:23.858Z","27. 08. 2025 17:40"
"OP - homeland CZK in DMS @high @middle @low","Create OP in DMS","passed",43133,"2025-08-27T15:41:08.723Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5848,"2025-08-27T15:41:14.773Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",6663,"2025-08-27T15:41:21.527Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6358,"2025-08-27T15:41:28.100Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",3404,"2025-08-27T15:41:31.605Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2275,"2025-08-27T15:41:34.413Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",3946,"2025-08-27T15:41:38.409Z","27. 08. 2025 17:41"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",620,"2025-08-27T15:41:39.145Z","27. 08. 2025 17:41"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",57009,"2025-08-27T15:42:38.063Z","27. 08. 2025 17:42"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",6281,"2025-08-27T15:42:44.537Z","27. 08. 2025 17:42"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",6644,"2025-08-27T15:42:51.294Z","27. 08. 2025 17:42"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6318,"2025-08-27T15:42:58.007Z","27. 08. 2025 17:42"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",3215,"2025-08-27T15:43:01.303Z","27. 08. 2025 17:43"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2073,"2025-08-27T15:43:03.738Z","27. 08. 2025 17:43"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",2883,"2025-08-27T15:43:06.671Z","27. 08. 2025 17:43"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",787,"2025-08-27T15:43:07.521Z","27. 08. 2025 17:43"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",53527,"2025-08-27T15:44:02.532Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",5802,"2025-08-27T15:44:08.564Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",6778,"2025-08-27T15:44:15.454Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6395,"2025-08-27T15:44:22.335Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",3209,"2025-08-27T15:44:25.661Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2148,"2025-08-27T15:44:28.278Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",2820,"2025-08-27T15:44:31.160Z","27. 08. 2025 17:44"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",514,"2025-08-27T15:44:31.768Z","27. 08. 2025 17:44"
"OP EU CZK in DMS @high @middle @low","Create OP in DMS","passed",34044,"2025-08-27T15:45:07.545Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5984,"2025-08-27T15:45:13.758Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Control data in infobox","passed",6742,"2025-08-27T15:45:20.657Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6588,"2025-08-27T15:45:27.382Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Control data in crud","passed",3088,"2025-08-27T15:45:30.549Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Control accounting diary","passed",1757,"2025-08-27T15:45:32.417Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",3130,"2025-08-27T15:45:35.592Z","27. 08. 2025 17:45"
"OP EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",549,"2025-08-27T15:45:36.243Z","27. 08. 2025 17:45"
"OP EU EUR in DMS @middle @low","Create OP in DMS","passed",35845,"2025-08-27T15:46:13.375Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Control invoice in DMS list","passed",5909,"2025-08-27T15:46:19.458Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Control data in infobox","passed",6515,"2025-08-27T15:46:26.129Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",6745,"2025-08-27T15:46:33.156Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Control data in crud","passed",3158,"2025-08-27T15:46:36.439Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Control accounting diary","passed",2161,"2025-08-27T15:46:38.775Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Delete invoice in DMS","passed",3023,"2025-08-27T15:46:41.841Z","27. 08. 2025 17:46"
"OP EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",759,"2025-08-27T15:46:42.738Z","27. 08. 2025 17:46"
"OP EU PHP modul DMS @low","Create OP in DMS","passed",34376,"2025-08-27T15:47:19.157Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Control invoice in DMS list","passed",6153,"2025-08-27T15:47:25.502Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Control data in infobox","passed",7176,"2025-08-27T15:47:32.809Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Control accounting in filtr zaúčtování","passed",7203,"2025-08-27T15:47:40.305Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Control data in crud","passed",3180,"2025-08-27T15:47:43.596Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Control accounting diary","passed",2177,"2025-08-27T15:47:45.988Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Delete invoice in DMS","passed",3043,"2025-08-27T15:47:49.083Z","27. 08. 2025 17:47"
"OP EU PHP modul DMS @low","Control data is deleted from accounting diary","passed",579,"2025-08-27T15:47:49.801Z","27. 08. 2025 17:47"
"OP - RPDP CZK in DMS @high @middle @low","Create OP in DMS","passed",60974,"2025-08-27T15:48:52.379Z","27. 08. 2025 17:48"
"OP - RPDP CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6345,"2025-08-27T15:48:58.978Z","27. 08. 2025 17:48"
"OP - RPDP CZK in DMS @high @middle @low","Control data in infobox","passed",7295,"2025-08-27T15:49:06.404Z","27. 08. 2025 17:49"
"OP - RPDP CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6496,"2025-08-27T15:49:13.111Z","27. 08. 2025 17:49"
"OP - RPDP CZK in DMS @high @middle @low","Control data in crud","passed",3122,"2025-08-27T15:49:16.327Z","27. 08. 2025 17:49"
"OP - RPDP CZK in DMS @high @middle @low","Control accounting diary","passed",1945,"2025-08-27T15:49:18.523Z","27. 08. 2025 17:49"
"OP - RPDP CZK in DMS @high @middle @low","Delete invoice in DMS","passed",2770,"2025-08-27T15:49:21.338Z","27. 08. 2025 17:49"
"OP - RPDP CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",535,"2025-08-27T15:49:21.974Z","27. 08. 2025 17:49"
"OP - RPDP EUR in DMS @middle @low","Create OP in DMS","passed",62584,"2025-08-27T15:50:26.126Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Control invoice in DMS list","passed",5664,"2025-08-27T15:50:31.971Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Control data in infobox","passed",6927,"2025-08-27T15:50:39.032Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",6951,"2025-08-27T15:50:46.391Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Control data in crud","passed",3330,"2025-08-27T15:50:49.850Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Control accounting diary","passed",1920,"2025-08-27T15:50:52.171Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Delete invoice in DMS","passed",3376,"2025-08-27T15:50:55.636Z","27. 08. 2025 17:50"
"OP - RPDP EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",600,"2025-08-27T15:50:56.356Z","27. 08. 2025 17:50"
"OP - RPDP PHP in DMS @low","Create OP in DMS","passed",66625,"2025-08-27T15:52:04.693Z","27. 08. 2025 17:52"
"OP - RPDP PHP in DMS @low","Control invoice in DMS list","passed",5977,"2025-08-27T15:52:10.965Z","27. 08. 2025 17:52"
"OP - RPDP PHP in DMS @low","Control data in infobox","passed",6703,"2025-08-27T15:52:17.798Z","27. 08. 2025 17:52"
