"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",11484,"2025-08-27T16:21:20.535Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11280,"2025-08-27T16:21:32.822Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7544,"2025-08-27T16:21:40.407Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7248,"2025-08-27T16:21:47.728Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7650,"2025-08-27T16:21:55.454Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9759,"2025-08-27T16:22:05.269Z","27. 08. 2025 18:22"
"Set the company for testing @high @middle @low","Set light-regime","passed",2641,"2025-08-27T16:22:08.049Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",27667,"2025-08-27T16:22:36.689Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6295,"2025-08-27T16:22:43.074Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6756,"2025-08-27T16:22:50.037Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",3321,"2025-08-27T16:22:53.464Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2270,"2025-08-27T16:22:56.200Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",3194,"2025-08-27T16:22:59.463Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",566,"2025-08-27T16:23:00.134Z","27. 08. 2025 18:23"
