# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",13557,"2025-09-03T18:12:02.792Z","03. 09. 2025 20:12"
"Set the company for testing @high @middle @low","Create contact Bene","passed",17127,"2025-09-03T18:12:20.820Z","03. 09. 2025 20:12"
"Set the company for testing @high @middle @low","Create 3 centers","passed",9665,"2025-09-03T18:12:30.527Z","03. 09. 2025 20:12"
"Set the company for testing @high @middle @low","Create 3 activity","passed",9789,"2025-09-03T18:12:40.369Z","03. 09. 2025 20:12"
"Set the company for testing @high @middle @low","Create 3 projects","passed",10318,"2025-09-03T18:12:50.737Z","03. 09. 2025 20:12"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",12453,"2025-09-03T18:13:03.223Z","03. 09. 2025 20:13"
"Set the company for testing @high @middle @low","Set light-regime","passed",4546,"2025-09-03T18:13:07.909Z","03. 09. 2025 20:13"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",37815,"2025-09-03T18:13:46.862Z","03. 09. 2025 20:13"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",8107,"2025-09-03T18:13:55.071Z","03. 09. 2025 20:13"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in infobox","passed",8328,"2025-09-03T18:14:03.488Z","03. 09. 2025 20:14"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",8186,"2025-09-03T18:14:11.810Z","03. 09. 2025 20:14"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",8843,"2025-09-03T18:14:20.717Z","03. 09. 2025 20:14"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2304,"2025-09-03T18:14:23.234Z","03. 09. 2025 20:14"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",7952,"2025-09-03T18:14:31.232Z","03. 09. 2025 20:14"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",1245,"2025-09-03T18:14:32.557Z","03. 09. 2025 20:14"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Create issued invoice in Faktury module","passed",41870,"2025-09-03T18:15:15.526Z","03. 09. 2025 20:15"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",7650,"2025-09-03T18:15:23.243Z","03. 09. 2025 20:15"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in infobox","passed",10498,"2025-09-03T18:15:33.826Z","03. 09. 2025 20:15"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",8528,"2025-09-03T18:15:42.668Z","03. 09. 2025 20:15"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7756,"2025-09-03T18:15:50.500Z","03. 09. 2025 20:15"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2439,"2025-09-03T18:15:53.171Z","03. 09. 2025 20:15"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",7554,"2025-09-03T18:16:00.766Z","03. 09. 2025 20:16"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",844,"2025-09-03T18:16:01.684Z","03. 09. 2025 20:16"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",42216,"2025-09-03T18:16:44.976Z","03. 09. 2025 20:16"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control invoice in DMS list","passed",7092,"2025-09-03T18:16:52.133Z","03. 09. 2025 20:16"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data in infobox","passed",7856,"2025-09-03T18:17:00.090Z","03. 09. 2025 20:17"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7644,"2025-09-03T18:17:08.051Z","03. 09. 2025 20:17"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data in crud","passed",8212,"2025-09-03T18:17:16.341Z","03. 09. 2025 20:17"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control accounting diary","passed",2277,"2025-09-03T18:17:18.841Z","03. 09. 2025 20:17"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Delete invoice in DMS","passed",8285,"2025-09-03T18:17:27.169Z","03. 09. 2025 20:17"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",1103,"2025-09-03T18:17:28.343Z","03. 09. 2025 20:17"
"Create issued invoice - EU CZK in faktury @high @middle @low","Create issued invoice in Faktury module","passed",22546,"2025-09-03T18:17:51.993Z","03. 09. 2025 20:17"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control invoice in DMS list","passed",7373,"2025-09-03T18:17:59.423Z","03. 09. 2025 20:17"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data in infobox","passed",12359,"2025-09-03T18:18:11.860Z","03. 09. 2025 20:18"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",9259,"2025-09-03T18:18:21.217Z","03. 09. 2025 20:18"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data in crud","passed",9640,"2025-09-03T18:18:30.915Z","03. 09. 2025 20:18"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control accounting diary","passed",1772,"2025-09-03T18:18:32.771Z","03. 09. 2025 20:18"
"Create issued invoice - EU CZK in faktury @high @middle @low","Delete invoice in DMS","passed",11098,"2025-09-03T18:18:43.901Z","03. 09. 2025 20:18"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",904,"2025-09-03T18:18:44.861Z","03. 09. 2025 20:18"
"Create issued invoice - EU EUR in faktury @middle @low","Create issued invoice in Faktury module","passed",25320,"2025-09-03T18:19:11.238Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Control invoice in DMS list","passed",7775,"2025-09-03T18:19:19.070Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Control data in infobox","passed",8345,"2025-09-03T18:19:27.529Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Control accounting in filtr zaúčtování","passed",8822,"2025-09-03T18:19:36.450Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Control data in crud","passed",9910,"2025-09-03T18:19:46.423Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Control accounting diary","passed",1097,"2025-09-03T18:19:47.591Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Delete invoice in DMS","passed",11220,"2025-09-03T18:19:58.837Z","03. 09. 2025 20:19"
"Create issued invoice - EU EUR in faktury @middle @low","Control data is deleted from accounting diary","passed",1159,"2025-09-03T18:20:00.081Z","03. 09. 2025 20:20"
"Create issued invoice - EU PHP in faktury @low","Create issued invoice in Faktury module","passed",29979,"2025-09-03T18:20:31.133Z","03. 09. 2025 20:20"
"Create issued invoice - EU PHP in faktury @low","Control invoice in DMS list","passed",8946,"2025-09-03T18:20:40.137Z","03. 09. 2025 20:20"
"Create issued invoice - EU PHP in faktury @low","Control data in infobox","passed",12690,"2025-09-03T18:20:52.930Z","03. 09. 2025 20:20"
"Create issued invoice - EU PHP in faktury @low","Control accounting in filtr zaúčtování","passed",10781,"2025-09-03T18:21:03.812Z","03. 09. 2025 20:21"
"Create issued invoice - EU PHP in faktury @low","Control data in crud","passed",8496,"2025-09-03T18:21:12.368Z","03. 09. 2025 20:21"
"Create issued invoice - EU PHP in faktury @low","Control accounting diary","passed",1256,"2025-09-03T18:21:13.707Z","03. 09. 2025 20:21"
"Create issued invoice - EU PHP in faktury @low","Delete invoice in DMS","passed",10548,"2025-09-03T18:21:24.291Z","03. 09. 2025 20:21"
"Create issued invoice - EU PHP in faktury @low","Control data is deleted from accounting diary","passed",1694,"2025-09-03T18:21:26.050Z","03. 09. 2025 20:21"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Create issued invoice in Faktury module","passed",29878,"2025-09-03T18:21:56.979Z","03. 09. 2025 20:21"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control invoice in DMS list","passed",7943,"2025-09-03T18:22:04.979Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control data in infobox","passed",8833,"2025-09-03T18:22:13.897Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7413,"2025-09-03T18:22:21.412Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control data in crud","passed",9158,"2025-09-03T18:22:30.630Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control accounting diary","passed",2461,"2025-09-03T18:22:33.172Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Delete invoice in DMS","passed",8450,"2025-09-03T18:22:41.656Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",1013,"2025-09-03T18:22:42.729Z","03. 09. 2025 20:22"
"Create issued invoice - RPDP EUR in faktury @middle @low","Create issued invoice in Faktury module","passed",34746,"2025-09-03T18:23:18.555Z","03. 09. 2025 20:23"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control invoice in DMS list","passed",7772,"2025-09-03T18:23:26.389Z","03. 09. 2025 20:23"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control data in infobox","passed",8270,"2025-09-03T18:23:34.746Z","03. 09. 2025 20:23"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control accounting in filtr zaúčtování","passed",7366,"2025-09-03T18:23:42.239Z","03. 09. 2025 20:23"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control data in crud","passed",8886,"2025-09-03T18:23:51.189Z","03. 09. 2025 20:23"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control accounting diary","passed",2642,"2025-09-03T18:23:53.936Z","03. 09. 2025 20:23"
"Create issued invoice - RPDP EUR in faktury @middle @low","Delete invoice in DMS","passed",13978,"2025-09-03T18:24:07.950Z","03. 09. 2025 20:24"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control data is deleted from accounting diary","passed",731,"2025-09-03T18:24:08.774Z","03. 09. 2025 20:24"
