# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",12421,"2025-09-08T07:21:52.181Z","08. 09. 2025 09:21"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11572,"2025-09-08T07:22:04.816Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7805,"2025-09-08T07:22:12.697Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7768,"2025-09-08T07:22:20.518Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7304,"2025-09-08T07:22:27.921Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10504,"2025-09-08T07:22:38.508Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Set light-regime","passed",3318,"2025-09-08T07:22:41.958Z","08. 09. 2025 09:22"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",32690,"2025-09-08T07:23:16.068Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6143,"2025-09-08T07:23:22.301Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in infobox","passed",7189,"2025-09-08T07:23:29.574Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6658,"2025-09-08T07:23:36.500Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7483,"2025-09-08T07:23:44.090Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2342,"2025-09-08T07:23:46.832Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6875,"2025-09-08T07:23:53.785Z","08. 09. 2025 09:23"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",662,"2025-09-08T07:23:54.578Z","08. 09. 2025 09:23"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Create issued invoice in Faktury module","passed",37185,"2025-09-08T07:24:33.648Z","08. 09. 2025 09:24"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6376,"2025-09-08T07:24:40.152Z","08. 09. 2025 09:24"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in infobox","passed",7163,"2025-09-08T07:24:47.472Z","08. 09. 2025 09:24"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6890,"2025-09-08T07:24:54.944Z","08. 09. 2025 09:24"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7209,"2025-09-08T07:25:02.249Z","08. 09. 2025 09:25"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2340,"2025-09-08T07:25:04.962Z","08. 09. 2025 09:25"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",7945,"2025-09-08T07:25:13.001Z","08. 09. 2025 09:25"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",671,"2025-09-08T07:25:13.804Z","08. 09. 2025 09:25"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",35578,"2025-09-08T07:25:50.878Z","08. 09. 2025 09:25"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control invoice in DMS list","passed",6275,"2025-09-08T07:25:57.261Z","08. 09. 2025 09:25"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data in infobox","passed",6774,"2025-09-08T07:26:04.148Z","08. 09. 2025 09:26"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6586,"2025-09-08T07:26:11.178Z","08. 09. 2025 09:26"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data in crud","passed",7178,"2025-09-08T07:26:18.538Z","08. 09. 2025 09:26"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control accounting diary","passed",2095,"2025-09-08T07:26:20.953Z","08. 09. 2025 09:26"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Delete invoice in DMS","passed",6887,"2025-09-08T07:26:27.880Z","08. 09. 2025 09:26"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",563,"2025-09-08T07:26:28.565Z","08. 09. 2025 09:26"
"Create issued invoice - EU CZK in faktury @high @middle @low","Create issued invoice in Faktury module","passed",17513,"2025-09-08T07:26:47.422Z","08. 09. 2025 09:26"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6149,"2025-09-08T07:26:53.636Z","08. 09. 2025 09:26"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data in infobox","passed",6968,"2025-09-08T07:27:00.694Z","08. 09. 2025 09:27"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6835,"2025-09-08T07:27:07.623Z","08. 09. 2025 09:27"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data in crud","passed",7096,"2025-09-08T07:27:14.788Z","08. 09. 2025 09:27"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control accounting diary","passed",652,"2025-09-08T07:27:15.544Z","08. 09. 2025 09:27"
"Create issued invoice - EU CZK in faktury @high @middle @low","Delete invoice in DMS","passed",7530,"2025-09-08T07:27:23.104Z","08. 09. 2025 09:27"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",562,"2025-09-08T07:27:23.774Z","08. 09. 2025 09:27"
"Create issued invoice - EU EUR in faktury @middle @low","Create issued invoice in Faktury module","passed",19755,"2025-09-08T07:27:45.118Z","08. 09. 2025 09:27"
"Create issued invoice - EU EUR in faktury @middle @low","Control invoice in DMS list","passed",6155,"2025-09-08T07:27:51.346Z","08. 09. 2025 09:27"
"Create issued invoice - EU EUR in faktury @middle @low","Control data in infobox","passed",7334,"2025-09-08T07:27:58.782Z","08. 09. 2025 09:27"
"Create issued invoice - EU EUR in faktury @middle @low","Control accounting in filtr zaúčtování","passed",6816,"2025-09-08T07:28:05.724Z","08. 09. 2025 09:28"
"Create issued invoice - EU EUR in faktury @middle @low","Control data in crud","passed",7252,"2025-09-08T07:28:13.039Z","08. 09. 2025 09:28"
"Create issued invoice - EU EUR in faktury @middle @low","Control accounting diary","passed",711,"2025-09-08T07:28:13.857Z","08. 09. 2025 09:28"
"Create issued invoice - EU EUR in faktury @middle @low","Delete invoice in DMS","passed",7304,"2025-09-08T07:28:21.206Z","08. 09. 2025 09:28"
"Create issued invoice - EU EUR in faktury @middle @low","Control data is deleted from accounting diary","passed",563,"2025-09-08T07:28:21.869Z","08. 09. 2025 09:28"
"Create issued invoice - EU PHP in faktury @low","Create issued invoice in Faktury module","passed",19251,"2025-09-08T07:28:42.591Z","08. 09. 2025 09:28"
"Create issued invoice - EU PHP in faktury @low","Control invoice in DMS list","passed",6209,"2025-09-08T07:28:48.875Z","08. 09. 2025 09:28"
"Create issued invoice - EU PHP in faktury @low","Control data in infobox","passed",6833,"2025-09-08T07:28:55.789Z","08. 09. 2025 09:28"
"Create issued invoice - EU PHP in faktury @low","Control accounting in filtr zaúčtování","passed",6592,"2025-09-08T07:29:02.487Z","08. 09. 2025 09:29"
"Create issued invoice - EU PHP in faktury @low","Control data in crud","passed",6879,"2025-09-08T07:29:09.434Z","08. 09. 2025 09:29"
"Create issued invoice - EU PHP in faktury @low","Control accounting diary","passed",638,"2025-09-08T07:29:10.177Z","08. 09. 2025 09:29"
"Create issued invoice - EU PHP in faktury @low","Delete invoice in DMS","passed",7676,"2025-09-08T07:29:17.884Z","08. 09. 2025 09:29"
"Create issued invoice - EU PHP in faktury @low","Control data is deleted from accounting diary","passed",623,"2025-09-08T07:29:18.641Z","08. 09. 2025 09:29"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Create issued invoice in Faktury module","passed",23624,"2025-09-08T07:29:43.612Z","08. 09. 2025 09:29"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6234,"2025-09-08T07:29:49.926Z","08. 09. 2025 09:29"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control data in infobox","passed",7025,"2025-09-08T07:29:57.077Z","08. 09. 2025 09:29"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6572,"2025-09-08T07:30:03.852Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control data in crud","passed",7024,"2025-09-08T07:30:11.108Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control accounting diary","passed",2259,"2025-09-08T07:30:13.502Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Delete invoice in DMS","passed",6745,"2025-09-08T07:30:20.288Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",590,"2025-09-08T07:30:20.990Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP EUR in faktury @middle @low","Create issued invoice in Faktury module","passed",26083,"2025-09-08T07:30:48.658Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control invoice in DMS list","passed",6474,"2025-09-08T07:30:55.224Z","08. 09. 2025 09:30"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control data in infobox","passed",7121,"2025-09-08T07:31:02.454Z","08. 09. 2025 09:31"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control accounting in filtr zaúčtování","passed",6781,"2025-09-08T07:31:09.394Z","08. 09. 2025 09:31"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control data in crud","passed",7573,"2025-09-08T07:31:17.083Z","08. 09. 2025 09:31"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control accounting diary","passed",2094,"2025-09-08T07:31:19.396Z","08. 09. 2025 09:31"
"Create issued invoice - RPDP EUR in faktury @middle @low","Delete invoice in DMS","passed",7566,"2025-09-08T07:31:27.035Z","08. 09. 2025 09:31"
"Create issued invoice - RPDP EUR in faktury @middle @low","Control data is deleted from accounting diary","passed",573,"2025-09-08T07:31:27.689Z","08. 09. 2025 09:31"
"Create issued invoice - RPDP PHP in faktury @low","Create issued invoice in Faktury module","passed",29854,"2025-09-08T07:31:58.984Z","08. 09. 2025 09:31"
