# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",11477,"2025-09-10T17:03:13.637Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12398,"2025-09-10T17:03:27.032Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7560,"2025-09-10T17:03:34.671Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7060,"2025-09-10T17:03:41.833Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8113,"2025-09-10T17:03:49.988Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9956,"2025-09-10T17:03:59.980Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Set light-regime","passed",4174,"2025-09-10T17:04:05.124Z","10. 09. 2025 19:04"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",33561,"2025-09-10T17:04:39.951Z","10. 09. 2025 19:04"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6287,"2025-09-10T17:04:46.320Z","10. 09. 2025 19:04"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in infobox","passed",6948,"2025-09-10T17:04:53.361Z","10. 09. 2025 19:04"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6510,"2025-09-10T17:05:00.075Z","10. 09. 2025 19:05"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7496,"2025-09-10T17:05:07.645Z","10. 09. 2025 19:05"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2207,"2025-09-10T17:05:10.174Z","10. 09. 2025 19:05"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6922,"2025-09-10T17:05:17.151Z","10. 09. 2025 19:05"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",623,"2025-09-10T17:05:17.892Z","10. 09. 2025 19:05"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Create issued invoice in Faktury module","passed",35064,"2025-09-10T17:05:54.278Z","10. 09. 2025 19:05"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6335,"2025-09-10T17:06:00.693Z","10. 09. 2025 19:06"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in infobox","passed",7191,"2025-09-10T17:06:07.975Z","10. 09. 2025 19:06"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6472,"2025-09-10T17:06:14.835Z","10. 09. 2025 19:06"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7263,"2025-09-10T17:06:22.187Z","10. 09. 2025 19:06"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2346,"2025-09-10T17:06:24.803Z","10. 09. 2025 19:06"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",6723,"2025-09-10T17:06:31.569Z","10. 09. 2025 19:06"
"Create issued invoice - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",579,"2025-09-10T17:06:32.234Z","10. 09. 2025 19:06"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",34834,"2025-09-10T17:07:08.352Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control invoice in DMS list","passed",6123,"2025-09-10T17:07:14.574Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data in infobox","passed",7156,"2025-09-10T17:07:21.831Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6540,"2025-09-10T17:07:28.766Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data in crud","passed",7198,"2025-09-10T17:07:36.061Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control accounting diary","passed",2101,"2025-09-10T17:07:38.467Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Delete invoice in DMS","passed",6660,"2025-09-10T17:07:45.182Z","10. 09. 2025 19:07"
"Create issued invoice - homeland PHP in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",613,"2025-09-10T17:07:45.905Z","10. 09. 2025 19:07"
"Create issued invoice - EU CZK in faktury @high @middle @low","Create issued invoice in Faktury module","passed",17788,"2025-09-10T17:08:04.865Z","10. 09. 2025 19:08"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control invoice in DMS list","passed",7480,"2025-09-10T17:08:12.408Z","10. 09. 2025 19:08"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data in infobox","passed",7415,"2025-09-10T17:08:19.898Z","10. 09. 2025 19:08"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6507,"2025-09-10T17:08:26.498Z","10. 09. 2025 19:08"
"Create issued invoice - EU CZK in faktury @high @middle @low","Control data in crud","passed",6916,"2025-09-10T17:08:33.491Z","10. 09. 2025 19:08"
