# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",12884,"2025-09-11T10:29:56.157Z","11. 09. 2025 12:29"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11208,"2025-09-11T10:30:08.336Z","11. 09. 2025 12:30"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7893,"2025-09-11T10:30:16.307Z","11. 09. 2025 12:30"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7418,"2025-09-11T10:30:23.759Z","11. 09. 2025 12:30"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7621,"2025-09-11T10:30:31.463Z","11. 09. 2025 12:30"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9527,"2025-09-11T10:30:41.046Z","11. 09. 2025 12:30"
"Set the company for testing @high @middle @low","Set light-regime","passed",3867,"2025-09-11T10:30:45.887Z","11. 09. 2025 12:30"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Create issued invoice in Faktury module","passed",32533,"2025-09-11T10:31:19.706Z","11. 09. 2025 12:31"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6384,"2025-09-11T10:31:26.166Z","11. 09. 2025 12:31"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in infobox","passed",7213,"2025-09-11T10:31:33.470Z","11. 09. 2025 12:31"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7051,"2025-09-11T10:31:40.740Z","11. 09. 2025 12:31"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7238,"2025-09-11T10:31:48.062Z","11. 09. 2025 12:31"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2090,"2025-09-11T10:31:50.388Z","11. 09. 2025 12:31"
"Create issued invoice - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6542,"2025-09-11T10:31:56.983Z","11. 09. 2025 12:31"
