"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",13704,"2025-08-27T15:39:41.098Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11569,"2025-08-27T15:39:53.642Z","27. 08. 2025 17:39"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7287,"2025-08-27T15:40:01.006Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7033,"2025-08-27T15:40:08.119Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7384,"2025-08-27T15:40:15.544Z","27. 08. 2025 17:40"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9727,"2025-08-27T15:40:25.362Z","27. 08. 2025 17:40"
"Issued Invoice - homeland CZK DMS @high @middle @low","Create issued invoice","passed",43208,"2025-08-27T15:41:10.728Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control invoice in DMS list","passed",5829,"2025-08-27T15:41:16.769Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in infobox","passed",6622,"2025-08-27T15:41:23.554Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6536,"2025-08-27T15:41:30.521Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in crud","passed",3585,"2025-08-27T15:41:34.254Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting diary","passed",2333,"2025-08-27T15:41:37.055Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Delete invoice in DMS","passed",3024,"2025-08-27T15:41:40.133Z","27. 08. 2025 17:41"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data is deleted from accounting diary","passed",671,"2025-08-27T15:41:40.965Z","27. 08. 2025 17:41"
"Issued Invoice - homeland EUR DMS @high @middle @low","Create issued invoice","passed",56581,"2025-08-27T15:42:39.049Z","27. 08. 2025 17:42"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control invoice in DMS list","passed",6115,"2025-08-27T15:42:45.331Z","27. 08. 2025 17:42"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data in infobox","passed",7054,"2025-08-27T15:42:52.495Z","27. 08. 2025 17:42"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6412,"2025-08-27T15:42:59.267Z","27. 08. 2025 17:42"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data in crud","passed",3241,"2025-08-27T15:43:02.601Z","27. 08. 2025 17:43"
