# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",15817,"2025-09-03T17:47:58.508Z","03. 09. 2025 19:47"
"Set the company for testing @high @middle @low","Create contact Bene","passed",14615,"2025-09-03T17:48:14.067Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8099,"2025-09-03T17:48:22.257Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8335,"2025-09-03T17:48:30.638Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8087,"2025-09-03T17:48:38.816Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",11424,"2025-09-03T17:48:50.302Z","03. 09. 2025 19:48"
"Issued Invoice - homeland CZK DMS @high @middle @low","Create issued invoice","passed",55809,"2025-09-03T17:49:48.808Z","03. 09. 2025 19:49"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control invoice in DMS list","passed",7587,"2025-09-03T17:49:56.703Z","03. 09. 2025 19:49"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in infobox","passed",7709,"2025-09-03T17:50:04.601Z","03. 09. 2025 19:50"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8164,"2025-09-03T17:50:13.069Z","03. 09. 2025 19:50"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in crud","passed",8187,"2025-09-03T17:50:21.425Z","03. 09. 2025 19:50"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting diary","passed",3544,"2025-09-03T17:50:25.715Z","03. 09. 2025 19:50"
"Issued Invoice - homeland CZK DMS @high @middle @low","Delete invoice in DMS","passed",8108,"2025-09-03T17:50:34.012Z","03. 09. 2025 19:50"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data is deleted from accounting diary","passed",1012,"2025-09-03T17:50:35.152Z","03. 09. 2025 19:50"
