# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",11255,"2025-09-08T07:21:51.003Z","08. 09. 2025 09:21"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12289,"2025-09-08T07:22:04.354Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7383,"2025-09-08T07:22:11.856Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7252,"2025-09-08T07:22:19.211Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7692,"2025-09-08T07:22:26.993Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10278,"2025-09-08T07:22:37.360Z","08. 09. 2025 09:22"
"Issued Invoice - homeland CZK DMS @high @middle @low","Create issued invoice","passed",41626,"2025-09-08T07:23:20.487Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control invoice in DMS list","passed",6018,"2025-09-08T07:23:26.653Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in infobox","passed",6981,"2025-09-08T07:23:33.722Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6635,"2025-09-08T07:23:40.624Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in crud","passed",7228,"2025-09-08T07:23:47.949Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting diary","passed",2204,"2025-09-08T07:23:50.511Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Delete invoice in DMS","passed",7213,"2025-09-08T07:23:57.784Z","08. 09. 2025 09:23"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data is deleted from accounting diary","passed",681,"2025-09-08T07:23:58.617Z","08. 09. 2025 09:23"
"Issued Invoice - homeland EUR DMS @high @middle @low","Create issued invoice","passed",51494,"2025-09-08T07:24:52.040Z","08. 09. 2025 09:24"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control invoice in DMS list","passed",6123,"2025-09-08T07:24:58.334Z","08. 09. 2025 09:24"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data in infobox","passed",7386,"2025-09-08T07:25:05.829Z","08. 09. 2025 09:25"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7429,"2025-09-08T07:25:13.786Z","08. 09. 2025 09:25"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data in crud","passed",7054,"2025-09-08T07:25:21.024Z","08. 09. 2025 09:25"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control accounting diary","passed",2051,"2025-09-08T07:25:23.384Z","08. 09. 2025 09:25"
"Issued Invoice - homeland EUR DMS @high @middle @low","Delete invoice in DMS","passed",6675,"2025-09-08T07:25:30.113Z","08. 09. 2025 09:25"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data is deleted from accounting diary","passed",566,"2025-09-08T07:25:30.843Z","08. 09. 2025 09:25"
"Issued Invoice - homeland PHP DMS @high @middle @low","Create issued invoice","passed",46073,"2025-09-08T07:26:18.423Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Control invoice in DMS list","passed",5899,"2025-09-08T07:26:24.510Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Control data in infobox","passed",7245,"2025-09-08T07:26:31.849Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6617,"2025-09-08T07:26:38.924Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Control data in crud","passed",7269,"2025-09-08T07:26:46.282Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Control accounting diary","passed",2059,"2025-09-08T07:26:48.682Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Delete invoice in DMS","passed",6591,"2025-09-08T07:26:55.330Z","08. 09. 2025 09:26"
"Issued Invoice - homeland PHP DMS @high @middle @low","Control data is deleted from accounting diary","passed",550,"2025-09-08T07:26:55.976Z","08. 09. 2025 09:26"
"Issued Invoice - EU CZK in DMS @high @middle @low","Create issued invoice","passed",32570,"2025-09-08T07:27:30.022Z","08. 09. 2025 09:27"
"Issued Invoice - EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5872,"2025-09-08T07:27:36.047Z","08. 09. 2025 09:27"
"Issued Invoice - EU CZK in DMS @high @middle @low","Control data in infobox","passed",7434,"2025-09-08T07:27:43.608Z","08. 09. 2025 09:27"
"Issued Invoice - EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6546,"2025-09-08T07:27:50.406Z","08. 09. 2025 09:27"
"Issued Invoice - EU CZK in DMS @high @middle @low","Control data in crud","passed",7137,"2025-09-08T07:27:57.610Z","08. 09. 2025 09:27"
"Issued Invoice - EU CZK in DMS @high @middle @low","Control accounting diary","passed",1985,"2025-09-08T07:27:59.765Z","08. 09. 2025 09:27"
"Issued Invoice - EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",6667,"2025-09-08T07:28:06.477Z","08. 09. 2025 09:28"
"Issued Invoice - EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",594,"2025-09-08T07:28:07.138Z","08. 09. 2025 09:28"
"Issued Invoice - EU EUR in DMS @middle @low","Create issued invoice in DMS","passed",33755,"2025-09-08T07:28:42.153Z","08. 09. 2025 09:28"
"Issued Invoice - EU EUR in DMS @middle @low","Control invoice in DMS list","passed",5970,"2025-09-08T07:28:48.280Z","08. 09. 2025 09:28"
"Issued Invoice - EU EUR in DMS @middle @low","Control data in infobox","passed",7120,"2025-09-08T07:28:55.493Z","08. 09. 2025 09:28"
"Issued Invoice - EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",6617,"2025-09-08T07:29:02.225Z","08. 09. 2025 09:29"
"Issued Invoice - EU EUR in DMS @middle @low","Control data in crud","passed",6909,"2025-09-08T07:29:09.213Z","08. 09. 2025 09:29"
"Issued Invoice - EU EUR in DMS @middle @low","Control accounting diary","passed",1939,"2025-09-08T07:29:11.281Z","08. 09. 2025 09:29"
"Issued Invoice - EU EUR in DMS @middle @low","Delete invoice in DMS","passed",7074,"2025-09-08T07:29:18.392Z","08. 09. 2025 09:29"
"Issued Invoice - EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",561,"2025-09-08T07:29:19.054Z","08. 09. 2025 09:29"
"Issued Invoice - EU PHP in DMS @low","Create issued invoice in DMS","passed",32344,"2025-09-08T07:29:52.838Z","08. 09. 2025 09:29"
"Issued Invoice - EU PHP in DMS @low","Control invoice in DMS list","passed",6304,"2025-09-08T07:29:59.301Z","08. 09. 2025 09:29"
"Issued Invoice - EU PHP in DMS @low","Control data in infobox","passed",6847,"2025-09-08T07:30:06.276Z","08. 09. 2025 09:30"
"Issued Invoice - EU PHP in DMS @low","Control accounting in filtr zaúčtování","passed",6576,"2025-09-08T07:30:13.051Z","08. 09. 2025 09:30"
"Issued Invoice - EU PHP in DMS @low","Control data in crud","passed",7011,"2025-09-08T07:30:20.148Z","08. 09. 2025 09:30"
"Issued Invoice - EU PHP in DMS @low","Control accounting diary","passed",1948,"2025-09-08T07:30:22.244Z","08. 09. 2025 09:30"
"Issued Invoice - EU PHP in DMS @low","Delete invoice in DMS","passed",6815,"2025-09-08T07:30:29.112Z","08. 09. 2025 09:30"
