# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",13387,"2025-09-11T09:43:50.212Z","11. 09. 2025 11:43"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12141,"2025-09-11T09:44:03.567Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8545,"2025-09-11T09:44:12.196Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7585,"2025-09-11T09:44:20.097Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7661,"2025-09-11T09:44:27.889Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",11236,"2025-09-11T09:44:39.322Z","11. 09. 2025 11:44"
"Issued Invoice - homeland CZK DMS @high @middle @low","Create issued invoice","passed",62268,"2025-09-11T09:45:47.544Z","11. 09. 2025 11:45"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control invoice in DMS list","passed",10861,"2025-09-11T09:45:59.028Z","11. 09. 2025 11:45"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in infobox","passed",9815,"2025-09-11T09:46:09.227Z","11. 09. 2025 11:46"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9879,"2025-09-11T09:46:20.005Z","11. 09. 2025 11:46"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data in crud","passed",13713,"2025-09-11T09:46:33.973Z","11. 09. 2025 11:46"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control accounting diary","passed",3543,"2025-09-11T09:46:38.726Z","11. 09. 2025 11:46"
"Issued Invoice - homeland CZK DMS @high @middle @low","Delete invoice in DMS","passed",9114,"2025-09-11T09:46:48.102Z","11. 09. 2025 11:46"
"Issued Invoice - homeland CZK DMS @high @middle @low","Control data is deleted from accounting diary","passed",791,"2025-09-11T09:46:49.098Z","11. 09. 2025 11:46"
"Issued Invoice - homeland EUR DMS @high @middle @low","Create issued invoice","passed",69134,"2025-09-11T09:48:01.480Z","11. 09. 2025 11:48"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control invoice in DMS list","passed",8611,"2025-09-11T09:48:10.862Z","11. 09. 2025 11:48"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data in infobox","passed",7627,"2025-09-11T09:48:18.769Z","11. 09. 2025 11:48"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8548,"2025-09-11T09:48:28.206Z","11. 09. 2025 11:48"
"Issued Invoice - homeland EUR DMS @high @middle @low","Control data in crud","passed",8809,"2025-09-11T09:48:37.319Z","11. 09. 2025 11:48"
