# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",12897,"2025-09-03T17:47:55.738Z","03. 09. 2025 19:47"
"Set the company for testing @high @middle @low","Create contact Bene","passed",13562,"2025-09-03T17:48:10.200Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8449,"2025-09-03T17:48:18.701Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7809,"2025-09-03T17:48:26.558Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8653,"2025-09-03T17:48:35.275Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10974,"2025-09-03T17:48:46.341Z","03. 09. 2025 19:48"
"OP - homeland CZK in DMS @high @middle @low","Create OP in DMS","passed",54097,"2025-09-03T17:49:43.024Z","03. 09. 2025 19:49"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7192,"2025-09-03T17:49:50.439Z","03. 09. 2025 19:49"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",8171,"2025-09-03T17:49:58.810Z","03. 09. 2025 19:49"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8319,"2025-09-03T17:50:07.676Z","03. 09. 2025 19:50"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",8098,"2025-09-03T17:50:16.073Z","03. 09. 2025 19:50"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2863,"2025-09-03T17:50:19.457Z","03. 09. 2025 19:50"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8797,"2025-09-03T17:50:28.400Z","03. 09. 2025 19:50"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",932,"2025-09-03T17:50:29.535Z","03. 09. 2025 19:50"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",70972,"2025-09-03T17:51:42.888Z","03. 09. 2025 19:51"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7719,"2025-09-03T17:51:51.125Z","03. 09. 2025 19:51"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7561,"2025-09-03T17:51:58.882Z","03. 09. 2025 19:51"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8263,"2025-09-03T17:52:07.739Z","03. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",8826,"2025-09-03T17:52:16.738Z","03. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2616,"2025-09-03T17:52:19.906Z","03. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",8122,"2025-09-03T17:52:28.117Z","03. 09. 2025 19:52"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",794,"2025-09-03T17:52:29.098Z","03. 09. 2025 19:52"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",73269,"2025-09-03T17:53:44.697Z","03. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",7280,"2025-09-03T17:53:52.378Z","03. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",7404,"2025-09-03T17:53:59.976Z","03. 09. 2025 19:53"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7817,"2025-09-03T17:54:08.782Z","03. 09. 2025 19:54"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",7883,"2025-09-03T17:54:16.875Z","03. 09. 2025 19:54"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2547,"2025-09-03T17:54:20.004Z","03. 09. 2025 19:54"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7877,"2025-09-03T17:54:27.999Z","03. 09. 2025 19:54"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",980,"2025-09-03T17:54:29.158Z","03. 09. 2025 19:54"
"OP EU CZK in DMS @high @middle @low","Create OP in DMS","passed",45634,"2025-09-03T17:55:17.794Z","03. 09. 2025 19:55"
"OP EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7175,"2025-09-03T17:55:25.226Z","03. 09. 2025 19:55"
"OP EU CZK in DMS @high @middle @low","Control data in infobox","passed",7928,"2025-09-03T17:55:33.311Z","03. 09. 2025 19:55"
"OP EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7350,"2025-09-03T17:55:40.895Z","03. 09. 2025 19:55"
"OP EU CZK in DMS @high @middle @low","Control data in crud","passed",8129,"2025-09-03T17:55:49.260Z","03. 09. 2025 19:55"
"OP EU CZK in DMS @high @middle @low","Control accounting diary","passed",2634,"2025-09-03T17:55:52.346Z","03. 09. 2025 19:55"
"OP EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8932,"2025-09-03T17:56:01.539Z","03. 09. 2025 19:56"
"OP EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1061,"2025-09-03T17:56:02.792Z","03. 09. 2025 19:56"
"OP EU EUR in DMS @middle @low","Create OP in DMS","passed",43633,"2025-09-03T17:56:48.677Z","03. 09. 2025 19:56"
"OP EU EUR in DMS @middle @low","Control invoice in DMS list","passed",7041,"2025-09-03T17:56:56.005Z","03. 09. 2025 19:56"
"OP EU EUR in DMS @middle @low","Control data in infobox","passed",8698,"2025-09-03T17:57:05.045Z","03. 09. 2025 19:57"
"OP EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",7999,"2025-09-03T17:57:13.565Z","03. 09. 2025 19:57"
"OP EU EUR in DMS @middle @low","Control data in crud","passed",8343,"2025-09-03T17:57:22.017Z","03. 09. 2025 19:57"
"OP EU EUR in DMS @middle @low","Control accounting diary","passed",2693,"2025-09-03T17:57:24.974Z","03. 09. 2025 19:57"
"OP EU EUR in DMS @middle @low","Delete invoice in DMS","passed",7973,"2025-09-03T17:57:33.053Z","03. 09. 2025 19:57"
"OP EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",1424,"2025-09-03T17:57:34.765Z","03. 09. 2025 19:57"
"OP EU PHP modul DMS @low","Create OP in DMS","passed",46776,"2025-09-03T17:58:23.901Z","03. 09. 2025 19:58"
"OP EU PHP modul DMS @low","Control invoice in DMS list","passed",6472,"2025-09-03T17:58:30.623Z","03. 09. 2025 19:58"
"OP EU PHP modul DMS @low","Control data in infobox","passed",7633,"2025-09-03T17:58:38.608Z","03. 09. 2025 19:58"
"OP EU PHP modul DMS @low","Control accounting in filtr zaúčtování","passed",7409,"2025-09-03T17:58:46.257Z","03. 09. 2025 19:58"
"OP EU PHP modul DMS @low","Control data in crud","passed",8495,"2025-09-03T17:58:54.873Z","03. 09. 2025 19:58"
"OP EU PHP modul DMS @low","Control accounting diary","passed",2937,"2025-09-03T17:58:58.174Z","03. 09. 2025 19:58"
"OP EU PHP modul DMS @low","Delete invoice in DMS","passed",8385,"2025-09-03T17:59:06.645Z","03. 09. 2025 19:59"
"OP EU PHP modul DMS @low","Control data is deleted from accounting diary","passed",1011,"2025-09-03T17:59:07.893Z","03. 09. 2025 19:59"
"OP - RPDP CZK in DMS @high @middle @low","Create OP in DMS","passed",80375,"2025-09-03T18:00:30.971Z","03. 09. 2025 20:00"
"OP - RPDP CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6778,"2025-09-03T18:00:38.083Z","03. 09. 2025 20:00"
"OP - RPDP CZK in DMS @high @middle @low","Control data in infobox","passed",7358,"2025-09-03T18:00:45.623Z","03. 09. 2025 20:00"
"OP - RPDP CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7360,"2025-09-03T18:00:53.259Z","03. 09. 2025 20:00"
"OP - RPDP CZK in DMS @high @middle @low","Control data in crud","passed",8734,"2025-09-03T18:01:02.192Z","03. 09. 2025 20:01"
"OP - RPDP CZK in DMS @high @middle @low","Control accounting diary","passed",2992,"2025-09-03T18:01:05.616Z","03. 09. 2025 20:01"
"OP - RPDP CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8364,"2025-09-03T18:01:14.061Z","03. 09. 2025 20:01"
"OP - RPDP CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1176,"2025-09-03T18:01:15.540Z","03. 09. 2025 20:01"
"OP - RPDP EUR in DMS @middle @low","Create OP in DMS","passed",97142,"2025-09-03T18:02:55.328Z","03. 09. 2025 20:02"
"OP - RPDP EUR in DMS @middle @low","Control invoice in DMS list","passed",6971,"2025-09-03T18:03:02.587Z","03. 09. 2025 20:03"
"OP - RPDP EUR in DMS @middle @low","Control data in infobox","passed",8262,"2025-09-03T18:03:11.016Z","03. 09. 2025 20:03"
"OP - RPDP EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",8239,"2025-09-03T18:03:19.670Z","03. 09. 2025 20:03"
"OP - RPDP EUR in DMS @middle @low","Control data in crud","passed",8175,"2025-09-03T18:03:27.983Z","03. 09. 2025 20:03"
"OP - RPDP EUR in DMS @middle @low","Control accounting diary","passed",2721,"2025-09-03T18:03:31.020Z","03. 09. 2025 20:03"
"OP - RPDP EUR in DMS @middle @low","Delete invoice in DMS","passed",7977,"2025-09-03T18:03:39.085Z","03. 09. 2025 20:03"
"OP - RPDP EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",799,"2025-09-03T18:03:40.050Z","03. 09. 2025 20:03"
"OP - RPDP PHP in DMS @low","Create OP in DMS","passed",71991,"2025-09-03T18:04:53.961Z","03. 09. 2025 20:04"
"OP - RPDP PHP in DMS @low","Control invoice in DMS list","passed",6645,"2025-09-03T18:05:00.832Z","03. 09. 2025 20:05"
"OP - RPDP PHP in DMS @low","Control data in infobox","passed",7860,"2025-09-03T18:05:08.821Z","03. 09. 2025 20:05"
"OP - RPDP PHP in DMS @low","Control accounting in filtr zaúčtování","passed",7508,"2025-09-03T18:05:16.623Z","03. 09. 2025 20:05"
"OP - RPDP PHP in DMS @low","Control data in crud","passed",7847,"2025-09-03T18:05:24.576Z","03. 09. 2025 20:05"
"OP - RPDP PHP in DMS @low","Control accounting diary","passed",2119,"2025-09-03T18:05:26.945Z","03. 09. 2025 20:05"
"OP - RPDP PHP in DMS @low","Delete invoice in DMS","passed",8221,"2025-09-03T18:05:35.210Z","03. 09. 2025 20:05"
"OP - RPDP PHP in DMS @low","Control data is deleted from accounting diary","passed",696,"2025-09-03T18:05:36.029Z","03. 09. 2025 20:05"
"Smazání firmy @high @middle @low","Smazat firmu","passed",13888,"2025-09-03T18:05:50.774Z","03. 09. 2025 20:05"
