# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",14345,"2025-09-08T06:49:53.651Z","08. 09. 2025 08:49"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11989,"2025-09-08T06:50:06.685Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7501,"2025-09-08T06:50:14.316Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7263,"2025-09-08T06:50:21.726Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8211,"2025-09-08T06:50:30.030Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",14203,"2025-09-08T06:50:44.488Z","08. 09. 2025 08:50"
"OP - homeland CZK in DMS @high @middle @low","Create OP in DMS","passed",71865,"2025-09-08T06:51:59.606Z","08. 09. 2025 08:51"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7950,"2025-09-08T06:52:08.013Z","08. 09. 2025 08:52"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",10770,"2025-09-08T06:52:19.047Z","08. 09. 2025 08:52"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9199,"2025-09-08T06:52:28.907Z","08. 09. 2025 08:52"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",10572,"2025-09-08T06:52:39.781Z","08. 09. 2025 08:52"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2502,"2025-09-08T06:52:42.803Z","08. 09. 2025 08:52"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8573,"2025-09-08T06:52:51.617Z","08. 09. 2025 08:52"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1184,"2025-09-08T06:52:53.303Z","08. 09. 2025 08:52"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",89997,"2025-09-08T06:54:26.451Z","08. 09. 2025 08:54"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",8461,"2025-09-08T06:54:35.370Z","08. 09. 2025 08:54"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",7475,"2025-09-08T06:54:43.045Z","08. 09. 2025 08:54"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8502,"2025-09-08T06:54:52.567Z","08. 09. 2025 08:54"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",9602,"2025-09-08T06:55:02.552Z","08. 09. 2025 08:55"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",6370,"2025-09-08T06:55:10.646Z","08. 09. 2025 08:55"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",9287,"2025-09-08T06:55:20.139Z","08. 09. 2025 08:55"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1469,"2025-09-08T06:55:22.021Z","08. 09. 2025 08:55"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",83299,"2025-09-08T06:56:48.411Z","08. 09. 2025 08:56"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",7178,"2025-09-08T06:56:56.085Z","08. 09. 2025 08:56"
