# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Registration company","passed",14333,"2025-09-10T16:38:22.551Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11642,"2025-09-10T16:38:35.380Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7846,"2025-09-10T16:38:43.344Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7675,"2025-09-10T16:38:51.122Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8522,"2025-09-10T16:38:59.791Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",12260,"2025-09-10T16:39:12.127Z","10. 09. 2025 18:39"
"OP - homeland CZK in DMS @high @middle @low","Create OP in DMS","passed",69607,"2025-09-10T16:40:23.679Z","10. 09. 2025 18:40"
"OP - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",8243,"2025-09-10T16:40:32.565Z","10. 09. 2025 18:40"
"OP - homeland CZK in DMS @high @middle @low","Control data in infobox","passed",8495,"2025-09-10T16:40:41.410Z","10. 09. 2025 18:40"
"OP - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8925,"2025-09-10T16:40:51.230Z","10. 09. 2025 18:40"
"OP - homeland CZK in DMS @high @middle @low","Control data in crud","passed",15568,"2025-09-10T16:41:07.105Z","10. 09. 2025 18:41"
"OP - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",3333,"2025-09-10T16:41:11.418Z","10. 09. 2025 18:41"
"OP - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8723,"2025-09-10T16:41:20.277Z","10. 09. 2025 18:41"
"OP - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",641,"2025-09-10T16:41:21.128Z","10. 09. 2025 18:41"
"OP - homeland EUR in DMS @high @middle @low","Create OP in DMS","passed",85224,"2025-09-10T16:42:48.675Z","10. 09. 2025 18:42"
"OP - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7784,"2025-09-10T16:42:56.781Z","10. 09. 2025 18:42"
"OP - homeland EUR in DMS @high @middle @low","Control data in infobox","passed",9290,"2025-09-10T16:43:06.285Z","10. 09. 2025 18:43"
"OP - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9896,"2025-09-10T16:43:17.092Z","10. 09. 2025 18:43"
"OP - homeland EUR in DMS @high @middle @low","Control data in crud","passed",9663,"2025-09-10T16:43:27.135Z","10. 09. 2025 18:43"
"OP - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",3307,"2025-09-10T16:43:31.588Z","10. 09. 2025 18:43"
"OP - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",8375,"2025-09-10T16:43:40.205Z","10. 09. 2025 18:43"
"OP - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",747,"2025-09-10T16:43:41.143Z","10. 09. 2025 18:43"
"OP - homeland PHP in DMS @high @middle @low","Create OP in DMS","passed",78000,"2025-09-10T16:45:01.765Z","10. 09. 2025 18:45"
"OP - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",9303,"2025-09-10T16:45:11.746Z","10. 09. 2025 18:45"
"OP - homeland PHP in DMS @high @middle @low","Control data in infobox","passed",8269,"2025-09-10T16:45:20.277Z","10. 09. 2025 18:45"
"OP - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",12031,"2025-09-10T16:45:32.685Z","10. 09. 2025 18:45"
"OP - homeland PHP in DMS @high @middle @low","Control data in crud","passed",11685,"2025-09-10T16:45:44.939Z","10. 09. 2025 18:45"
"OP - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",3943,"2025-09-10T16:45:50.079Z","10. 09. 2025 18:45"
"OP - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",11996,"2025-09-10T16:46:02.305Z","10. 09. 2025 18:46"
"OP - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1050,"2025-09-10T16:46:03.686Z","10. 09. 2025 18:46"
"OP EU CZK in DMS @high @middle @low","Create OP in DMS","passed",54777,"2025-09-10T16:47:01.165Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",8956,"2025-09-10T16:47:10.755Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Control data in infobox","passed",10564,"2025-09-10T16:47:22.297Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9374,"2025-09-10T16:47:32.061Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Control data in crud","passed",9077,"2025-09-10T16:47:41.394Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Control accounting diary","passed",2986,"2025-09-10T16:47:44.935Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8632,"2025-09-10T16:47:53.751Z","10. 09. 2025 18:47"
"OP EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",910,"2025-09-10T16:47:54.997Z","10. 09. 2025 18:47"
"OP EU EUR in DMS @middle @low","Create OP in DMS","passed",61750,"2025-09-10T16:49:00.658Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Control invoice in DMS list","passed",9074,"2025-09-10T16:49:10.274Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Control data in infobox","passed",9595,"2025-09-10T16:49:20.183Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",10985,"2025-09-10T16:49:31.643Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Control data in crud","passed",10541,"2025-09-10T16:49:42.347Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Control accounting diary","passed",2827,"2025-09-10T16:49:46.000Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Delete invoice in DMS","passed",10673,"2025-09-10T16:49:56.968Z","10. 09. 2025 18:49"
"OP EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",1588,"2025-09-10T16:49:59.204Z","10. 09. 2025 18:49"
"OP EU PHP modul DMS @low","Create OP in DMS","passed",72569,"2025-09-10T16:51:16.750Z","10. 09. 2025 18:51"
"OP EU PHP modul DMS @low","Control invoice in DMS list","passed",7495,"2025-09-10T16:51:24.665Z","10. 09. 2025 18:51"
"OP EU PHP modul DMS @low","Control data in infobox","passed",7701,"2025-09-10T16:51:32.537Z","10. 09. 2025 18:51"
