# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",14266,"2025-09-03T17:29:06.782Z","03. 09. 2025 19:29"
"Set the company for testing @high @middle @low","Create contact Bene","passed",14208,"2025-09-03T17:29:21.871Z","03. 09. 2025 19:29"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8462,"2025-09-03T17:29:30.403Z","03. 09. 2025 19:29"
"Set the company for testing @high @middle @low","Create 3 activity","passed",8476,"2025-09-03T17:29:38.971Z","03. 09. 2025 19:29"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7980,"2025-09-03T17:29:47.052Z","03. 09. 2025 19:29"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",11169,"2025-09-03T17:29:58.288Z","03. 09. 2025 19:29"
"Set the company for testing @high @middle @low","Set light-regime","passed",2958,"2025-09-03T17:30:01.381Z","03. 09. 2025 19:30"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",29310,"2025-09-03T17:30:31.579Z","03. 09. 2025 19:30"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6978,"2025-09-03T17:30:38.633Z","03. 09. 2025 19:30"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7899,"2025-09-03T17:30:46.746Z","03. 09. 2025 19:30"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7342,"2025-09-03T17:30:54.176Z","03. 09. 2025 19:30"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2249,"2025-09-03T17:30:56.673Z","03. 09. 2025 19:30"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",7654,"2025-09-03T17:31:04.373Z","03. 09. 2025 19:31"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",650,"2025-09-03T17:31:05.105Z","03. 09. 2025 19:31"
"Cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",36049,"2025-09-03T17:31:42.133Z","03. 09. 2025 19:31"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6489,"2025-09-03T17:31:48.707Z","03. 09. 2025 19:31"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7320,"2025-09-03T17:31:56.388Z","03. 09. 2025 19:31"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7441,"2025-09-03T17:32:03.921Z","03. 09. 2025 19:32"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2377,"2025-09-03T17:32:06.601Z","03. 09. 2025 19:32"
"Cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",7484,"2025-09-03T17:32:14.146Z","03. 09. 2025 19:32"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",631,"2025-09-03T17:32:14.882Z","03. 09. 2025 19:32"
"Cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",35829,"2025-09-03T17:32:51.620Z","03. 09. 2025 19:32"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",6595,"2025-09-03T17:32:58.290Z","03. 09. 2025 19:32"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7471,"2025-09-03T17:33:06.132Z","03. 09. 2025 19:33"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",7779,"2025-09-03T17:33:13.998Z","03. 09. 2025 19:33"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",2221,"2025-09-03T17:33:16.479Z","03. 09. 2025 19:33"
"Cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",7243,"2025-09-03T17:33:23.768Z","03. 09. 2025 19:33"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control data is deleted from accounting diary","passed",807,"2025-09-03T17:33:24.647Z","03. 09. 2025 19:33"
"Create cash receipt - EU CZK in faktury @high @middle @low","Create cash receipt","passed",21048,"2025-09-03T17:33:46.624Z","03. 09. 2025 19:33"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control invoice in DMS list","passed",7158,"2025-09-03T17:33:53.846Z","03. 09. 2025 19:33"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7705,"2025-09-03T17:34:01.659Z","03. 09. 2025 19:34"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control data in crud","passed",7698,"2025-09-03T17:34:09.428Z","03. 09. 2025 19:34"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control accounting diary","passed",862,"2025-09-03T17:34:10.367Z","03. 09. 2025 19:34"
"Create cash receipt - EU CZK in faktury @high @middle @low","Delete invoice in DMS","passed",7808,"2025-09-03T17:34:18.209Z","03. 09. 2025 19:34"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",700,"2025-09-03T17:34:19.000Z","03. 09. 2025 19:34"
"Create cash receipt - EU EUR in faktury @middle @low","Create cash receipt","passed",21074,"2025-09-03T17:34:41.030Z","03. 09. 2025 19:34"
"Create cash receipt - EU EUR in faktury @middle @low","Control invoice in DMS list","passed",6538,"2025-09-03T17:34:47.628Z","03. 09. 2025 19:34"
"Create cash receipt - EU EUR in faktury @middle @low","Control accounting in filtr zaúčtování","passed",7079,"2025-09-03T17:34:54.828Z","03. 09. 2025 19:34"
"Create cash receipt - EU EUR in faktury @middle @low","Control data in crud","passed",7293,"2025-09-03T17:35:02.192Z","03. 09. 2025 19:35"
"Create cash receipt - EU EUR in faktury @middle @low","Control accounting diary","passed",746,"2025-09-03T17:35:03.027Z","03. 09. 2025 19:35"
"Create cash receipt - EU EUR in faktury @middle @low","Delete invoice in DMS","passed",8039,"2025-09-03T17:35:11.093Z","03. 09. 2025 19:35"
"Create cash receipt - EU EUR in faktury @middle @low","Control data is deleted from accounting diary","passed",1229,"2025-09-03T17:35:12.426Z","03. 09. 2025 19:35"
"Create cash receipt - EU PHP in faktury @low","Create cash receipt","passed",20914,"2025-09-03T17:35:34.288Z","03. 09. 2025 19:35"
"Create cash receipt - EU PHP in faktury @low","Control invoice in DMS list","passed",6914,"2025-09-03T17:35:41.269Z","03. 09. 2025 19:35"
"Create cash receipt - EU PHP in faktury @low","Control accounting in filtr zaúčtování","passed",7665,"2025-09-03T17:35:49.051Z","03. 09. 2025 19:35"
"Create cash receipt - EU PHP in faktury @low","Control data in crud","passed",7708,"2025-09-03T17:35:56.827Z","03. 09. 2025 19:35"
"Create cash receipt - EU PHP in faktury @low","Control accounting diary","passed",942,"2025-09-03T17:35:57.893Z","03. 09. 2025 19:35"
"Create cash receipt - EU PHP in faktury @low","Delete invoice in DMS","passed",7866,"2025-09-03T17:36:05.786Z","03. 09. 2025 19:36"
"Create cash receipt - EU PHP in faktury @low","Control data is deleted from accounting diary","passed",764,"2025-09-03T17:36:06.638Z","03. 09. 2025 19:36"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Create cash receipt","passed",24720,"2025-09-03T17:36:32.294Z","03. 09. 2025 19:36"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6596,"2025-09-03T17:36:38.957Z","03. 09. 2025 19:36"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7201,"2025-09-03T17:36:46.267Z","03. 09. 2025 19:36"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Control data in crud","passed",7462,"2025-09-03T17:36:53.792Z","03. 09. 2025 19:36"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Control accounting diary","passed",1984,"2025-09-03T17:36:55.953Z","03. 09. 2025 19:36"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Delete invoice in DMS","passed",7074,"2025-09-03T17:37:03.070Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP CZK in faktury @high @middle @low","Control data is deleted from accounting diary","passed",871,"2025-09-03T17:37:04.094Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP EUR in faktury @middle @low","Create cash receipt","passed",28990,"2025-09-03T17:37:34.740Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP EUR in faktury @middle @low","Control invoice in DMS list","passed",6730,"2025-09-03T17:37:41.544Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP EUR in faktury @middle @low","Control accounting in filtr zaúčtování","passed",7292,"2025-09-03T17:37:49.018Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP EUR in faktury @middle @low","Control data in crud","passed",7124,"2025-09-03T17:37:56.225Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP EUR in faktury @middle @low","Control accounting diary","passed",2373,"2025-09-03T17:37:58.736Z","03. 09. 2025 19:37"
"Create cash receipt - RPDP EUR in faktury @middle @low","Delete invoice in DMS","passed",7601,"2025-09-03T17:38:06.380Z","03. 09. 2025 19:38"
"Create cash receipt - RPDP EUR in faktury @middle @low","Control data is deleted from accounting diary","passed",785,"2025-09-03T17:38:07.295Z","03. 09. 2025 19:38"
"Create cash receipt - RPDP PHP in faktury @low","Create cash receipt","passed",28200,"2025-09-03T17:38:36.851Z","03. 09. 2025 19:38"
"Create cash receipt - RPDP PHP in faktury @low","Control invoice in DMS list","passed",6927,"2025-09-03T17:38:43.866Z","03. 09. 2025 19:38"
"Create cash receipt - RPDP PHP in faktury @low","Control accounting in filtr zaúčtování","passed",7425,"2025-09-03T17:38:51.473Z","03. 09. 2025 19:38"
"Create cash receipt - RPDP PHP in faktury @low","Control data in crud","passed",7676,"2025-09-03T17:38:59.252Z","03. 09. 2025 19:38"
"Create cash receipt - RPDP PHP in faktury @low","Control accounting diary","passed",1926,"2025-09-03T17:39:01.365Z","03. 09. 2025 19:39"
"Create cash receipt - RPDP PHP in faktury @low","Delete invoice in DMS","passed",7350,"2025-09-03T17:39:08.762Z","03. 09. 2025 19:39"
"Create cash receipt - RPDP PHP in faktury @low","Control data is deleted from accounting diary","passed",729,"2025-09-03T17:39:09.582Z","03. 09. 2025 19:39"
"Delete company @high @middle @low","Delete company","passed",13539,"2025-09-03T17:39:24.084Z","03. 09. 2025 19:39"
