# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",13709,"2025-09-08T07:21:53.513Z","08. 09. 2025 09:21"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11616,"2025-09-08T07:22:06.113Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7915,"2025-09-08T07:22:14.074Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7527,"2025-09-08T07:22:21.639Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7507,"2025-09-08T07:22:29.208Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9646,"2025-09-08T07:22:38.927Z","08. 09. 2025 09:22"
"Set the company for testing @high @middle @low","Set light-regime","passed",2996,"2025-09-08T07:22:42.768Z","08. 09. 2025 09:22"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",27969,"2025-09-08T07:23:11.854Z","08. 09. 2025 09:23"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",6308,"2025-09-08T07:23:18.243Z","08. 09. 2025 09:23"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6791,"2025-09-08T07:23:25.275Z","08. 09. 2025 09:23"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",6942,"2025-09-08T07:23:32.325Z","08. 09. 2025 09:23"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2145,"2025-09-08T07:23:34.791Z","08. 09. 2025 09:23"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6808,"2025-09-08T07:23:41.657Z","08. 09. 2025 09:23"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",602,"2025-09-08T07:23:42.400Z","08. 09. 2025 09:23"
"Cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",33208,"2025-09-08T07:24:17.051Z","08. 09. 2025 09:24"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6073,"2025-09-08T07:24:23.224Z","08. 09. 2025 09:24"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7089,"2025-09-08T07:24:30.799Z","08. 09. 2025 09:24"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7184,"2025-09-08T07:24:38.096Z","08. 09. 2025 09:24"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2085,"2025-09-08T07:24:40.489Z","08. 09. 2025 09:24"
