# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12845,"2025-09-10T17:03:15.008Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11435,"2025-09-10T17:03:27.416Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7661,"2025-09-10T17:03:35.154Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7597,"2025-09-10T17:03:42.814Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8020,"2025-09-10T17:03:50.926Z","10. 09. 2025 19:03"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9767,"2025-09-10T17:04:00.747Z","10. 09. 2025 19:04"
"Set the company for testing @high @middle @low","Set light-regime","passed",3933,"2025-09-10T17:04:05.611Z","10. 09. 2025 19:04"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Create cash receipt","passed",27893,"2025-09-10T17:04:34.529Z","10. 09. 2025 19:04"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control invoice in DMS list","passed",14541,"2025-09-10T17:04:49.146Z","10. 09. 2025 19:04"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7053,"2025-09-10T17:04:56.420Z","10. 09. 2025 19:04"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data in crud","passed",7118,"2025-09-10T17:05:03.622Z","10. 09. 2025 19:05"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control accounting diary","passed",2221,"2025-09-10T17:05:06.229Z","10. 09. 2025 19:05"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Delete invoice in DMS","passed",6794,"2025-09-10T17:05:13.102Z","10. 09. 2025 19:05"
"Cash receipt - homeland CZK in Faktury @high @middle @low","Control data is deleted from accounting diary","passed",585,"2025-09-10T17:05:13.801Z","10. 09. 2025 19:05"
"Cash receipt - homeland EUR in faktury @high @middle @low","Create cash receipt","passed",33858,"2025-09-10T17:05:48.621Z","10. 09. 2025 19:05"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control invoice in DMS list","passed",6206,"2025-09-10T17:05:54.932Z","10. 09. 2025 19:05"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6868,"2025-09-10T17:06:02.132Z","10. 09. 2025 19:06"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control data in crud","passed",7315,"2025-09-10T17:06:09.531Z","10. 09. 2025 19:06"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control accounting diary","passed",2293,"2025-09-10T17:06:12.102Z","10. 09. 2025 19:06"
"Cash receipt - homeland EUR in faktury @high @middle @low","Delete invoice in DMS","passed",6929,"2025-09-10T17:06:19.086Z","10. 09. 2025 19:06"
"Cash receipt - homeland EUR in faktury @high @middle @low","Control data is deleted from accounting diary","passed",597,"2025-09-10T17:06:19.841Z","10. 09. 2025 19:06"
"Cash receipt - homeland PHP in faktury @high @middle @low","Create cash receipt","passed",35101,"2025-09-10T17:06:55.990Z","10. 09. 2025 19:06"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control invoice in DMS list","passed",7109,"2025-09-10T17:07:03.183Z","10. 09. 2025 19:07"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",7217,"2025-09-10T17:07:10.786Z","10. 09. 2025 19:07"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control data in crud","passed",7139,"2025-09-10T17:07:18.031Z","10. 09. 2025 19:07"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control accounting diary","passed",2429,"2025-09-10T17:07:20.820Z","10. 09. 2025 19:07"
"Cash receipt - homeland PHP in faktury @high @middle @low","Delete invoice in DMS","passed",6853,"2025-09-10T17:07:27.731Z","10. 09. 2025 19:07"
"Cash receipt - homeland PHP in faktury @high @middle @low","Control data is deleted from accounting diary","passed",594,"2025-09-10T17:07:28.416Z","10. 09. 2025 19:07"
"Create cash receipt - EU CZK in faktury @high @middle @low","Create cash receipt","passed",17123,"2025-09-10T17:07:46.483Z","10. 09. 2025 19:07"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control invoice in DMS list","passed",6221,"2025-09-10T17:07:52.776Z","10. 09. 2025 19:07"
"Create cash receipt - EU CZK in faktury @high @middle @low","Control accounting in filtr zaúčtování","passed",6781,"2025-09-10T17:07:59.680Z","10. 09. 2025 19:07"
