"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",13479,"2025-08-27T16:21:22.511Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11320,"2025-08-27T16:21:34.871Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create 3 centers","passed",6910,"2025-08-27T16:21:41.831Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7069,"2025-08-27T16:21:48.947Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7137,"2025-08-27T16:21:56.136Z","27. 08. 2025 18:21"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",9322,"2025-08-27T16:22:05.501Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in DMS @high @middle @low","Create cash receipt","passed",44943,"2025-08-27T16:22:51.832Z","27. 08. 2025 18:22"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",11545,"2025-08-27T16:23:03.540Z","27. 08. 2025 18:23"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6566,"2025-08-27T16:23:10.307Z","27. 08. 2025 18:23"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data in crud","passed",3136,"2025-08-27T16:23:13.520Z","27. 08. 2025 18:23"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",1981,"2025-08-27T16:23:15.893Z","27. 08. 2025 18:23"
"Cash receipt - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",2995,"2025-08-27T16:23:18.934Z","27. 08. 2025 18:23"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",542,"2025-08-27T16:23:19.581Z","27. 08. 2025 18:23"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Create cash receipt","passed",44826,"2025-08-27T16:24:05.663Z","27. 08. 2025 18:24"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",5970,"2025-08-27T16:24:11.783Z","27. 08. 2025 18:24"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7985,"2025-08-27T16:24:20.147Z","27. 08. 2025 18:24"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data in crud","passed",3627,"2025-08-27T16:24:23.860Z","27. 08. 2025 18:24"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2006,"2025-08-27T16:24:26.258Z","27. 08. 2025 18:24"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",3099,"2025-08-27T16:24:29.442Z","27. 08. 2025 18:24"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",742,"2025-08-27T16:24:30.294Z","27. 08. 2025 18:24"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Create cash receipt","passed",47554,"2025-08-27T16:25:19.240Z","27. 08. 2025 18:25"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",5791,"2025-08-27T16:25:25.222Z","27. 08. 2025 18:25"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6428,"2025-08-27T16:25:32.025Z","27. 08. 2025 18:25"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data in crud","passed",3098,"2025-08-27T16:25:35.206Z","27. 08. 2025 18:25"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2355,"2025-08-27T16:25:37.846Z","27. 08. 2025 18:25"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",3043,"2025-08-27T16:25:40.935Z","27. 08. 2025 18:25"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",568,"2025-08-27T16:25:41.577Z","27. 08. 2025 18:25"
"Create cash receipt - EU CZK in DMS @high @middle @low","Create cash receipt in DMS","passed",31426,"2025-08-27T16:26:14.179Z","27. 08. 2025 18:26"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",5903,"2025-08-27T16:26:20.234Z","27. 08. 2025 18:26"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6606,"2025-08-27T16:26:26.965Z","27. 08. 2025 18:26"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data in crud","passed",3161,"2025-08-27T16:26:30.237Z","27. 08. 2025 18:26"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting diary","passed",1902,"2025-08-27T16:26:32.326Z","27. 08. 2025 18:26"
"Create cash receipt - EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",5204,"2025-08-27T16:26:37.571Z","27. 08. 2025 18:26"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",578,"2025-08-27T16:26:38.232Z","27. 08. 2025 18:26"
"Create cash receipt - EU EUR in DMS @middle @low","Create cash receipt in DMS","passed",32086,"2025-08-27T16:27:11.655Z","27. 08. 2025 18:27"
"Create cash receipt - EU EUR in DMS @middle @low","Control invoice in DMS list","passed",5593,"2025-08-27T16:27:17.388Z","27. 08. 2025 18:27"
"Create cash receipt - EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",6540,"2025-08-27T16:27:24.077Z","27. 08. 2025 18:27"
"Create cash receipt - EU EUR in DMS @middle @low","Control data in crud","passed",3098,"2025-08-27T16:27:27.283Z","27. 08. 2025 18:27"
"Create cash receipt - EU EUR in DMS @middle @low","Control accounting diary","passed",1900,"2025-08-27T16:27:29.294Z","27. 08. 2025 18:27"
"Create cash receipt - EU EUR in DMS @middle @low","Delete invoice in DMS","passed",2864,"2025-08-27T16:27:32.206Z","27. 08. 2025 18:27"
"Create cash receipt - EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",504,"2025-08-27T16:27:32.795Z","27. 08. 2025 18:27"
"Create cash receipt - EU PHP in DMS @low","Create cash receipt","passed",33170,"2025-08-27T16:28:07.284Z","27. 08. 2025 18:28"
"Create cash receipt - EU PHP in DMS @low","Control invoice in DMS list","passed",6049,"2025-08-27T16:28:13.475Z","27. 08. 2025 18:28"
"Create cash receipt - EU PHP in DMS @low","Control accounting in filtr zaúčtování","passed",6483,"2025-08-27T16:28:20.090Z","27. 08. 2025 18:28"
"Create cash receipt - EU PHP in DMS @low","Control data in crud","passed",3112,"2025-08-27T16:28:23.278Z","27. 08. 2025 18:28"
"Create cash receipt - EU PHP in DMS @low","Control accounting diary","passed",1758,"2025-08-27T16:28:25.186Z","27. 08. 2025 18:28"
"Create cash receipt - EU PHP in DMS @low","Delete invoice in DMS","passed",2836,"2025-08-27T16:28:28.057Z","27. 08. 2025 18:28"
"Create cash receipt - EU PHP in DMS @low","Control data is deleted from accounting diary","passed",595,"2025-08-27T16:28:28.713Z","27. 08. 2025 18:28"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Create cash receipt in DMS","passed",56099,"2025-08-27T16:29:26.063Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6782,"2025-08-27T16:29:33.084Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",6755,"2025-08-27T16:29:40.129Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control data in crud","passed",3582,"2025-08-27T16:29:43.869Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control accounting diary","passed",2085,"2025-08-27T16:29:46.225Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Delete invoice in DMS","passed",3040,"2025-08-27T16:29:49.316Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",589,"2025-08-27T16:29:49.992Z","27. 08. 2025 18:29"
"Create cash receipt - RPDP EUR in DMS @middle @low","Create cash receipt in DMS","passed",62197,"2025-08-27T16:30:53.727Z","27. 08. 2025 18:30"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control invoice in DMS list","passed",5897,"2025-08-27T16:30:59.828Z","27. 08. 2025 18:30"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",6734,"2025-08-27T16:31:06.790Z","27. 08. 2025 18:31"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control data in crud","passed",3535,"2025-08-27T16:31:10.447Z","27. 08. 2025 18:31"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control accounting diary","passed",2018,"2025-08-27T16:31:12.672Z","27. 08. 2025 18:31"
"Create cash receipt - RPDP EUR in DMS @middle @low","Delete invoice in DMS","passed",2762,"2025-08-27T16:31:15.474Z","27. 08. 2025 18:31"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",525,"2025-08-27T16:31:16.088Z","27. 08. 2025 18:31"
"Create cash receipt - RPDP PHP in DMS @low","Create cash receipt in  DMS","passed",61690,"2025-08-27T16:32:18.910Z","27. 08. 2025 18:32"
"Create cash receipt - RPDP PHP in DMS @low","Control invoice in DMS list","passed",5722,"2025-08-27T16:32:24.813Z","27. 08. 2025 18:32"
"Create cash receipt - RPDP PHP in DMS @low","Control accounting in filtr zaúčtování","passed",7014,"2025-08-27T16:32:32.106Z","27. 08. 2025 18:32"
"Create cash receipt - RPDP PHP in DMS @low","Control data in crud","passed",3238,"2025-08-27T16:32:35.418Z","27. 08. 2025 18:32"
"Create cash receipt - RPDP PHP in DMS @low","Control accounting diary","passed",2001,"2025-08-27T16:32:37.737Z","27. 08. 2025 18:32"
"Create cash receipt - RPDP PHP in DMS @low","Delete invoice in DMS","passed",2935,"2025-08-27T16:32:40.713Z","27. 08. 2025 18:32"
"Create cash receipt - RPDP PHP in DMS @low","Control data is deleted from accounting diary","passed",566,"2025-08-27T16:32:41.385Z","27. 08. 2025 18:32"
"Smazání firmy @high @middle @low","Smazat firmu","passed",15833,"2025-08-27T16:32:58.015Z","27. 08. 2025 18:32"
