# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12667,"2025-09-03T17:47:53.226Z","03. 09. 2025 19:47"
"Set the company for testing @high @middle @low","Create contact Bene","passed",14500,"2025-09-03T17:48:08.800Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8134,"2025-09-03T17:48:17.026Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7912,"2025-09-03T17:48:25.027Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8419,"2025-09-03T17:48:33.507Z","03. 09. 2025 19:48"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10238,"2025-09-03T17:48:43.823Z","03. 09. 2025 19:48"
"Cash receipt - homeland CZK in DMS @high @middle @low","Create cash receipt","passed",56754,"2025-09-03T17:49:43.208Z","03. 09. 2025 19:49"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7074,"2025-09-03T17:49:50.539Z","03. 09. 2025 19:49"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8116,"2025-09-03T17:49:59.093Z","03. 09. 2025 19:49"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data in crud","passed",8699,"2025-09-03T17:50:07.983Z","03. 09. 2025 19:50"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",2786,"2025-09-03T17:50:11.290Z","03. 09. 2025 19:50"
"Cash receipt - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",8050,"2025-09-03T17:50:19.441Z","03. 09. 2025 19:50"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",866,"2025-09-03T17:50:20.506Z","03. 09. 2025 19:50"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Create cash receipt","passed",73627,"2025-09-03T17:51:36.571Z","03. 09. 2025 19:51"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",7318,"2025-09-03T17:51:44.460Z","03. 09. 2025 19:51"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8236,"2025-09-03T17:51:53.472Z","03. 09. 2025 19:51"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data in crud","passed",8556,"2025-09-03T17:52:02.299Z","03. 09. 2025 19:52"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",2982,"2025-09-03T17:52:05.893Z","03. 09. 2025 19:52"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",7997,"2025-09-03T17:52:13.985Z","03. 09. 2025 19:52"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",697,"2025-09-03T17:52:14.885Z","03. 09. 2025 19:52"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Create cash receipt","passed",70643,"2025-09-03T17:53:28.176Z","03. 09. 2025 19:53"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",7730,"2025-09-03T17:53:36.403Z","03. 09. 2025 19:53"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8829,"2025-09-03T17:53:46.020Z","03. 09. 2025 19:53"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data in crud","passed",8247,"2025-09-03T17:53:54.450Z","03. 09. 2025 19:53"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2562,"2025-09-03T17:53:57.866Z","03. 09. 2025 19:53"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7925,"2025-09-03T17:54:05.967Z","03. 09. 2025 19:54"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",918,"2025-09-03T17:54:07.062Z","03. 09. 2025 19:54"
"Create cash receipt - EU CZK in DMS @high @middle @low","Create cash receipt in DMS","passed",41804,"2025-09-03T17:54:51.293Z","03. 09. 2025 19:54"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7010,"2025-09-03T17:54:58.577Z","03. 09. 2025 19:54"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7692,"2025-09-03T17:55:06.446Z","03. 09. 2025 19:55"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data in crud","passed",8781,"2025-09-03T17:55:15.412Z","03. 09. 2025 19:55"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting diary","passed",2535,"2025-09-03T17:55:18.338Z","03. 09. 2025 19:55"
"Create cash receipt - EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7981,"2025-09-03T17:55:26.420Z","03. 09. 2025 19:55"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",717,"2025-09-03T17:55:27.326Z","03. 09. 2025 19:55"
"Create cash receipt - EU EUR in DMS @middle @low","Create cash receipt in DMS","passed",46227,"2025-09-03T17:56:16.668Z","03. 09. 2025 19:56"
"Create cash receipt - EU EUR in DMS @middle @low","Control invoice in DMS list","passed",7522,"2025-09-03T17:56:24.530Z","03. 09. 2025 19:56"
"Create cash receipt - EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",7770,"2025-09-03T17:56:32.576Z","03. 09. 2025 19:56"
"Create cash receipt - EU EUR in DMS @middle @low","Control data in crud","passed",8147,"2025-09-03T17:56:40.832Z","03. 09. 2025 19:56"
"Create cash receipt - EU EUR in DMS @middle @low","Control accounting diary","passed",2263,"2025-09-03T17:56:43.364Z","03. 09. 2025 19:56"
"Create cash receipt - EU EUR in DMS @middle @low","Delete invoice in DMS","passed",7583,"2025-09-03T17:56:51.016Z","03. 09. 2025 19:56"
"Create cash receipt - EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",738,"2025-09-03T17:56:51.868Z","03. 09. 2025 19:56"
"Create cash receipt - EU PHP in DMS @low","Create cash receipt","passed",48467,"2025-09-03T17:57:42.869Z","03. 09. 2025 19:57"
"Create cash receipt - EU PHP in DMS @low","Control invoice in DMS list","passed",6685,"2025-09-03T17:57:49.784Z","03. 09. 2025 19:57"
"Create cash receipt - EU PHP in DMS @low","Control accounting in filtr zaúčtování","passed",7578,"2025-09-03T17:57:57.654Z","03. 09. 2025 19:57"
"Create cash receipt - EU PHP in DMS @low","Control data in crud","passed",8348,"2025-09-03T17:58:06.157Z","03. 09. 2025 19:58"
"Create cash receipt - EU PHP in DMS @low","Control accounting diary","passed",2257,"2025-09-03T17:58:08.691Z","03. 09. 2025 19:58"
"Create cash receipt - EU PHP in DMS @low","Delete invoice in DMS","passed",7965,"2025-09-03T17:58:16.751Z","03. 09. 2025 19:58"
"Create cash receipt - EU PHP in DMS @low","Control data is deleted from accounting diary","passed",811,"2025-09-03T17:58:17.791Z","03. 09. 2025 19:58"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Create cash receipt in DMS","passed",79481,"2025-09-03T17:59:39.643Z","03. 09. 2025 19:59"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control invoice in DMS list","passed",6818,"2025-09-03T17:59:46.825Z","03. 09. 2025 19:59"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8189,"2025-09-03T17:59:55.321Z","03. 09. 2025 19:59"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control data in crud","passed",8566,"2025-09-03T18:00:04.057Z","03. 09. 2025 20:00"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control accounting diary","passed",2387,"2025-09-03T18:00:06.799Z","03. 09. 2025 20:00"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Delete invoice in DMS","passed",9126,"2025-09-03T18:00:16.029Z","03. 09. 2025 20:00"
"Create cash receipt - RPDP CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",936,"2025-09-03T18:00:17.231Z","03. 09. 2025 20:00"
"Create cash receipt - RPDP EUR in DMS @middle @low","Create cash receipt in DMS","passed",95020,"2025-09-03T18:01:54.263Z","03. 09. 2025 20:01"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control invoice in DMS list","passed",8216,"2025-09-03T18:02:03.429Z","03. 09. 2025 20:02"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",8029,"2025-09-03T18:02:12.089Z","03. 09. 2025 20:02"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control data in crud","passed",8287,"2025-09-03T18:02:20.562Z","03. 09. 2025 20:02"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control accounting diary","passed",2512,"2025-09-03T18:02:23.530Z","03. 09. 2025 20:02"
"Create cash receipt - RPDP EUR in DMS @middle @low","Delete invoice in DMS","passed",8293,"2025-09-03T18:02:31.971Z","03. 09. 2025 20:02"
"Create cash receipt - RPDP EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",860,"2025-09-03T18:02:33.171Z","03. 09. 2025 20:02"
"Create cash receipt - RPDP PHP in DMS @low","Create cash receipt in  DMS","passed",82197,"2025-09-03T18:03:58.026Z","03. 09. 2025 20:03"
"Create cash receipt - RPDP PHP in DMS @low","Control invoice in DMS list","passed",7236,"2025-09-03T18:04:05.491Z","03. 09. 2025 20:04"
"Create cash receipt - RPDP PHP in DMS @low","Control accounting in filtr zaúčtování","passed",8002,"2025-09-03T18:04:13.881Z","03. 09. 2025 20:04"
"Create cash receipt - RPDP PHP in DMS @low","Control data in crud","passed",8473,"2025-09-03T18:04:22.502Z","03. 09. 2025 20:04"
"Create cash receipt - RPDP PHP in DMS @low","Control accounting diary","passed",2503,"2025-09-03T18:04:25.357Z","03. 09. 2025 20:04"
"Create cash receipt - RPDP PHP in DMS @low","Delete invoice in DMS","passed",8391,"2025-09-03T18:04:33.814Z","03. 09. 2025 20:04"
"Create cash receipt - RPDP PHP in DMS @low","Control data is deleted from accounting diary","passed",655,"2025-09-03T18:04:34.652Z","03. 09. 2025 20:04"
"Smazání firmy @high @middle @low","Smazat firmu","passed",15246,"2025-09-03T18:04:51.113Z","03. 09. 2025 20:04"
