# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12791,"2025-09-08T06:49:52.227Z","08. 09. 2025 08:49"
"Set the company for testing @high @middle @low","Create contact Bene","passed",11812,"2025-09-08T06:50:05.059Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8464,"2025-09-08T06:50:13.612Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7376,"2025-09-08T06:50:21.064Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Create 3 projects","passed",8055,"2025-09-08T06:50:29.239Z","08. 09. 2025 08:50"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",13479,"2025-09-08T06:50:43.121Z","08. 09. 2025 08:50"
"Cash receipt - homeland CZK in DMS @high @middle @low","Create cash receipt","passed",78964,"2025-09-08T06:52:05.530Z","08. 09. 2025 08:52"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",9878,"2025-09-08T06:52:15.821Z","08. 09. 2025 08:52"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",8834,"2025-09-08T06:52:25.366Z","08. 09. 2025 08:52"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data in crud","passed",10506,"2025-09-08T06:52:36.325Z","08. 09. 2025 08:52"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",3468,"2025-09-08T06:52:40.411Z","08. 09. 2025 08:52"
"Cash receipt - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",7840,"2025-09-08T06:52:48.346Z","08. 09. 2025 08:52"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1072,"2025-09-08T06:52:49.812Z","08. 09. 2025 08:52"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Create cash receipt","passed",89108,"2025-09-08T06:54:23.192Z","08. 09. 2025 08:54"
