# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12724,"2025-09-10T16:38:20.953Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12204,"2025-09-10T16:38:34.615Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create 3 centers","passed",7613,"2025-09-10T16:38:42.322Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7490,"2025-09-10T16:38:49.908Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7724,"2025-09-10T16:38:57.745Z","10. 09. 2025 18:38"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",11620,"2025-09-10T16:39:09.475Z","10. 09. 2025 18:39"
"Cash receipt - homeland CZK in DMS @high @middle @low","Create cash receipt","passed",76078,"2025-09-10T16:40:27.732Z","10. 09. 2025 18:40"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7389,"2025-09-10T16:40:35.767Z","10. 09. 2025 18:40"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9755,"2025-09-10T16:40:46.008Z","10. 09. 2025 18:40"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data in crud","passed",13952,"2025-09-10T16:41:00.231Z","10. 09. 2025 18:41"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",4401,"2025-09-10T16:41:05.864Z","10. 09. 2025 18:41"
"Cash receipt - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",9122,"2025-09-10T16:41:15.392Z","10. 09. 2025 18:41"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",868,"2025-09-10T16:41:16.517Z","10. 09. 2025 18:41"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Create cash receipt","passed",88577,"2025-09-10T16:42:48.618Z","10. 09. 2025 18:42"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",8032,"2025-09-10T16:42:57.076Z","10. 09. 2025 18:42"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9904,"2025-09-10T16:43:07.679Z","10. 09. 2025 18:43"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data in crud","passed",9939,"2025-09-10T16:43:17.826Z","10. 09. 2025 18:43"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",3027,"2025-09-10T16:43:21.580Z","10. 09. 2025 18:43"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",9925,"2025-09-10T16:43:31.896Z","10. 09. 2025 18:43"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",888,"2025-09-10T16:43:32.970Z","10. 09. 2025 18:43"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Create cash receipt","passed",86337,"2025-09-10T16:45:02.429Z","10. 09. 2025 18:45"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",9023,"2025-09-10T16:45:12.595Z","10. 09. 2025 18:45"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7440,"2025-09-10T16:45:21.391Z","10. 09. 2025 18:45"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data in crud","passed",12503,"2025-09-10T16:45:34.148Z","10. 09. 2025 18:45"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",3928,"2025-09-10T16:45:39.102Z","10. 09. 2025 18:45"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",10905,"2025-09-10T16:45:50.295Z","10. 09. 2025 18:45"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1391,"2025-09-10T16:45:51.949Z","10. 09. 2025 18:45"
"Create cash receipt - EU CZK in DMS @high @middle @low","Create cash receipt in DMS","passed",52736,"2025-09-10T16:46:48.798Z","10. 09. 2025 18:46"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",10515,"2025-09-10T16:46:59.662Z","10. 09. 2025 18:46"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",9582,"2025-09-10T16:47:09.571Z","10. 09. 2025 18:47"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data in crud","passed",12350,"2025-09-10T16:47:22.305Z","10. 09. 2025 18:47"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting diary","passed",2290,"2025-09-10T16:47:25.029Z","10. 09. 2025 18:47"
